,ID,Relation,Source,Target,LT
0,L02_1,hypernyms - misc,armchair,,fotelis
1,,,,chair,kėdė
2,,,,seat,vieta_atsisėsti
3,,,,piece_of_furniture,baldas
4,,,,article_of_furniture,baldų_gaminys
5,,,,furnishing,apstatymas_baldais
6,,,,artifact,žmogaus_darbo_produktas
7,,,,artefact,artefaktas
8,,,,unit,vienetas
9,,,,object,objektas
10,,,,physical_object,fizinis_objektas
11,,,,physical_entity,fizinis_subjektas
12,,,,entity,subjektas
13,,,,,sėdynė
14,L02_2,hypernyms - misc,blender,,maišytuvas
15,,,,appliance,prietaisas
16,,,,mixer,maišytuvas
17,,,,kitchen_utensil,virtuvės_rakandas
18,,,,utensil,indas
19,,,,implement,padargas
20,,,,artifact,žmogaus_darbo_produktas
21,,,,artefact,artefaktas
22,,,,unit,vienetas
23,,,,object,objektas
24,,,,physical_object,fizinis_objektas
25,,,,physical_entity,fizinis_subjektas
26,,,,entity,subjektas
28,L02_3,hypernyms - misc,bracelet,,apyrankė
29,,,,jewelry,juvelyrinis_papuošalas
30,,,,band,juosta
31,,,,strip,juostelė
32,,,,slip,lapelis
33,,,,artifact,žmogaus_darbo_produktas
34,,,,artefact,artefaktas
35,,,,unit,vienetas
36,,,,object,objektas
37,,,,physical_object,fizinis_objektas
38,,,,physical_entity,fizinis_subjektas
39,,,,entity,subjektas
40,,,,jewellery,papuošalai
41,,,,adornment,puošmena
42,,,,decoration,papuošimas
43,,,,ornament,ornamentas
44,,,,ornamentation,puošimas
46,L02_4,hypernyms - misc,brooch,,segė
47,,,,jewelry,juvelyrinis_papuošalas
48,,,,jewellery,papuošalai
49,,,,adornment,puošmena
50,,,,decoration,papuošimas
51,,,,ornament,ornamentas
52,,,,ornamentation,puošimas
53,,,,artifact,žmogaus_darbo_produktas
54,,,,artefact,artefaktas
55,,,,unit,vienetas
56,,,,object,objektas
57,,,,physical_object,fizinis_objektas
59,L02_5,hypernyms - misc,cake,,pyragas
60,,,,dessert,desertas
61,,,,baked_goods,kepiniai
62,,,,food,maistas
63,,,,solid_food,kietas_maistas
64,,,,course,patiekalas
65,,,,nutriment,maistinės_medžiagos
66,,,,nourishment,maitinimas
67,,,,nutrition,mityba
68,,,,sustenance,būtiniausi_produktai
69,,,,aliment,maistingumas
70,,,,alimentation,išlaikymas
71,,,,victuals,maisto_produktai
72,,,,nutrient,maistinga_medžiaga
73,,,,substance,medžiaga
74,,,,matter,dalykas
75,,,,physical_entity,fizinis_subjektas
76,,,,entity,subjektas
78,L02_6,hypernyms - misc,computer,,kompiuteris
79,,,,device,įrenginys
80,,,,machine,mašina
81,,,,gadget,įtaisas
82,,,,artifact,žmogaus_darbo_produktas
83,,,,artefact,artefaktas
84,,,,unit,vienetas
85,,,,object,objektas
86,,,,physical_object,fizinis_objektas
87,,,,physical_entity,fizinis_subjektas
88,,,,entity,subjektas
89,,,,expert,ekspertas
90,,,,person,asmuo
91,,,,individual,individas
92,,,,someone,DUPLICATE_asmuo
93,,,,somebody,kažkas
94,,,,mortal,mirtingasis
95,,,,soul,siela
96,,,,causal_agent,priežastinis_veiksnys
97,,,,cause,priežastis
98,,,,causal_agency,priežastinė_jėga
99,,,,organism,organizmas
100,,,,being,esybė
101,,,,living_thing,gyvas_daiktas
102,,,,animate_thing,gyva_būtybė
104,L02_7,hypernyms - misc,croissant,,raguolis
105,,,,pastry,pyragaitis
106,,,,bun,bandelė
107,,,,roll,vyniotinis
108,,,,bread,duona
109,,,,breadstuff,duonos_produktas
110,,,,staff_of_life,gyvenimo_personalas
111,,,,baked_goods,kepiniai
112,,,,starches,krakmolas
113,,,,food,maistas
114,,,,solid_food,kietas_maistas
115,,,,foodstuff,maisto_produktai
