,ID,Relation,Source,Target,LT
0,L03_1,hyponyms - misc,backpack,,kuprinė
1,,,,daypack,maža_kuprinė
2,,,,kitbag,daiktamaišis
3,,,,kit_bag,DUPLICATE_daiktamaišis
4,,,,,lengva_kuprinė
5,L03_2,hyponyms - misc,bag,,krepšys
6,,,,pouch,rankinė
7,,,,backpack,kuprinė
8,,,,knapsack,DUPLICATE_kuprinė
9,,,,packsack,kelionmaišis
10,,,,rucksack,DUPLICATE_kuprinė
11,,,,haversack,kelioninis_krepšys
12,,,,beanbag,sėdmaišis
13,,,,bladder,pūslė
14,,,,carryall,kelionės_krepšys
15,,,,holdall,DUPLICATE_kelionės_krepšys
16,,,,tote,krepšys_ilgomis_rankenomis
17,,,,drawstring,virvelinis_krepšys
18,,,,dust,maišas_nuo_dulkių
19,,,,vacuum,vakuuminis_maišas
20,,,,envelope,rankinukas
21,,,,gasbag,dujų_balionas
22,,,,gamebag,medžiotojo_krepšys
23,,,,golf,golfo_krepšys
24,,,,gunnysack,džiuto_maišas
25,,,,gunny,DUPLICATE_džiuto_maišas
26,,,,burlap,storas_maišas
27,,,,ice,ledo_maišelis
28,,,,mailbag,paštininko_krepšys
29,,,,postbag,DUPLICATE_paštininko_krepšys
30,,,,nosebag,arklio_abrakinė
31,,,,feedbag,abrakinė
32,,,,pannier,persisveriamas_krepšys
33,,,,plastic,plastikinis_maišelis
34,,,,purse,piniginė
35,,,,ragbag,maišelis_skiautėms
36,,,,rosin,kanifolija
37,,,,sachet,paketėlis
38,,,,sack,maišas
39,,,,poke,maišelis
40,,,,paper,popierinis_maišelis
41,,,,carrier,pirkinių_maišelis
42,,,,saddlebag,balnakrepšis
43,,,,sandbag,smėlio_maišas
44,,,,schoolbag,mokyklinė_kuprinė
45,,,,shopping,pirkinių_krepšys
46,,,,sick_bag,vėmimo_maišelis
47,,,,sickbag,DUPLICATE_vėmimo_maišelis
48,,,,skin,vynmaišis
49,,,,sleeping,miegmaišis
50,,,,sweat,drobinis_maišelis
51,,,,tea,arbatos_maišelis
52,,,,toilet,kosmetinė
53,,,,sponge,tualeto_reikmeninė
54,,,,tool,įrankinė
55,,,,tucker-bag,maisto_krepšys
56,,,,,"virvelinė_kuprinė,golfo_lazdų_krepšys,sportinis_krepšys,moteriška_rankinė,vyriška_rankinė,turistinė_kuprinė,kareiviška_kuprinė"
57,L03_3,hyponyms - misc,bed,,lova
58,,,,bunk,dviaukštė_lova
59,,,,berth,gultas
60,,,,built,NO_TRANSLATION
61,,,,built-in,įmontuota_lova
62,,,,cot,vaikiška_lovytė
63,,,,camp,sulankstoma_lova
64,,,,couch,sofa
65,,,,deathbed,mirties_patalas
66,,,,double,dvigulė_lova
67,,,,four-poster,lova_su_baldakimu
68,,,,hammock,hamakas
69,,,,sack,maišas
70,,,,marriage_bed,santuokos_patalas
71,,,,murphy,sieninė_lova
72,,,,plank-bed,medinė_lova
73,,,,platform,pakyla
74,,,,sickbed,ligos_patalas
75,,,,single_bed,viengulė_lova
76,,,,sleigh,rogės
77,,,,trundle,ištraukiama_lova
78,,,,truckle,DUPLICATE_ištraukiama_lova
79,,,,twin,dvi_viengulės_lovos
80,,,,water,vandens_lova
81,,,,semi-double,pusiau_dvigulė_lova
82,,,,semidouble,DUPLICATE_pusiau_dvigulė_lova
83,,,,,"vaikiška_lovelė,pakeliama_lova,lova_spintoje,šeimyninė_lova"
84,L03_4,hyponyms - misc,boat,,laivas
85,,,,ferry,keltas
86,,,,ark,DUPLICATE_barža
87,,,,barge,barža
88,,,,flatboat,plaustas
89,,,,hoy,nedidelis_laivas
90,,,,lighter,lichteris
91,,,,bumboat,NO_TRANSLATION
92,,,,canal_boat,kanalų_barža
93,,,,narrow_boat,DUPLICATE_kanalų_barža
94,,,,narrowboat,DUPLICATE_kanalų_barža
95,,,,ferryboat,DUPLICATE_keltas
96,,,,fireboat,gaisrinis_kateris
97,,,,gondola,gondola
98,,,,guard_boat,sargybinis_laivas
99,,,,gunboat,kanonierė
100,,,,junk,džonka
101,,,,longboat,barkasas
102,,,,lugger,liugeris
103,,,,mackinaw,DUPLICATE_NO_TRANSLATION
104,,,,mailboat,pašto_laivas
105,,,,mail,DUPLICATE_pašto_laivas
106,,,,packet,paketbotas
107,,,,motorboat,motorinė_valtis
108,,,,powerboat,DUPLICATE_motorinis_valtis
109,,,,pilot,locmano_kateris
110,,,,police,policijos_laivas
111,,,,punt,plokščiadugnė_valtis
112,,,,river_boat,upių_laivas
113,,,,scow,šalanda
114,,,,sea_boat,jūrų_laivas
115,,,,small_boat,valtelė
116,,,,steamboat,garlaivis
117,,,,surfboat,DUPLICATE_NO_TRANSLATION
118,,,,tender_boat,tenderis
119,,,,pinnace,pinasa
120,,,,cutter_boat,kateris
121,,,,tugboat,buksyras
122,,,,tug,DUPLICATE_buksyras
123,,,,towboat,laivas_vilkikas
124,,,,tower_boat,DUPLICATE_laivas_vilkikas
125,,,,yacht,jachta
126,,,,sail,burlaivis
127,,,,row,irklinė_valtis
128,,,,canoe,kanoja
129,,,,kayak,kajakas
130,,,,paddle,ratinis_garlaivis
131,,,,paddle_boat,DUPLICATE_ratinis_garlaivis
132,,,,,"vandens_dviratis,baidarė,greitaeigis_laivas,keleivinis_laivas,krovininis_laivas,žvejybinis_laivas,tanklaivis,skystakrūvė_barža,sausakrūvė_barža,pramoginis_laivas,kruizinis_laivas,hidrografinis_laivas,laivas_stūmikas"
133,L03_5,hyponyms - misc,book,,knyga
134,,,,paperback,knyga_minkštu_viršeliu
135,,,,album,albumas
136,,,,folio,foliantas
137,,,,hardback,knyga_kietu_viršeliu
138,,,,hardcover,knyga_kietais_viršeliais
139,,,,journal,žurnalas
140,,,,novel,romanas
141,,,,order,užsakymų_knyga
142,,,,paper-back,knyga_minkštais_viršeliais
143,,,,softback,DUPLICATE_knyga_minkštu_viršeliu
144,,,,soft-cover,DUPLICATE_knyga_minkštais_viršeliais
145,,,,picture,iliustruota_knyga
146,,,,sketchbook,eskizų_albumas
147,,,,sketch,albumas_eskizams
148,,,,notebook,užrašų_knygelė
149,,,,,"užrašinė,bloknotas"
150,L03_6,hyponyms - misc,brush,,šepetys
151,,,,toothbrush,dantų_šepetėlis
152,,,,bottlebrush,butelių_plovimo_šepetys
153,,,,bristle,natūralių_šerių_šepetys
154,,,,clothesbrush,drabužių_šepetys
155,,,,hairbrush,plaukų_šepetys
156,,,,nailbrush,nagų_šepetėlis
157,,,,paintbrush,teptukas
158,,,,sable,sabalo_teptukas
159,,,,scrub,šveitimo_šepetėlis
160,,,,scrubbing,šepetėlis_šveitimui
161,,,,scrubber,DUPLICATE_šveitimo_šepetėlis
162,,,,shaving_brush,skutimosi_šepetėlis
163,,,,,"dantų_šepetukas,šepetys_butelių_plovimui,natūralių_šerelių_šepetys,šepetys_su_natūraliais_šeriais,šepetys_su_natūraliais_šereliais,šepetys_drabužiams,šepetys_plaukams,šepetėlis_nagams,sabalo_kailio_teptukas,sabalo_plaukų_teptukas,šepetėlis_skutimuisi"
164,L03_7,hyponyms - misc,burger,,suvožtinis
165,,,,hamburger,mėsainis
166,,,,cheeseburger,sūrainis
167,,,,50,NO_TRANSLATION
168,,,,50_burger,DUPLICATE_NO_TRANSLATION
169,,,,angus_burger,anguso_mėsainis
170,,,,banquet_burger,banketinis_mėsainis
171,,,,barbecue_burger,barbekiu_mėsainis
172,,,,bøfsandwich,DUPLICATE_NO_TRANSLATION
173,,,,utter_burge,DUPLICATE_NO_TRANSLATION
174,,,,buffalo_burger,bizono_mėsainis
175,,,,california_burger,Kalifornijos_mėsainis
176,,,,chili_burger,čili_mėsainis
177,,,,curry_burger,kario_mėsainis
178,,,,hamdog,DUPLICATE_NO_TRANSLATION
179,,,,salmon_burger,lašišos_suvožtinis
180,,,,rice_burger,ryžių_mėsainis
181,,,,veggie_burger,vegetariškas_suvožtinis
182,,,,,"buivolo_mėsainis,lašišos_žuvainis,vegetariškas_mėsainis,žuvainis,burgeris,hamburgeris,čyzburgeris,fišburgeris"
183,L03_8,hyponyms - misc,camera,,fotoaparatas
184,,,,camcorder,vaizdo_kamera
185,,,,box_camera,fotoaparatas-dėžutė
186,,,,box_kodak,kodako_fotoaparatas-dėžutė
187,,,,candid_camera,paslėptoji_kamera
188,,,,digital_camera,skaitmeninis_fotoaparatas
189,,,,flash_camera,fotoaparatas_su_blykste
190,,,,motion-picture_camera,filmavimo_kamera
191,,,,movie_camera,kino_kamera
192,,,,cine-camera,DUPLICATE_kino_kamera
193,,,,point-and-shoot_camera,kompaktinis_fotoaparatas
194,,,,point-and-shoot,DUPLICATE_kompaktinis_fotoaparatas
195,,,,polaroid_camera,poliaroidas
196,,,,polaroid_land_camera,DUPLICATE_polaroidas
197,,,,polaroid,DUPLICATE_polaroidas
198,,,,portrait_camera,portretų_kamera
199,,,,reflex_camera,veidrodinis_fotoaparatas
200,,,,webcam,internetinė_kamera
201,,,,webcamera,žiniatinklio_kamera
202,,,,sound_camera,akustinė_kamera
203,,,,,"skaitmeninė_kamera,videokamera,vienkartinis_fotoaparatas,juostinis_fotoaparatas,plokštelinis_fotoaparatas,tolimatinis_fotoaparatas,fotoaparatas-muilinė"
204,L03_9,hyponyms - misc,candy,,saldainiai
205,,,,lollipop,ledinukas
206,,,,candy_bar,batonėlis
207,,,,carob_bar,saldžiosios_ceratonijos_batonėlis
208,,,,hard_candy,ledinukai
209,,,,brandyball,brendžio_skonio_saldainis
210,,,,patty,plokščias_saldainis
211,,,,bonbon,saldainis
212,,,,brittle,griliažas
213,,,,toffee,irisas
214,,,,toffy,DUPLICATE_irisas
215,,,,butterscotch,DUPLICATE_irisas
216,,,,candy_cane,karamelinė_lazdelė
217,,,,candy_corn,kukurūzų_formos_saldainiai
218,,,,caramel,karamelė
219,,,,cotton_candy,cukraus_vata
220,,,,spun_sugar,DUPLICATE_cukraus_vata
221,,,,candyfloss,DUPLICATE_cukraus_vata
222,,,,dragee,dražė
223,,,,fondant,NO_TRANSLATION
224,,,,fudge,pieniškas_irisas
225,,,,gumdrop,guminukai
226,,,,honey_crisp,medaus_traškučiai
227,,,,mint,mėtinis_saldainis
228,,,,mint_candy,mėtiniai_saldainiai
229,,,,horehound,DUPLICATE_NO_TRANSLATION
230,,,,jelly_bean,želė_saldainis
231,,,,jelly_egg,želė_kiaušinis
232,,,,kiss,DUPLICATE_NO_TRANSLATION
233,,,,candy_kiss,DUPLICATE_NO_TRANSLATION
234,,,,licorice,saldymedžio_saldainiai
235,,,,liquorice,DUPLICATE_saldymedžio_saldainiai
236,,,,life_saver,DUPLICATE_NO_TRANSLATION
237,,,,sucker,čiulpinukas
238,,,,all-day_sucker,didelis_čiulpinukas
239,,,,lozenge,pastilė
240,,,,marshmallow,zefyras
241,,,,marzipan,marcipanas
242,,,,marchpane,DUPLICATE_marcipanas
243,,,,nougat,nuga
244,,,,nougat_bar,nugos_batonėlis
245,,,,nut_bar,riešutų_batonėlis
246,,,,peanut_bar,žemės_riešutų_batonėlis
247,,,,popcorn_ball,kukurūzų_spragėsis
248,,,,praline,cukruje_apkepinti_riešutai
249,,,,rock_candy,DUPLICATE_ledinukas
250,,,,rock,DUPLICATE_ledinukas
251,,,,sugar_candy,cukrinukas
252,,,,sugarplum,DUPLICATE_cukrinukas
253,,,,taffy,tąsiukas
254,,,,truffle,triufelis
255,,,,chocolate_truffle,šokoladinis_triufelis
256,,,,turkish_delight,lukumas
257,,,,easter_egg,šokoladinis_velykinis_kiaušinis
258,,,,,"šokoladiniai_saldainiai,marmeladiniai_saldainiai,griliažiniai_saldainiai,karameliniai_saldainiai,irisiniai_saldainiai,želiniai_saldainiai,kramtomieji_saldainiai,čiulpiamieji_saldainiai,mėtinis_ledinukas,ledinukas_ant_pagaliuko,becukris_ledinukas,šokoladinis_batonėlis,baltyminis_batonėlis,energinis_batonėlis"
259,L03_10,hyponyms - misc,car,,automobilis
260,,,,limousine,limuzinas
261,,,,convertible,automobilis_su_nudengiamu_viršumi
262,,,,ambulance,greitosios_pagalbos_automobilis
263,,,,beach,paplūdimio_automobilis
264,,,,wagon,vežimas
265,,,,station,universalas
266,,,,estate,DUPLICATE_universalas
267,,,,waggon,DUPLICATE_vežimas
268,,,,bus,autobusas
269,,,,jalopy,kledaras
270,,,,heap,senas_kledaras
271,,,,cab,taksi
272,,,,hack,DUPLICATE_taksi
273,,,,taxi,DUPLICATE_taksi
274,,,,taxicab,taksi_automobilis
275,,,,compact,kompaktinis_automobilis
276,,,,coupe,kupė
277,,,,cruiser,policijos_automobilis
278,,,,police,DUPLICATE_policijos_automobilis
279,,,,patrol,policijos_patrulinis_automobilis
280,,,,prowl,DUPLICATE_policijos_patrulinis_automobilis
281,,,,squad,DUPLICATE_policijos_patrulinis_automobilis
282,,,,electric,elektromobilis
283,,,,hardtop,hardtopas
284,,,,hatchback,hečbekas
285,,,,hot-rod,"""Hot_Rod""_stiliaus_automobilis"
286,,,,jeep,džipas
287,,,,landrover,"""Land_Rover""_visureigis"
288,,,,limo,DUPLICATE_limuzinas
289,,,,loaner,pakaitinis_automobilis
290,,,,minicar,miniautomobilis
291,,,,minivan,vienatūris
292,,,,model,automobilio_modeliukas
293,,,,pace,saugos_automobilis
294,,,,racer,lenktyninis_automobilis
295,,,,race,DUPLICATE_lenktyninis_automobilis
296,,,,racing,DUPLICATE_lenktyninis_automobilis
297,,,,roadster,rodsteris
298,,,,runabout,raneboutas
299,,,,two-seater,dvivietis_automobilis
300,,,,sedan,sedanas
301,,,,saloon,DUPLICATE_sedanas
302,,,,sports,sportinis_automobilis
303,,,,sport,DUPLICATE_sportinis_automobilis
304,,,,suv,padidinto_pravažumo_automobilis
305,,,,stanley,Stanley_automobilis
306,,,,steamer,garomobilis
307,,,,stock,gamyklinis_automobilis
308,,,,subcompact,subkompaktinis_automobilis
309,,,,touring,tureris
310,,,,tourer,DUPLICATE_tureris
311,,,,used,naudotas_automobilis
312,,,,secondhand,nenaujas_automobilis
313,,,,,"atviras_automobilis,dengtas_automobilis,turistinis_automobilis,minivenas,visureigis,mikroautobusas,keleivinis_automobilis,lengvasis_automobilis,kabrioletas,mašina,tarnybinis_automobilis,apsaugos_automobilis,priešgaisrinės_apsaugos_automobilis,kupė_automobilis,vienatūris_automobilis"
314,L03_11,hyponyms - misc,church,,bažnyčia
315,,,,chapel,koplyčia
316,,,,abbey,abatija
317,,,,basilica,bazilika
318,,,,cathedral,katedra
319,,,,duomo,italų_katedra
320,,,,kirk,škotų_bažnyčia
321,,,,,"vienuolynas,cerkvė"
322,L03_12,hyponyms - misc,citrus,,citrusas
323,,,,lemon,citrina
324,,,,orange,apelsinas
325,,,,lime,žalioji_citrina
326,,,,mandarin,mandarinas
327,,,,tangerine,tandžerinas
328,,,,yuzu,kvapioji_citrina
330,L03_13,hyponyms - misc,cloud,,debesis
331,,,,thundercloud,audros_debesis
332,,,,cirrocumulus,plunksniniai_kamuoliniai_debesys
333,,,,cirrostratus,plunksniniai_sluoksniniai_debesys
334,,,,cirrus,plunksniniai_debesys
335,,,,contrail,lėktuvo_kondensacinis_pėdsakas
336,,,,condensation,kondensacija
337,,,,trail,dūmų_juosta
338,,,,cumulonimbus,liūtiniai_kamuoliniai_debesys
339,,,,cumulus,kamuoliniai_debesys
340,,,,nacreous,perlamutriniai_debesys
341,,,,nebule,ūkas
342,,,,nimbus,sluoksniniai_lietaus_debesys
343,,,,rain,lietus
344,,,,storm,audra
345,,,,stratus,sluoksniniai_debesys
346,,,,mushroom,grybo_formos_debesis
347,,,,smoke,dūmai
349,L03_14,hyponyms - misc,collar,,apykaklė
350,,,,choker,aukšta_ankšta_apykaklė
351,,,,ruff,rauktinė_apykaklė
352,,,,ruffle,DUPLICATE_rauktinė_apykaklė
353,,,,clerical,kunigo_apykaklė
354,,,,roman_collar,dvasininko_apykaklė
355,,,,dog_collar,šuns_kaklasaitis
356,,,,eton_collar,NO_TRANSLATION
357,,,,rabato_collar,DUPLICATE_NO_TRANSLATION
358,,,,rebato_collar,DUPLICATE_NO_TRANSLATION
359,,,,turtleneck,aukšta_atlenkiama_apykaklė
360,,,,polo-neck,DUPLICATE_aukšta_atlenkiama_apykaklė
361,,,,neckpiece,goržetė
362,,,,,"kailinė_apykaklė,aukšta_apykaklė,atlenkiama_apykaklė"
363,L03_15,hyponyms - misc,color,,spalva
364,,,,white,balta_spalva
365,,,,black,juoda_spalva
366,,,,blue,mėlyna_spalva
367,,,,green,žalia_spalva
368,,,,red,raudona_spalva
369,,,,yello,geltona_spalva
370,,,,orange,oranžinė_spalva
371,,,,vermilion,ryškiai_raudona_spalva
372,,,,amber,gintaro_spalva
373,,,,chartreuse,žalsvai_geltona_spalva
374,,,,teal,žalsvai_mėlyna_spalva
375,,,,violet,violetinė_spalva
376,,,,magenta,rausvai_raudona_spalva
377,,,,rose,rožinė_spalva
378,,,,azure,šviesiai_mėlyna_spalva
379,,,,cyan,žydra_spalva
380,,,,indigo,indigo_splava
381,,,,purple,purpurinė_spalva
382,,,,brown,ruda_spalva
384,,,,,"morkinė_spalva,skaisčiai_raudona_spalva,ciano_spalva"
385,L03_16,hyponyms - misc,computer,,kompiuteris
386,,,,laptop,nešiojamas_kompiuteris
387,,,,desktop,stacionarus_kompiuteris
388,,,,tablet,planšetinis_kompiuteris
389,,,,smartphone,išmanusis_telefonas
390,,,,supercomputer,superkompiuteris
