,ID,Relation,Source,Target,LT
0,L06_1,meronyms - part,academia,,akademinė_bendruomenė
1,,,,college,koledžas
2,,,,university,universitetas
3,,,,institute,institutas
4,,,,,kolegija
5,L06_2,meronyms - part,apartment,,butas
6,,,,bedroom,miegamasis
7,,,,room,kambarys
8,,,,bathroom,vonios_kambarys
9,,,,kitchen,virtuvė
10,,,,kitchenette,virtuvėlė
11,,,,living_room,svetainė
12,,,,pantry,maisto_sandėliukas
13,,,,toilet,tualetas
14,,,,shower_room,dušas
15,,,,,podėlis
16,L06_3,meronyms - part,bird,,paukštis
17,,,,feathers,plunksnos
18,,,,plume,DUPLICATE_plunksnos
19,,,,preen,plunksnų_kedenimas
20,,,,croup,gūžys
21,,,,calamus,spyglys
22,,,,fowl,naminis_paukštis
23,,,,drumstick,paukščio_kulšis
24,,,,syrinx,ryklė
25,,,,bill,DUPLICATE_snapas
26,,,,rump,pasturgalis
27,,,,vane,vėtyklė
28,,,,barb,šoninės_šakelės
29,,,,quill,plunksnos_kotas
30,,,,shaft,stiebas
31,,,,pecker,DUPLICATE_snapas
32,,,,pennon,DUPLICATE_sparnas
33,,,,feet,pėdos
34,,,,giblets,kogalviai
35,,,,alula,sparnelis
36,,,,talon,nagas
37,,,,foot,pėda
38,,,,pinion,DUPLICATE_sparnas
39,,,,wing,sparnas
40,,,,wishbone,paukščio_krūtinkaulio_išsišakojimas
41,,,,nib,DUPLICATE_snapas
42,,,,sac,maišelis
43,,,,giblet,kogalvis
44,,,,furcula,šakutė
45,,,,bird,paukštis
46,,,,neb,DUPLICATE_snapas
47,,,,feather,plunksna
48,,,,gland,liauka
49,,,,oyster,NO_TRANSLATION
50,,,,thigh,šlaunis
51,,,,plumage,DUPLICATE_plunksnos
52,,,,web,paukščių_kojų_plėvė
53,,,,hindquarters,DUPLICATE_pasturgalis
54,,,,beak,snapas
55,,,,parson's_nose,sturplis
56,,,,wishing_bone,DUPLICATE_paukščio_krūtinkaluio_išsišakojimas
57,,,,pope's_nose,DUPLICATE_sturplis
58,,,,spurious_wing,DUPLICATE_sparnelis
59,,,,bastard_wing,DUPLICATE_sparnelis
60,,,,croupe,DUPLICATE_gūžys
61,,,,air_sac,DUPLICATE_maišelis
62,,,,quill_feather,DUPLICATE_skraidomoji_plunksna
63,,,,uropygium,uodega
64,,,,bird's_foot,paukščio_pėda
65,,,,uropygial,pasturgalinė
66,,,,second_joint,antras_sąnaris
67,,,,uropygial_gland,pasturgalinė_liauka
68,,,,preen_gland,DUPLICATE_pasturgalinė_liauka
69,,,,flight_feather,skraidomoji_plunksna
70,,,,dark_meat,DUPLICATE_NO_TRANSLATION
72,L06_4,meronyms - part,brush,,teptukas
73,,,,bristle,šerys
74,,,,hold,laikymas
75,,,,shank,kotas
76,,,,grip,rankena
77,,,,handgrip,DUPLICATE_rankena
78,,,,handle,DUPLICATE_rankena
79,,,,head,galvutė
80,,,,stem,DUPLICATE_kotas
81,,,,,kotelis
82,L06_5,meronyms - part,bus,,autobusas
83,,,,seats,sėdynė
84,,,,conductor,konduktorius
85,,,,window,langas
86,,,,driver,vairuotojas
87,,,,roof,stogas
88,,,,,"vežėjas,pavežėjas"
89,L06_6,meronyms - part,byte,,baitas
90,,,,bit,bitas
92,L06_7,meronyms - part,car,,mašina
93,,,,engine,variklis
94,,,,armrest,atrama_rankai
95,,,,headrest,atrama_galvai
96,,,,grille,grotelės
97,,,,hinge,šarnyras
98,,,,tailpipe,išmetamasis_vamzdis
99,,,,suspension,pakaba
100,,,,hood,kapotas
101,,,,horn,DUPLICATE_garso_signalas
102,,,,hooter,DUPLICATE_garso_signalas
103,,,,petrol,benzinas
104,,,,pintle,įkaišas
105,,,,trunk,bagažinė
106,,,,floorboard,dugnas
107,,,,bar,strypas
108,,,,gas,dujos
109,,,,buffer,buferis
110,,,,door,durelės
111,,,,stabilizer,stabilizatorius
112,,,,seat,sėdynė
113,,,,window,langas
114,,,,exhaust,išmetimas
115,,,,tailfin,išmetimo_vamzdis
116,,,,back,užpakalinė_dalis
117,,,,luggage,bagažas
118,,,,pedal,pedalas
119,,,,cowling,gaubtas
120,,,,seatbelt,saugos_diržas
121,,,,high,DUPLICATE_aukšta_pavara
122,,,,wing,sparnas
123,,,,gasoline,DUPLICATE_benzinas
124,,,,fin,vamzdis
125,,,,cowl,DUPLICATE_dangtis
126,,,,silencer,duslintuvas
127,,,,gun,pistoletas
128,,,,compartment,skyrius
129,,,,rear,galinis
130,,,,radiator,radiatorius
131,,,,accessory,priedai
132,,,,sunroof,stoglangis
133,,,,roof,stogas
134,,,,lights,šviesos
135,,,,bumper,DUPLICATE_buferis
136,,,,glove,pirštinė
137,,,,bag,pagalvė
138,,,,cushion,DUPLICATE_pagalvė
139,,,,backrest,atlošas
140,,,,accelerator,greičio_pedalas
141,,,,fender,DUPLICATE_sparnas
142,,,,third,trečias
143,,,,throttle,droselis
144,,,,bonnet,dangtis
145,,,,air,oras
