,ID,Relation,Source,Target,LT
0,L07_1,synonyms - intensity,afraid,,įsibaiminęs
1,,,,terrified,labai_išsigandęs
2,,,,horrified,pasibaisėjęs
3,,,,scared,išsigandęs
4,,,,stiff,sustingęs
5,,,,petrified,suakmenėjęs
6,,,,fearful,bijantis
7,,,,panicky,paniškas
9,L07_2,synonyms - intensity,angry,,piktas
10,,,,furious,įsiutęs
11,,,,enraged,įniršęs
12,,,,outraged,pasipiktinęs
13,,,,aggrivated,suerzintas
14,,,,irate,DUPLICATE_pasipiktinęs
15,,,,seething,verdantis_pykčiu
17,L07_3,synonyms - intensity,ask,,prašyti
18,,,,beg,elgetauti
19,,,,implore,melstis
20,,,,pray,DUPLICATE_melstis
21,,,,entreat,maldauti
22,,,,supplicate,nuolankiai_prašyti
23,,,,insist,reikalauti
25,L07_4,synonyms - intensity,bad,,blogas
26,,,,awful,siaubingas
27,,,,atrocious,žiaurus
28,,,,abominable,bjaurus
29,,,,dreadful,klaikus
30,,,,painful,skausmingas
31,,,,terrible,baisus
32,,,,unspeakable,neapsakomas
34,L07_5,synonyms - intensity,boring,,nuobodus
35,,,,tedious,varginantis
36,,,,deadening,bukinantis
37,,,,dull,nuobodokas
38,,,,ho-hum,nuobodybė
39,,,,irksome,įkyrus
40,,,,tiresome,įgrysus
41,,,,wearisome,alinantis
43,L07_6,synonyms - intensity,cat,,katė
44,,,,lion,liūtas
45,,,,tiger,tigras
46,,,,leopard,leopardas
47,,,,panther,pantera
48,,,,jaguar,jaguaras
50,L07_7,synonyms - intensity,chuckle,,kikenti
51,,,,laugh,juoktis
52,,,,guffaw,kvatoti
53,,,,chortle,čiurlenimas
54,,,,snicker,prunkštimas
55,,,,snigger,prislopintas_juokas
56,,,,titter,krizenti
57,,,,roar,kriokimas
59,L07_8,synonyms - intensity,confused,,sutrikęs
60,,,,lost,pasimetęs
61,,,,bewildered,suglumęs
62,,,,trapped,įstrigęs
63,,,,desperate,beviltiškas
65,L07_9,synonyms - intensity,creative,,kūrybingas
66,,,,ingenious,sumanus
67,,,,inventive,Išradingas
68,,,,demiurgic,demiurginis
69,,,,deviceful,išmoningas
70,,,,innovational,naujoviškas
71,,,,innovative,inovatyvus
72,,,,innovatory,novatoriškas
73,,,,original,originalus
74,,,,originative,DUPLICATE_originalus
76,L07_10,synonyms - intensity,cry,,verkti
77,,,,scream,rėkti
78,,,,shriek,spiegti
79,,,,screech,žviegimas
80,,,,screeching,žviegdamas
82,L07_11,synonyms - intensity,damp,,drėgnas
83,,,,drenched,permirkęs
84,,,,dripping,varvantis
85,,,,saturated,prisotintas
86,,,,soaked,išmirkytas
87,,,,soaking,mirkstantis
88,,,,sodden,peršlapęs
89,,,,sopping,DUPLICATE_mirkstantis
90,,,,soppy,įmirkęs
91,,,,soused,sumirkęs
92,,,,wringing-wet,šlapias
94,L07_12,synonyms - intensity,dinner,,pietūs
95,,,,feast,vaišės
96,,,,banquet,pokylis
97,,,,fiesta,šventė
99,L07_13,synonyms - intensity,dislike,,nemėgti
100,,,,hate,neapkęsti
101,,,,abhor,baisėtis
102,,,,detest,nekęsti
103,,,,loathe,bjaurėtis
104,,,,abominate,šlykštėtis
105,,,,execrate,prakeikti
106,,,,contemn,paniekinti
107,,,,despise,niekinti
108,,,,scorn,pajuoka
109,,,,disdain,nepaisyti
111,L07_14,synonyms - intensity,doze,,užsnūsti
112,,,,sleep,miegoti
113,,,,slumber,snausti
115,L07_15,synonyms - intensity,drizzle,,dulksna
116,,,,rain,lietus
117,,,,shower,stiprus_lietus
118,,,,raifall,liūtis
119,,,,deluge,tvanas
122,L07_16,synonyms - intensity,excited,,susijaudinęs
123,,,,agitated,įaudrintas
124,,,,nervous,nervingas
126,L07_17,synonyms - intensity,faith,,tikėjimas
127,,,,fanatism,fanatizmas
128,,,,fanaticism,DUPLICATE_fanatizmas
129,,,,zealotry,uolumas
130,,,,,religingumas
131,L07_18,synonyms - intensity,giggle,,juokeliai
132,,,,laugh,juoktis
133,,,,guffaw,kvatoti
134,,,,chortle,čiurlenimas
135,,,,snicker,prunkštimas
136,,,,snigger,prislopintas_juokas
137,,,,titter,krizenti
138,,,,roar,kriokimas
140,L07_19,synonyms - intensity,guilty,,kaltas
141,,,,remorseful,atgailaujantis
142,,,,sorrowful,liūdnas
143,,,,unworthy,nevertas
145,L07_20,synonyms - intensity,happy,,laimingas
146,,,,ecstatic,ekstaziškas
147,,,,enraptured,sužavėtas
148,,,,rapturous,džiūgaujantis
149,,,,rapt,susižavėjęs
150,,,,rhapsodic,rapsodinis
152,L07_21,synonyms - intensity,house,,namas
153,,,,palace,rūmai
154,,,,castle,pilis
156,L07_22,synonyms - intensity,hungry,,alkanas
157,,,,starving,badaujantis
158,,,,famished,išbadėjęs
159,,,,peckish,skurdus
160,,,,ravenous,alkanas_kaip_vilkas
161,,,,starved,badavo
163,L07_23,synonyms - intensity,indulge,,mėgautis
164,,,,pamper,palepinti
165,,,,spoil,lepinti
166,,,,coddle,slaugyti
168,L07_24,synonyms - intensity,interesting,,įdomus
169,,,,exciting,jaudinantis
170,,,,exhilarant,džiuginantis
171,,,,exhilarating,pagyvintas
172,,,,exhilarative,DUPLICATE_džiuginantis
173,,,,eye-popping,akį_rėžiantis
174,,,,inspiring,įkvepiantis
175,,,,intoxicating,svaiginantis
176,,,,rousing,DUPLICATE_įkvepiantis
177,,,,stimulating,skatinantis
178,,,,stirring,judrus
179,,,,arresting,patraukiantis
180,,,,interesting,įdomus
181,,,,intriguing,intriguojantis
182,,,,moving,graudus
183,,,,provocative,provokuojantis
184,,,,heady,svaigus
185,,,,thrilling,suvirpinantis
186,,,,,"žavintis,kerintis"
187,L07_25,synonyms - intensity,irritate,,pasipiktinęs
188,,,,enrage,įsiutinti
189,,,,incense,siutinti
190,,,,infuriate,įniršinti
191,,,,ire,pyktis
192,,,,mad,pamišęs
193,,,,madden,išvesti_iš_proto
194,,,,steam,garas
195,,,,umbrage,šmeižtas
197,L07_26,synonyms - intensity,jog,,bėgioti
198,,,,run,bėgti
199,,,,scarper,skardinė
200,,,,flee,pabėgti
201,,,,fly,skristi
203,L07_27,synonyms - intensity,lake,,ežeras
204,,,,sea,jūra
205,,,,ocean,vandenynas
207,L07_28,synonyms - intensity,like,,mėgti
208,,,,love,mylėti
209,,,,care,rūpintis
210,,,,fond,meilus
211,,,,crush,sutraiškyti
212,,,,infatuate,susižavėti
214,L07_29,synonyms - intensity,love,,mylėti
