,ID,Relation,Source,Target,LT
0,L09_1,antonyms - gradable,able,,galintis
1,,,,unable,negalintis
2,,,,incapable,nesugebantis
3,,,,incompetent,nekompetentingas
4,,,,unequal,DUPLICATE_nesugebantis
5,,,,,nemokantis
6,L09_2,antonyms - gradable,abundant,,gausus
7,,,,scarce,nepakankamas
8,,,,rare,retas
9,,,,tight,skurdus
10,,,,meager,menkas
11,,,,meagre,DUPLICATE_menkas
12,,,,meagerly,nepakankamai
13,,,,stingy,negausus
14,,,,scrimpy,DUPLICATE_menkas
15,,,,insufficient,DUPLICATE_nepakankamas
16,,,,deficient,trūkstamas
17,,,,,stokojantis
18,L09_3,antonyms - gradable,aware,,žinantis
19,,,,unaware,nežinantis
20,,,,oblivious,nesuvokiantis
21,,,,unmindful,nedėmesingas
22,,,,unconscious,be_sąmonės
23,,,,unsuspecting,neįtariantis
24,,,,asleep,miegantis
25,,,,insensible,nejautrus
26,,,,unwitting,nesąmoningas
27,,,,ignorant,neišmanantis
28,,,,indifferent,abejingas
30,L09_4,antonyms - gradable,beautiful,,nuostabus
31,,,,ugly,bjaurus
32,,,,disfigured,subjaurotas
33,,,,evil-looking,nemalonus
34,,,,fugly,DUPLICATE_bjaurus
35,,,,grotesque,groteskiškas
36,,,,monstrous,monstriškas
37,,,,hideous,šlykštus
38,,,,repulsive,atstumiantis
39,,,,ill-favored,nepatrauklus
40,,,,ill-favoured,DUPLICATE_nepatrauklus
41,,,,scrofulous,DUPLICATE_bjaurus
42,,,,unlovely,neišvaizdus
43,,,,unpicturesque,DUPLICATE_neišvaizdus
44,,,,unsightly,negražus
45,,,,displeasing,DUPLICATE_atstumiantis
46,,,,unattractive,DUPLICATE_nepatrauklus
47,,,,awkward,nerangus
49,L09_5,antonyms - gradable,big,,didelis
50,,,,small,mažas
51,,,,atomic,labai_mažas
52,,,,subatomic,DUPLICATE_labai_mažas
53,,,,bantam,mažytis
54,,,,diminutive,DUPLICATE_miniatiūrinis
55,,,,lilliputian,liliputiškas
56,,,,midget,neūžauga
57,,,,petite,smulkus
58,,,,tiny,smulkutis
