,ID,Relation,Source,Target,LT
0,L10_1,antonyms - binary,after,,po
1,,,,before,prieš
2,,,,earlier,anksčiau
3,,,,previously,pirma
5,L10_2,antonyms - binary,ahead,,priešakyje
6,,,,behind,už
7,,,,rear,užpakalinis
8,,,,after,po
9,,,,tail,galas
10,,,,beforehand,iš_anksto
12,L10_3,antonyms - binary,anterior,,priešakinis
13,,,,posterior,vėlesnis
15,L10_4,antonyms - binary,backward,,atgalinis
16,,,,forward,priekyje
17,,,,forwards,tolyn
18,,,,frontward,į_priekį
19,,,,frontwards,toliau
20,,,,forrad,nukreiptas_pirmyn
21,,,,forrard,link_priekio
22,,,,forth,pirmyn
23,,,,onward,nukreiptas_į_priekį
25,L10_5,antonyms - binary,before,,prieš
26,,,,after,po
27,,,,subsequently,paskui
28,,,,later,vėliau
29,,,,afterwards,po_to
30,,,,afterward,DUPLICATE_po_to
31,,,,ahead,priekyje
33,L10_6,antonyms - binary,beginning,,pradžia
34,,,,end,pabaiga
35,,,,terminal,galinė_riba
36,,,,ending,DUPLICATE_pabaiga
37,,,,last,galas
38,,,,final,finalas
39,,,,finish,DUPLICATE_pabaiga
40,,,,finale,DUPLICATE_finalas
41,,,,conclusion,užbaigimas
42,,,,,"baigtis,epilogas,galutinė_riba"
43,L10_7,antonyms - binary,below,,žemiau
44,,,,above,viršuje
45,,,,higher,aukščiau
46,,,,up,aukštyn
48,L10_8,antonyms - binary,climb,,kopti
49,,,,descend,nusileisti
50,,,,declivitous,statokas
51,,,,downhill,einantis_į_pakalnę
52,,,,downward-sloping,nuožulnus
53,,,,degressive,proporcingai_mažėjantis
54,,,,descendant,judantis_žemyn
55,,,,descendent,DUPLICATE_judantis_žemyn
56,,,,down,DUPLICATE_judantis_žemyn
57,,,,downward,DUPLICATE_judantis_žemyn
58,,,,downward-arching,vingiuojantis_žemyn
59,,,,drizzling,lynojantis
60,,,,dropping,varvantis
61,,,,falling,krentantis
62,,,,raining,lyjantis
64,L10_9,antonyms - binary,dead,,miręs
65,,,,alive,gyvas
66,,,,living,gyvenantis
67,,,,live,DUPLICATE_gyvas
68,,,,,nemiręs
69,L10_10,antonyms - binary,decrement,,padidėjimas
70,,,,increment,sumažėjimas
72,L10_11,antonyms - binary,descend,,nusileisti
73,,,,ascend,pakilti
74,,,,climb,kopti
75,,,,rise,kilti
76,,,,upward,kylantis
77,,,,ascendent,DUPLICATE_kylantis
78,,,,ascendant,DUPLICATE_kylantis
80,L10_12,antonyms - binary,dive,,panerti
81,,,,emerge,iškilti
83,L10_13,antonyms - binary,down,,žemyn
84,,,,up,aukštyn
85,,,,above,virš
86,,,,ahead,priekyje
87,,,,lead,vadovaujantis
88,,,,leading,priekinis
89,,,,aweigh,pakeltas
90,,,,dormie,pirmaujantis
91,,,,dormy,DUPLICATE_pirmaujantis
92,,,,heavenward,dangun
93,,,,skyward,į_dangų
94,,,,risen,pakilęs
95,,,,sprouted,išdygęs
96,,,,upbound,vykstantis_šiaurės_kryptimi
97,,,,upfield,pirmyn
98,,,,upward,į_viršų
99,,,,,sužėlęs
100,L10_14,antonyms - binary,downslope,,nuokalnė
101,,,,upslope,įkalnė
102,,,,ascent,DUPLICATE_įkalnė
104,L10_15,antonyms - binary,drop,,mesti
105,,,,lift,kelti
106,,,,pick_up,pakelti
108,L10_16,antonyms - binary,dynamic,,dinamiškas
109,,,,static,statiškas
110,,,,still,ramus
111,,,,unmoving,nejudantis
112,,,,unchanging,nesikeičiantis
