,ID,Relation,Source,Target,MK
8,L01_2,hypernyms - animals,anaconda,,анаконда
9,,,,snake,змија
10,,,,reptile,рептил
11,,,,boa,боа
12,,,,serpent,DUPLICATE_змија
13,,,,ophidian,NO_TRANSLATION
15,L01_3,hypernyms - animals,ant,,мравка
16,,,,insect,инсект
17,,,,invertebrate,безрбетник
18,,,,creature,суштество
19,,,,beast,ѕвер
20,,,,hymenopteran,ципокрилец
21,,,,being,DUPLICATE_суштество
22,,,,animal,животно
23,,,,organism,организам
24,,,,fauna,фауна
25,,,,arthropod,членконоги
26,,,,hymenopterous_insect,ципокрилен_инсект
27,,,,animate_being,живо_суштество
28,,,,physical_hymenopteron,NO_TRANSLATION
29,,,,physical_entity,физички_ентитет
30,,,,hymenopter,DUPLICATE_ципокилец
31,,,,living_thing,живо_битие
33,L01_4,hypernyms - animals,beaver,,дабар
34,,,,rodent,глодач
35,,,,vertebrate,`рбетник
36,,,,creature,суштество
37,,,,beast,ѕвер
38,,,,animal,животно
39,,,,organism,организам
40,,,,fauna,фауна
41,,,,placental,плацентален_цицач
42,,,,chordate,хордати
43,,,,eutherian,виш_цицач
44,,,,mammal,цицач
45,,,,mammalian,DUPLICATE_цицач
46,,,,eutherian_mammal,DUPLICATE_виш_цицач
47,,,,gnawer,DUPLICATE_глодач
48,,,,animate_being,живо_суштество
49,,,,living_thing,живо_битие
50,,,,placental_mammal,DUPLICATE_плацентален_цицач
51,,,,craniate,черепни
53,L01_5,hypernyms - animals,bee,,пчела
54,,,,insect,инсект
55,,,,invertebrate,безрбетник
56,,,,creature,суштество
57,,,,beast,ѕвер
58,,,,hymenopteran,ципокрилец
59,,,,being,DUPLICATE_суштество
60,,,,animal,животно
61,,,,organism,организам
62,,,,fauna,фауна
63,,,,arthropod,членконоги
64,,,,hymenopterous_insect,DUPLICATE_ципокрилец
65,,,,animate_being,живо_суштество
66,,,,hymenopteron,DUPLICATE_ципокилец
67,,,,hymenopter,DUPLICATE_ципокилец
68,,,,living_thing,живо_битие
71,L01_6,hypernyms - animals,beetle,,бубачка
72,,,,insect,инсект
73,,,,invertebrate,безрбетник
74,,,,creature,суштество
75,,,,beast,ѕвер
76,,,,being,DUPLICATE_суштество
77,,,,animal,животно
78,,,,organism,организам
79,,,,fauna,фауна
80,,,,arthropod,членконоги
81,,,,animate_being,живо_суштество
82,,,,living_thing,живо_битие
84,L01_7,hypernyms - animals,buffalo,,бивол
85,,,,bovid,NO_TRANSLATION
86,,,,mammal,цицач
87,,,,bison,бизон
88,,,,cow,крава
89,,,,vertebrate,`рбетник
90,,,,creature,суштество
91,,,,ungulate,копитар
92,,,,beast,ѕвер
93,,,,being,DUPLICATE_суштество
94,,,,animal,животно
95,,,,organism,организам
96,,,,fauna,фауна
97,,,,placental,плацентален_цицач
98,,,,artiodactyl,парнокопитни
99,,,,ruminant,преживар
100,,,,chordate,хордати
101,,,,eutherian,виш_цицач
102,,,,mammalian,DUPLICATE_цицач
103,,,,bovine,говеда
104,,,,animate_being,живо_суштество
105,,,,eutherian_mammal,DUPLICATE_виш_цицач
106,,,,placental_mammal,DUPLICATE_плацентален_цицач
107,,,,craniate,черепни
108,,,,physical_hoofed_mammal,DUPLICATE_копитар
109,,,,physical_entity,физички_ентитет
110,,,,even-toed_ungulate,DUPLICATE_парнокопитни
111,,,,artiodactyl_mammal,DUPLICATE_парнокопитни
112,,,,living_thing,живо_битие
114,L01_8,hypernyms - animals,butterfly,,пеперутка
115,,,,insect,инсект
116,,,,creature,суштество
117,,,,beast,ѕвер
118,,,,lepidopteran,DUPLICATE_пеперутка
119,,,,animal,животно
120,,,,organism,организам
121,,,,fauna,фауна
122,,,,arthropod,членконоги
123,,,,lepidopterous_insect,DUPLICATE_пеперутка
124,,,,lepidopteron,DUPLICATE_пеперутка
125,,,,animate_being,живо_суштество
126,,,,living_thing,живо_битие
128,L01_9,hypernyms - animals,cat,,мачка
129,,,,feline,мали_мачки
130,,,,beast,ѕвер
131,,,,animal,животно
132,,,,organism,организам
133,,,,fauna,фауна
134,,,,placental,плацентален_цицач
135,,,,carnivore,месојад
136,,,,chordate,хордати
137,,,,felid,мачки
138,,,,eutherian,виш_цицач
139,,,,mammal,цицач
140,,,,mammalian,DUPLICATE_цицач
141,,,,eutherian_mammal,DUPLICATE_виш_цицач
142,,,,animate_being,живо_суштество
143,,,,placental_mammal,DUPLICATE_плацентален_цицач
144,,,,craniate,черепни
146,L01_10,hypernyms - animals,chicken,,кокошки
147,,,,fowl,живина
148,,,,bird,птица
149,,,,vertebrate,`рбетник
150,,,,poultry,DUPLICATE_живина
151,,,,creature,суштество
152,,,,beast,ѕвер
153,,,,being,DUPLICATE_суштество
154,,,,animal,животно
155,,,,organism,организам
156,,,,fauna,фауна
157,,,,chordate,хордати
158,,,,domestic_fowl,домашна_живина
159,,,,animate_being,живо_суштество
160,,,,gallinaceous_bird,NO_TRANSLATION
161,,,,craniate,черепни
162,,,,gallinacean,DUPLICATE_NO_TRANSLATION
163,,,,living_thing,живо_битие
166,L01_11,hypernyms - animals,chimpanzee,,шимпанзо
167,,,,primate,примати
168,,,,vertebrate,`рбетник
169,,,,creature,суштество
170,,,,beast,ѕвер
171,,,,being,DUPLICATE_суштество
172,,,,animal,животно
173,,,,organism,организам
174,,,,fauna,фауна
175,,,,placental,плацентален_цицач
176,,,,hominid,човеколик_мајмун
177,,,,chordate,хордати
178,,,,eutherian,виш_цицач
179,,,,mammal,цицач
180,,,,ape,DUPLICATE_човеколик_мајмун
181,,,,mammalian,DUPLICATE_цицач
182,,,,animate_being,живо_суштество
183,,,,eutherian_mammal,DUPLICATE_виш_цицач
184,,,,placental_mammal,DUPLICATE_плацентален_цицач
185,,,,craniate,черепни
186,,,,physical_physical_entity,физички_ентитет
187,,,,living_thing,живо_битие
189,L01_12,hypernyms - animals,chinchilla,,чинчила
190,,,,rodent,глодач
191,,,,vertebrate,`рбетник
192,,,,creature,суштество
193,,,,beast,ѕвер
194,,,,animal,животно
195,,,,organism,организам
196,,,,fauna,фауна
197,,,,placental,плацентален_цицач
198,,,,chordate,хордати
199,,,,eutherian,виш_цицач
200,,,,mammal,цицач
201,,,,mammalian,DUPLICATE_цицач
202,,,,eutherian_mammal,DUPLICATE_виш_цицач
203,,,,gnawer,DUPLICATE_глодач
204,,,,animate_being,живо_суштество
205,,,,living_thing,живо_битие
206,,,,placental_mammal,DUPLICATE_плацентален_цицач
207,,,,craniate,черепни
209,L01_13,hypernyms - animals,cobra,,кобра
210,,,,snake,змија
211,,,,reptile,рептил
212,,,,elapid,NO_TRANSLATION
213,,,,elapid_snake,DUPLICATE_NO_TRANSLATION
214,,,,serpent,DUPLICATE_змија
215,,,,ophidian,DUPLICATE_змија
217,L01_14,hypernyms - animals,cockroach,,лебарка
218,,,,insect,инсект
219,,,,invertebrate,безрбетник
220,,,,creature,суштество
221,,,,beast,ѕвер
