,ID,Relation,Source,Target,MK
0,L02_1,hypernyms - misc,armchair,,фотелја
1,,,,chair,"стол,_столче,_столица"
2,,,,seat,"седало,_седалка"
3,,,,piece_of_furniture,парче_мебел
4,,,,article_of_furniture,DUPLICATE_парче_мебел
5,,,,furnishing,опремување
6,,,,artifact,артефакт
7,,,,artefact,DUPLICATE_артефакт
8,,,,unit,парче
9,,,,object,објект
10,,,,physical_object,физички_објект
11,,,,physical_entity,физички_ентитет
12,,,,entity,ентитет
14,L02_2,hypernyms - misc,blender,,блендер
15,,,,appliance,уред
16,,,,mixer,миксер
17,,,,kitchen_utensil,кујнски_прибор
18,,,,utensil,прибор
19,,,,implement,алат
20,,,,artifact,артефакт
21,,,,artefact,DUPLICATE_артефакт
22,,,,unit,парче
23,,,,object,објект
24,,,,physical_object,физички_објект
25,,,,physical_entity,физички_ентитет
26,,,,entity,ентитет
28,L02_3,hypernyms - misc,bracelet,,бразлетна
29,,,,jewelry,накит
30,,,,band,појас
31,,,,strip,лента
32,,,,slip,долниште
33,,,,artifact,артефакт
34,,,,artefact,DUPLICATE_артефакт
35,,,,unit,парче
36,,,,object,објект
37,,,,physical_object,физички_објект
38,,,,physical_entity,физички_ентитет
39,,,,entity,ентитет
40,,,,jewellery,DUPLICATE_накит
41,,,,adornment,украс
42,,,,decoration,декор
43,,,,ornament,орнамент
44,,,,ornamentation,украсување
46,L02_4,hypernyms - misc,brooch,,брош
47,,,,jewelry,накит
48,,,,jewellery,DUPLICATE_накит
49,,,,adornment,украс
50,,,,decoration,декор
51,,,,ornament,орнамент
52,,,,ornamentation,украсување
53,,,,artifact,артефакт
54,,,,artefact,DUPLICATE_артефакт
55,,,,unit,парче
56,,,,object,објект
57,,,,physical_object,физички_објект
59,L02_5,hypernyms - misc,cake,,колач
60,,,,dessert,десерт
61,,,,baked_goods,пекарски_производи
62,,,,food,храна
63,,,,solid_food,цврста_храна
64,,,,course,оброк
65,,,,nutriment,DUPLICATE_храна
66,,,,nourishment,хранење
67,,,,nutrition,DUPLICATE_исхрана
68,,,,sustenance,издршка
69,,,,aliment,DUPLICATE_исхрана
70,,,,alimentation,DUPLICATE_исхрана
71,,,,victuals,DUPLICATE_храна
72,,,,nutrient,хранлива_состојка
73,,,,substance,состојка
74,,,,matter,"елемент,_материја"
75,,,,physical_entity,физички_ентитет
76,,,,entity,ентитет
78,L02_6,hypernyms - misc,computer,,сметач
79,,,,device,уред
80,,,,machine,машина
81,,,,gadget,гаџет
82,,,,artifact,артефакт
83,,,,artefact,DUPLICATE_артефакт
84,,,,unit,парче
85,,,,object,објект
86,,,,physical_object,физички_објект
87,,,,physical_entity,физички_ентитет
88,,,,entity,ентитет
89,,,,expert,експерт
90,,,,person,личност
91,,,,individual,единка
92,,,,someone,некој
93,,,,somebody,DUPLICATE_некој
94,,,,mortal,смртник
95,,,,soul,душа
96,,,,causal_agent,последичен_агент
97,,,,cause,причина
98,,,,causal_agency,NO_TRANSLATION
99,,,,organism,организам
100,,,,being,суштество
101,,,,living_thing,живо_суштество
102,,,,animate_thing,DUPLICATE_живо_суштество
104,L02_7,hypernyms - misc,croissant,,кроасан
105,,,,pastry,печиво
106,,,,bun,овошно_колаче
107,,,,roll,земичка
108,,,,bread,леб
109,,,,breadstuff,NO_TRANSLATION
110,,,,staff_of_life,DUPLICATE_NO_TRANSLATION
111,,,,baked_goods,пекарски_производи
112,,,,starches,скроб
113,,,,food,храна
114,,,,solid_food,цврста_храна
115,,,,foodstuff,DUPLICATE_храна
116,,,,food_product,прехранбен_производ
117,,,,solid,цврсто
118,,,,nutrient,хранлива_состојка
119,,,,matter,"елемент,_материја"
120,,,,substance,состојка
121,,,,physical_entity,физички_ентитет
122,,,,entity,ентитет
124,L02_8,hypernyms - misc,cup,,чаша
125,,,,tableware,прибор_за_јадење
126,,,,crockery,NO_TRANSLATION
127,,,,dishware,садови
128,,,,ware,DUPLICATE_NO_TRANSLATION
129,,,,article,предмет
130,,,,artifact,артефакт
131,,,,artefact,DUPLICATE_артефакт
132,,,,unit,парче
133,,,,object,објект
134,,,,physical_object,физички_објект
135,,,,physical_entity,физички_ентитет
136,,,,entity,ентитет
137,,,,container,контејнер
139,L02_9,hypernyms - misc,denim,,тексас
140,,,,fabric,ткаенина
141,,,,cloth,крпа
142,,,,material,штоф
143,,,,textile,текстил
144,,,,artifact,артефакт
145,,,,artefact,DUPLICATE_артефакт
146,,,,unit,парче
147,,,,object,објект
148,,,,physical_object,физички_објект
149,,,,physical_entity,физички_ентитет
150,,,,entity,ентитет
151,,,,garment,парче_облека
152,,,,clothing,облека
153,,,,article_of_clothing,DUPLICATE_парче_облека
154,,,,vesture,DUPLICATE_облека
155,,,,wear,алишта
156,,,,wearable,NO_TRANSLATION
157,,,,habiliment,DUPLICATE_NO_TRANSLATION
158,,,,consumer_goods,потрошувачка_стока
159,,,,covering,прекривка
160,,,,commodity,стока
161,,,,trade_good,трговски_стоки
162,,,,good,DUPLICATE_роба
164,L02_10,hypernyms - misc,deodorant,,дезодоранс
165,,,,toiletry,тоалетен_прибор
166,,,,toilet_articles,тоалетни_производи
167,,,,artifact,артефакт
168,,,,artefact,DUPLICATE_артефакт
169,,,,unit,парче
170,,,,object,објект
171,,,,physical_object,физички_објект
172,,,,physical_entity,физички_ентитет
173,,,,entity,ентитет
175,L02_11,hypernyms - misc,desk,,"биро,_клупа"
176,,,,furniture,мебел
177,,,,table,маса
178,,,,piece_of_furniture,парче_мебел
179,,,,article_of_furniture,DUPLICATE_парче_мебел
180,,,,furnishing,опремување
181,,,,artifact,артефакт
182,,,,artefact,DUPLICATE_артефакт
183,,,,unit,парче
184,,,,object,објект
185,,,,physical_object,физички_објект
186,,,,physical_entity,физички_ентитет
187,,,,entity,ентитет
189,L02_12,hypernyms - misc,diary,,дневник
190,,,,journal,DUPLICATE_дневник
191,,,,writing,"пишување,_пишан_труд"
192,,,,written_material,пишан_материјал
193,,,,piece_of_writing,дел_од_напишаното
194,,,,written_communication,пишана_комуникација
195,,,,written_language,пишан_јазик
196,,,,black_and_white,црно_бело
197,,,,communication,комуникација
198,,,,abstraction,апстракција
199,,,,abstract_entity,апстрактен_ентитет
200,,,,entity,ентитет
201,,,,book,книга
202,,,,volume,том
203,,,,product,производ
204,,,,production,производство
205,,,,creation,креација
206,,,,artifact,артефакт
207,,,,artefact,DUPLICATE_артефакт
208,,,,unit,парче
209,,,,object,објект
210,,,,physical_object,физички_објект
211,,,,physical_entity,физички_ентитет
213,L02_13,hypernyms - misc,dishwasher,,машина_за_миење_чинии
214,,,,appliance,уред
215,,,,machine,машина
216,,,,entity,ентитет
217,,,,unit,парче
218,,,,object,објект
219,,,,physical_object,физички_објект
220,,,,white_goods,бела_техника
221,,,,home_appliance,домашен_уред
222,,,,household_appliance,DUPLICATE_домашен_уред
223,,,,durables,трајна_роба
224,,,,durable_goods,трајни_добра
225,,,,consumer_durables,потрошувачка_роба
226,,,,consumer_goods,потрошувачки_добра
227,,,,commodity,стока
228,,,,trade_good,трговски_стоки
229,,,,good,добро
230,,,,artifact,артефакт
231,,,,artefact,DUPLICATE_артефакт
232,,,,physical_entity,физички_ентитет
235,L02_14,hypernyms - misc,dress,,алишта
236,,,,clothes,гардероба
237,,,,garment,парче_облека
238,,,,clothing,облека
239,,,,article_of_clothing,DUPLICATE_парче_облека
240,,,,vesture,NO_TRANSLATION
241,,,,wear,алишта
242,,,,wearable,DUPLICATE_NO_TRANSLATION
243,,,,habiliment,DUPLICATE_NO_TRANSLATION
244,,,,consumer_goods,потрошувачки_добра
245,,,,covering,прекривка
246,,,,commodity,стока
247,,,,trade_good,трговски_стоки
248,,,,good,роба
249,,,,artifact,артефакт
250,,,,artefact,DUPLICATE_артефакт
251,,,,unit,парче
252,,,,object,објект
253,,,,physical_object,физички_објект
254,,,,physical_entity,физички_ентитет
255,,,,entity,ентитет
265,L02_15,hypernyms - misc,fridge,,фрижидер
266,,,,appliance,уред
267,,,,icebox,ледомат
268,,,,white_goods,бела_техника
269,,,,home_appliance,домашен_уред
270,,,,household_appliance,DUPLICATE_домашен_уред
271,,,,durables,трајна_роба
272,,,,durable_goods,трајни_добра
273,,,,consumer_durables,потрошувачка_роба
274,,,,consumer_goods,потрошувачки_добра
275,,,,commodity,стока
276,,,,trade_good,трговски_стоки
277,,,,good,DUPLICATE_стока
278,,,,artifact,артефакт
279,,,,artefact,DUPLICATE_артефакт
280,,,,unit,парче
281,,,,object,објект
282,,,,physical_object,физички_објект
283,,,,physical_entity,физички_ентитет
284,,,,entity,ентитет
286,L02_16,hypernyms - misc,gasoline,,бензин
287,,,,fuel,гориво
288,,,,hydrocarbon,јеглеводород
289,,,,substance,состојка
290,,,,organic_compound,органско_соединение
291,,,,matter,"елемент,_материја"
292,,,,compound,соединение
293,,,,chemical_compound,хемиско_соединение
294,,,,physical_entity,физички_ентитет
295,,,,chemical,хемикалија
296,,,,chemical_substance,хемиска_состојка
297,,,,entity,ентитет
298,,,,material,суровина
299,,,,stuff,материјал
300,,,,part,дел
301,,,,portion,NO_TRANSLATION
302,,,,component_part,составен_дел
303,,,,component,компонента
304,,,,constituent,составка
305,,,,relation,однос
306,,,,abstraction,апстракција
307,,,,abstract_entity,апстрактен_ентитет
310,L02_17,hypernyms - misc,grapefruit,,цитрон
311,,,,citrus,агруми
312,,,,citrus_fruit,NO_TRANSLATION
313,,,,citrous_fruit,DUPLICATE_NO_TRANSLATION
314,,,,fruit,овошје
315,,,,edible_fruit,овошје_за_јадење
316,,,,produce,производ
317,,,,green_goods,зелени_добра
