,ID,Relation,Source,Target,MK
0,L03_1,hyponyms - misc,backpack,,ранец
1,,,,daypack,NO_TRANSLATION
2,,,,kitbag,DUPLICATE_NO_TRANSLATION
3,,,,kit_bag,DUPLICATE_NO_TRANSLATION
5,L03_2,hyponyms - misc,bag,,торба
6,,,,pouch,DUPLICATE_торба
7,,,,backpack,ранец
8,,,,knapsack,DUPLICATE_ранец
9,,,,packsack,NO_TRANSLATION
10,,,,rucksack,DUPLICATE_ранец
11,,,,haversack,DUPLICATE_ранец
12,,,,beanbag,вреќа_грав
13,,,,bladder,меур
14,,,,carryall,DUPLICATE_NO_TRANSLATION
15,,,,holdall,DUPLICATE_NO_TRANSLATION
16,,,,tote,товар
17,,,,drawstring,DUPLICATE_NO_TRANSLATION
18,,,,dust,прав
19,,,,vacuum,вакуум
20,,,,envelope,плик
21,,,,gasbag,DUPLICATE_NO_TRANSLATION
22,,,,gamebag,DUPLICATE_NO_TRANSLATION
23,,,,golf,голф
24,,,,gunnysack,DUPLICATE_NO_TRANSLATION
25,,,,gunny,DUPLICATE_NO_TRANSLATION
26,,,,burlap,DUPLICATE_NO_TRANSLATION
27,,,,ice,мраз
28,,,,mailbag,поштенска_торба
29,,,,postbag,DUPLICATE_поштенска_торба
30,,,,nosebag,DUPLICATE_NO_TRANSLATION
31,,,,feedbag,DUPLICATE_NO_TRANSLATION
32,,,,pannier,DUPLICATE_NO_TRANSLATION
33,,,,plastic,пластика
34,,,,purse,паричник
35,,,,ragbag,DUPLICATE_NO_TRANSLATION
36,,,,rosin,DUPLICATE_NO_TRANSLATION
37,,,,sachet,DUPLICATE_NO_TRANSLATION
38,,,,sack,вреќа
39,,,,poke,буричка
40,,,,paper,хартија
41,,,,carrier,носач
42,,,,saddlebag,DUPLICATE_NO_TRANSLATION
43,,,,sandbag,вреќа_песок
44,,,,schoolbag,училишен_ранец
45,,,,shopping,шопинг
46,,,,sick_bag,DUPLICATE_NO_TRANSLATION
47,,,,sickbag,DUPLICATE_NO_TRANSLATION
48,,,,skin,кожа
49,,,,sleeping,кушет
50,,,,sweat,пот
51,,,,tea,чај
52,,,,toilet,тоалет
53,,,,sponge,сунѓер
54,,,,tool,алат
55,,,,tucker-bag,DUPLICATE_NO_TRANSLATION
57,L03_3,hyponyms - misc,bed,,кревет
58,,,,bunk,легло
59,,,,berth,кушет
60,,,,built,граден
61,,,,built-in,вграден
62,,,,cot,креветче
63,,,,camp,камп
64,,,,couch,кауч
65,,,,deathbed,смртна_постела
66,,,,double,двоен
67,,,,four-poster,NO_TRANSLATION
68,,,,hammock,лежалка
69,,,,sack,вреќа
70,,,,marriage_bed,брачен_кревет
71,,,,murphy,DUPLICATE_NO_TRANSLATION
72,,,,plank-bed,кревет_од_талпа
73,,,,platform,платформа
74,,,,sickbed,болчничка_постела
75,,,,single_bed,единечен_кревет
76,,,,sleigh,DUPLICATE_NO_TRANSLATION
77,,,,trundle,DUPLICATE_NO_TRANSLATION
78,,,,truckle,DUPLICATE_NO_TRANSLATION
79,,,,twin,двоен_кревет
80,,,,water,воден_кревет
81,,,,semi-double,DUPLICATE_NO_TRANSLATION
82,,,,semidouble,DUPLICATE_NO_TRANSLATION
84,L03_4,hyponyms - misc,boat,,"чамец,_чун,_кајче"
85,,,,ferry,траект
86,,,,ark,арка
87,,,,barge,"баржа,_дереглија,_шлеп"
88,,,,flatboat,рамен_чамец
89,,,,hoy,NO_TRANSLATION
90,,,,lighter,запалка
91,,,,bumboat,DUPLICATE_NO_TRANSLATION
92,,,,canal_boat,DUPLICATE_NO_TRANSLATION
93,,,,narrow_boat,DUPLICATE_NO_TRANSLATION
94,,,,narrowboat,DUPLICATE_NO_TRANSLATION
95,,,,ferryboat,ферибот
96,,,,fireboat,противпожарен_брод
97,,,,gondola,гондола
98,,,,guard_boat,стражарски_чамец
99,,,,gunboat,DUPLICATE_NO_TRANSLATION
100,,,,junk,крнтија
101,,,,longboat,DUPLICATE_NO_TRANSLATION
102,,,,lugger,DUPLICATE_NO_TRANSLATION
103,,,,mackinaw,DUPLICATE_NO_TRANSLATION
104,,,,mailboat,поштенски_брод
105,,,,mail,пошта
106,,,,packet,пакет
107,,,,motorboat,моторен_чамец
108,,,,powerboat,DUPLICATE_NO_TRANSLATION
109,,,,pilot,пилот
110,,,,police,полиција
111,,,,punt,DUPLICATE_NO_TRANSLATION
112,,,,river_boat,речен_брод
113,,,,scow,DUPLICATE_NO_TRANSLATION
114,,,,sea_boat,морски_брод
115,,,,small_boat,мал_чамец
116,,,,steamboat,пароброд
117,,,,surfboat,чамец_за_сурфање
118,,,,tender_boat,DUPLICATE_NO_TRANSLATION
119,,,,pinnace,DUPLICATE_NO_TRANSLATION
120,,,,cutter_boat,DUPLICATE_NO_TRANSLATION
121,,,,tugboat,реморкер
122,,,,tug,шлепер
123,,,,towboat,брод
124,,,,tower_boat,брод_за_влечење
125,,,,yacht,јахта
126,,,,sail,едро
127,,,,row,весло
128,,,,canoe,кану
129,,,,kayak,кајак
130,,,,paddle,перка
131,,,,paddle_boat,DUPLICATE_NO_TRANSLATION
133,L03_5,hyponyms - misc,book,,книга
134,,,,paperback,мек_повез
135,,,,album,албум
136,,,,folio,фолио
137,,,,hardback,тврд_повез
138,,,,hardcover,DUPLICATE_тврд_повез
139,,,,journal,дневник
140,,,,novel,роман
142,,,,paper-back,DUPLICATE_мек_повез
143,,,,softback,DUPLICATE_мек_повез
144,,,,soft-cover,DUPLICATE_мек_повез
145,,,,picture,слика
146,,,,sketchbook,цртанка
147,,,,sketch,скица
148,,,,notebook,бележник
150,L03_6,hyponyms - misc,brush,,четка
151,,,,toothbrush,четка_за_заби
152,,,,bottlebrush,четка_за_шишиња
153,,,,bristle,четина
154,,,,clothesbrush,четка_за_облека
155,,,,hairbrush,четка_за_коса
156,,,,nailbrush,четка_за_нокти
157,,,,paintbrush,четче
158,,,,sable,NO_TRANSLATION
159,,,,scrub,риба
160,,,,scrubbing,рибање
161,,,,scrubber,"четка_за_рибање,_рибачка_четка"
162,,,,shaving_brush,четка_за_бричење
164,L03_7,hyponyms - misc,burger,,бургер
165,,,,hamburger,хамбургер
166,,,,cheeseburger,чизбургер
167,,,,50,50
168,,,,50_burger,NO_TRANSLATION
169,,,,angus_burger,DUPLICATE_NO_TRANSLATION
170,,,,banquet_burger,DUPLICATE_NO_TRANSLATION
171,,,,barbecue_burger,плескавица_на_скара
172,,,,bøfsandwich,DUPLICATE_NO_TRANSLATION
173,,,,utter_burge,DUPLICATE_NO_TRANSLATION
174,,,,buffalo_burger,DUPLICATE_NO_TRANSLATION
175,,,,california_burger,DUPLICATE_NO_TRANSLATION
176,,,,chili_burger,DUPLICATE_NO_TRANSLATION
177,,,,curry_burger,DUPLICATE_NO_TRANSLATION
178,,,,hamdog,DUPLICATE_NO_TRANSLATION
179,,,,salmon_burger,DUPLICATE_NO_TRANSLATION
180,,,,rice_burger,DUPLICATE_NO_TRANSLATION
181,,,,veggie_burger,DUPLICATE_NO_TRANSLATION
183,L03_8,hyponyms - misc,camera,,камера
184,,,,camcorder,видео_камера
185,,,,box_camera,NO_TRANSLATION
186,,,,box_kodak,DUPLICATE_NO_TRANSLATION
187,,,,candid_camera,скриена_камера
188,,,,digital_camera,дигитална_камера
189,,,,flash_camera,блиц_камера
190,,,,motion-picture_camera,филмска_камера
