,ID,Relation,Source,Target,MK
0,L10_1,antonyms - binary,after,,по
1,,,,before,пред
2,,,,earlier,порано
3,,,,previously,претходно
5,L10_2,antonyms - binary,ahead,,напред
6,,,,behind,зад
7,,,,rear,одзади
8,,,,after,по
9,,,,tail,опашка
10,,,,beforehand,претходно
12,L10_3,antonyms - binary,anterior,,NO_TRANSLATION
13,,,,posterior,апостериоори
15,L10_4,antonyms - binary,backward,,назад
16,,,,forward,пред
17,,,,forwards,напред
18,,,,frontward,NO_TRANSLATION
19,,,,frontwards,DUPLICATE_NO_TRANSLATION
20,,,,forrad,DUPLICATE_NO_TRANSLATION
21,,,,forrard,DUPLICATE_NO_TRANSLATION
22,,,,forth,повратен
25,L10_5,antonyms - binary,before,,пред
26,,,,after,по
27,,,,subsequently,последователно
28,,,,later,подоцна
29,,,,afterwards,отпосле
30,,,,afterward,DUPLICATE_отпосле
31,,,,ahead,напред
33,L10_6,antonyms - binary,beginning,,почеток
34,,,,end,крај
35,,,,terminal,завршен
36,,,,ending,"завршеток,_епилог"
37,,,,last,последен
38,,,,final,конечен
39,,,,finish,завршница
40,,,,finale,финале
41,,,,conclusion,заклучок
43,L10_7,antonyms - binary,below,,под
44,,,,above,над
45,,,,higher,горен
46,,,,up,горе
48,L10_8,antonyms - binary,climb,,искачува
49,,,,descend,слегува
50,,,,declivitous,NO_TRANSLATION
51,,,,downhill,удолница
52,,,,downward-sloping,DUPLICATE_NO_TRANSLATION
53,,,,degressive,DUPLICATE_NO_TRANSLATION
54,,,,descendant,DUPLICATE_NO_TRANSLATION
55,,,,descendent,DUPLICATE_NO_TRANSLATION
56,,,,down,долу
57,,,,downward,надолу
58,,,,downward-arching,DUPLICATE_NO_TRANSLATION
59,,,,drizzling,DUPLICATE_NO_TRANSLATION
60,,,,dropping,испуштен
61,,,,falling,паѓање
62,,,,raining,врнежлив
64,L10_9,antonyms - binary,dead,,мртов
65,,,,alive,жив
66,,,,living,живо
67,,,,live,живее
69,L10_10,antonyms - binary,decrement,,декремент
70,,,,increment,инкремент
72,L10_11,antonyms - binary,descend,,слегува
73,,,,ascend,искачува
74,,,,climb,качува
75,,,,rise,виши
76,,,,upward,нагорен
77,,,,ascendent,асцедент
78,,,,ascendant,DUPLICATE_асцедент
80,L10_12,antonyms - binary,dive,,нурка
81,,,,emerge,исплови
83,L10_13,antonyms - binary,down,,долу
84,,,,up,горе
85,,,,above,над
86,,,,ahead,врз
87,,,,lead,води
88,,,,leading,водечки
89,,,,aweigh,NO_TRANSLATION
90,,,,dormie,DUPLICATE_NO_TRANSLATION
91,,,,dormy,DUPLICATE_NO_TRANSLATION
92,,,,heavenward,DUPLICATE_NO_TRANSLATION
93,,,,skyward,DUPLICATE_NO_TRANSLATION
94,,,,risen,DUPLICATE_NO_TRANSLATION
95,,,,sprouted,DUPLICATE_NO_TRANSLATION
96,,,,upbound,DUPLICATE_NO_TRANSLATION
97,,,,upfield,DUPLICATE_NO_TRANSLATION
98,,,,upward,нагорен
100,L10_14,antonyms - binary,downslope,,нагорнина
101,,,,upslope,надолнина
102,,,,ascent,искачување
104,L10_15,antonyms - binary,drop,,испушта
105,,,,lift,крева
106,,,,pick_up,прибира
108,L10_16,antonyms - binary,dynamic,,динамички
109,,,,static,статичен
110,,,,still,неподвижен
111,,,,unmoving,DUPLICATE_неподвижен
112,,,,unchanging,непроменлив
114,L10_17,antonyms - binary,employ,,вработува
115,,,,dismiss,распушта
