,ID,Relation,Source,Target,PT
0,L01_1,hypernyms - animals,allosaurus,,alossauro
1,,,,dinosaur,dinossauro
2,,,,reptile,réptil
3,,,,bird,pássaro
4,,,,archosaur,arcossauro
5,,,,archosaurian,DUPLICATE_arcossauro
6,,,,archosaurian_reptile,arcossauro_réptil
7,,,,,ave
8,L01_2,hypernyms - animals,anaconda,,anaconda
9,,,,snake,cobra
10,,,,reptile,réptil
11,,,,boa,boa
12,,,,serpent,serpente
13,,,,ophidian,ofídio
15,L01_3,hypernyms - animals,ant,,formiga
16,,,,insect,inseto
17,,,,invertebrate,invertebrado
18,,,,creature,criatura
19,,,,beast,DUPLICATE_animal
20,,,,hymenopteran,himenóptero
21,,,,being,ser
22,,,,animal,animal
23,,,,organism,organismo
24,,,,fauna,fauna
25,,,,arthropod,artrópode
26,,,,hymenopterous_insect,himenóptero_inseto
27,,,,animate_being,ser_animado
28,,,,physical_hymenopteron,DUPLICATE_himenóptero
29,,,,physical_entity,entidade_física
30,,,,hymenopter,DUPLICATE_himenóptero
31,,,,living_thing,coisa_viva
33,L01_4,hypernyms - animals,beaver,,castor
34,,,,rodent,roedor
35,,,,vertebrate,vertebrado
36,,,,creature,criatura
37,,,,beast,DUPLICATE_animal
38,,,,animal,animal
39,,,,organism,organismo
40,,,,fauna,fauna
41,,,,placental,placentário
42,,,,chordate,cordado
43,,,,eutherian,eutério
44,,,,mammal,mamífero
45,,,,mammalian,DUPLICATE_mamífero
46,,,,eutherian_mammal,mamífero_eutério
47,,,,gnawer,DUPLICATE_roedor
48,,,,animate_being,ser_animado
49,,,,living_thing,coisa_viva
50,,,,placental_mammal,mamífero_placentário
51,,,,craniate,craniata
53,L01_5,hypernyms - animals,bee,,abelha
54,,,,insect,inseto
56,,,,creature,criatura
57,,,,beast,DUPLICATE_animal
58,,,,hymenopteran,himenóptero
59,,,,being,ser
60,,,,animal,animal
61,,,,organism,organismo
62,,,,fauna,fauna
63,,,,arthropod,artrópode
64,,,,hymenopterous_insect,himenóptero_inseto
65,,,,animate_being,ser_animado
66,,,,hymenopteron,DUPLICATE_himenóptero
67,,,,hymenopter,DUPLICATE_himenóptero
68,,,,living_thing,coisa_viva
69,,,,vertebrado,invertebrado
71,L01_6,hypernyms - animals,beetle,,besouro
72,,,,insect,inseto
73,,,,invertebrate,invertebrado
74,,,,creature,criatura
75,,,,beast,DUPLICATE_animal
76,,,,being,ser
77,,,,animal,animal
78,,,,organism,organismo
79,,,,fauna,fauna
80,,,,arthropod,artrópode
81,,,,animate_being,ser_animado
82,,,,living_thing,coisa_viva
84,L01_7,hypernyms - animals,buffalo,,búfalo
85,,,,bovid,bovídeo
86,,,,mammal,mamífero
87,,,,bison,bisonte
88,,,,cow,bovina
89,,,,vertebrate,vertebrado
90,,,,creature,criatura
91,,,,ungulate,ungulado
92,,,,beast,DUPLICATE_animal
93,,,,being,ser
94,,,,animal,animal
95,,,,organism,organismo
96,,,,fauna,fauna
97,,,,placental,placentário
98,,,,artiodactyl,artiodáctilo
99,,,,ruminant,ruminante
100,,,,chordate,cordado
101,,,,eutherian,eutério
102,,,,mammalian,DUPLICATE_mamífero
103,,,,bovine,bovino
104,,,,animate_being,ser_animado
105,,,,eutherian_mammal,mamífero_eutério
106,,,,placental_mammal,mamífero_placentário
107,,,,craniate,craniata
108,,,,physical_hoofed_mammal,mamífero_com_casco_físico
109,,,,physical_entity,entidade_física
110,,,,even-toed_ungulate,ungulado_de_dedos_pares
111,,,,artiodactyl_mammal,mamífero_artiodáctilo
112,,,,living_thing,coisa_viva
114,L01_8,hypernyms - animals,butterfly,,borboleta
115,,,,insect,inseto
116,,,,creature,criatura
117,,,,beast,DUPLICATE_animal
118,,,,lepidopteran,lepidóptero
119,,,,animal,animal
120,,,,organism,organismo
121,,,,fauna,fauna
122,,,,arthropod,artrópode
123,,,,lepidopterous_insect,inseto_lepidóptero
124,,,,lepidopteron,lepidoptera
125,,,,animate_being,ser_animado
126,,,,living_thing,coisa_viva
128,L01_9,hypernyms - animals,cat,,gato
129,,,,feline,felino
130,,,,beast,DUPLICATE_animal
131,,,,animal,animal
132,,,,organism,organismo
133,,,,fauna,fauna
134,,,,placental,placentário
135,,,,carnivore,carnívoro
136,,,,chordate,cordado
137,,,,felid,DUPLICATE_felino
138,,,,eutherian,eutério
139,,,,mammal,mamífero
140,,,,mammalian,DUPLICATE_mamífero
141,,,,eutherian_mammal,mamífero_eutério
142,,,,animate_being,ser_animado
143,,,,placental_mammal,mamífero_placentário
144,,,,craniate,craniata
146,L01_10,hypernyms - animals,chicken,,galinha
147,,,,fowl,ave
148,,,,bird,pássaro
149,,,,vertebrate,vertebrado
150,,,,poultry,ave_de_capoeira
151,,,,creature,criatura
152,,,,beast,DUPLICATE_animal
153,,,,being,ser
154,,,,animal,animal
155,,,,organism,organismo
156,,,,fauna,fauna
157,,,,chordate,cordado
158,,,,domestic_fowl,ave_doméstica
159,,,,animate_being,ser_animado
160,,,,gallinaceous_bird,pássaro_galináceo
161,,,,craniate,craniata
162,,,,gallinacean,galináceo
163,,,,living_thing,coisa_viva
166,L01_11,hypernyms - animals,chimpanzee,,chimpanzé
167,,,,primate,primata
168,,,,vertebrate,vertebrado
