,ID,Relation,Source,Target,PT
0,L03_1,hyponyms - misc,backpack,,mochila
1,,,,daypack,mochila_pequena
2,,,,kitbag,saco_desportivo
3,,,,kit_bag,DUPLICATE_saco_desportivo
5,L03_2,hyponyms - misc,bag,,saco
6,,,,pouch,bolsa
7,,,,backpack,mochila
8,,,,knapsack,DUPLICATE_mochila
9,,,,packsack,DUPLICATE_mochila
10,,,,rucksack,DUPLICATE_mochila
11,,,,haversack,DUPLICATE_mochila
12,,,,beanbag,pufe
13,,,,bladder,algália
14,,,,carryall,saco_de_viagem
15,,,,holdall,DUPLICATE_saco_de_viagem
16,,,,tote,saco_de_pano
17,,,,drawstring,saco_de_cordões
18,,,,dust,saco_de_aspirador
19,,,,vacuum,DUPLICATE_saco_de_aspirador
20,,,,envelope,envelope
21,,,,gasbag,reservatório_de_gás
22,,,,gamebag,saco_de_caça
23,,,,golf,saco_de_golfe
24,,,,gunnysack,saco_de_juta
25,,,,gunny,DUPLICATE_saco_de_juta
26,,,,burlap,serapilheira
27,,,,ice,saco_de_gelo
28,,,,mailbag,saco_de_correio
29,,,,postbag,DUPLICATE_saco_de_correio
30,,,,nosebag,embornal
31,,,,feedbag,saco_de_ração
32,,,,pannier,alforge
33,,,,plastic,saco_de_plástico
34,,,,purse,DUPLICATE_bolsa
35,,,,ragbag,saco_de_farrapos
36,,,,rosin,saco_de_resina
37,,,,sachet,saqueta
38,,,,sack,saca
39,,,,poke,algibeira
40,,,,paper,saco_de_papel
41,,,,carrier,saco_de_compras
42,,,,saddlebag,DUPLICATE_alforge
43,,,,sandbag,saco_de_areia
44,,,,schoolbag,mochila_escolar
45,,,,shopping,DUPLICATE_saco_de_compras
46,,,,sick_bag,saco_para_o_enjoo
47,,,,sickbag,DUPLICATE_saco_para_o_enjoo
48,,,,skin,odre
49,,,,sleeping,saco_cama
50,,,,sweat,saco_de_ginásio
51,,,,tea,saco_de_chá
52,,,,toilet,estojo_de_tocador
53,,,,sponge,DUPLICATE_estojo_de_tocador
54,,,,tool,saco_de_ferramentas
55,,,,tucker-bag,DUPLICATE_mochila
57,L03_3,hyponyms - misc,bed,,cama
58,,,,bunk,beliche
59,,,,berth,DUPLICATE_beliche
60,,,,built,cama_embutida
61,,,,built-in,DUPLICATE_cama_embutida
62,,,,cot,berço
63,,,,camp,DUPLICATE_berço
64,,,,couch,sofá_cama
65,,,,deathbed,leito_de_morte
66,,,,double,cama_dupla
67,,,,four-poster,cama_de_dossel
68,,,,hammock,cama_de_rede
69,,,,sack,saco_cama
70,,,,marriage_bed,cama_de_casal
71,,,,murphy,DUPLICATE_cama_embutida
72,,,,plank-bed,cama_de_tábuas
73,,,,platform,cama_de_plataforma
74,,,,sickbed,cama_de_hospital
75,,,,single_bed,cama_de_solteiro
76,,,,sleigh,cama_de_trenó
77,,,,trundle,cama_de_gavetão
78,,,,truckle,DUPLICATE_cama_de_gavetão
79,,,,twin,DUPLICATE_cama_dupla
80,,,,water,cama_de_água
81,,,,semi-double,cama_de_corpo_e_meio
82,,,,semidouble,DUPLICATE_cama_de_corpo_e_meio
84,L03_4,hyponyms - misc,boat,,barco
85,,,,ferry,balsa
86,,,,ark,arca
87,,,,barge,barcaça
88,,,,flatboat,DUPLICATE_barcaça
89,,,,hoy,batelão
90,,,,lighter,DUPLICATE_barcaça
91,,,,bumboat,barco_de_mercadorias
92,,,,canal_boat,barco_de_canal
93,,,,narrow_boat,barco_estreito
94,,,,narrowboat,DUPLICATE_barco_estreito
95,,,,ferryboat,ferry
96,,,,fireboat,barco_de_bombeiros
97,,,,gondola,gôndola
98,,,,guard_boat,barco_de_guarda
99,,,,gunboat,canhoneira
100,,,,junk,junco
101,,,,longboat,barco_longo
102,,,,lugger,lugre
103,,,,mackinaw,veleiro_leve
104,,,,mailboat,barco_correio
105,,,,mail,DUPLICATE_barco_correio
106,,,,packet,paquete
107,,,,motorboat,lancha
108,,,,powerboat,DUPLICATE_lancha
109,,,,pilot,piloto_de_barco
110,,,,police,barco_de_polícia
111,,,,punt,chata
112,,,,river_boat,barco_de_rio
113,,,,scow,DUPLICATE_chata
114,,,,sea_boat,barco_de_mar
115,,,,small_boat,barco_pequeno
116,,,,steamboat,barco_a_vapor
117,,,,surfboat,barco_de_surf
118,,,,tender_boat,barco_macio
119,,,,pinnace,DUPLICATE_lancha
120,,,,cutter_boat,chalupa
121,,,,tugboat,rebocador
122,,,,tug,DUPLICATE_rebocador
123,,,,towboat,DUPLICATE_rebocador
124,,,,tower_boat,DUPLICATE_rebocador
125,,,,yacht,iate
126,,,,sail,barco_a_vela
127,,,,row,barco_a_remos
128,,,,canoe,canoa
129,,,,kayak,caiaque
130,,,,paddle,DUPLICATE_barco_a_remos
131,,,,paddle_boat,DUPLICATE_barco_a_remos
132,,,,,"rabelo,barca_serrana"
133,L03_5,hyponyms - misc,book,,livro
134,,,,paperback,livro_de_capa_mole
135,,,,album,álbum
136,,,,folio,fólio
137,,,,hardback,livro_de_capa_dura
138,,,,hardcover,DUPLICATE_livro_de_capa_dura
139,,,,journal,diário
140,,,,novel,novela
141,,,,order,encomenda
142,,,,paper-back,DUPLICATE_livro_de_capa_mole
143,,,,softback,DUPLICATE_livro_de_capa_mole
144,,,,soft-cover,DUPLICATE_livro_de_capa_mole
145,,,,picture,livro_de_fotografias
146,,,,sketchbook,caderno_de_esboços
147,,,,sketch,DUPLICATE_caderno_de_esboços
148,,,,notebook,caderno
150,L03_6,hyponyms - misc,brush,,escova
151,,,,toothbrush,escova_de_dentes
152,,,,bottlebrush,escova_de_garrafas
153,,,,bristle,cerda
154,,,,clothesbrush,escova_de_roupa
155,,,,hairbrush,escova_de_cabelo
156,,,,nailbrush,escova_de_unhas
157,,,,paintbrush,pincel
158,,,,sable,DUPLICATE_pincel
159,,,,scrub,esfregão
160,,,,scrubbing,DUPLICATE_esfregão
161,,,,scrubber,DUPLICATE_esfregão
162,,,,shaving_brush,pincel_de_barbear
164,L03_7,hyponyms - misc,burger,,hambúrguer
165,,,,hamburger,DUPLICATE_hambúrguer
166,,,,cheeseburger,hambúrguer_com_queijo
167,,,,50,NO_TRANSLATION
168,,,,50_burger,DUPLICATE_NO_TRANSLATION
169,,,,angus_burger,hambúrguer_angus
170,,,,banquet_burger,hambúrguer_de_banquete
171,,,,barbecue_burger,hambúrguer_de_churrasco
172,,,,bøfsandwich,DUPLICATE_hambúrguer
173,,,,utter_burge,DUPLICATE_hambúrguer
174,,,,buffalo_burger,hambúrguer_de_búfalo
175,,,,california_burger,hambúrguer_californiano
176,,,,chili_burger,hambúrguer_de_chili
177,,,,curry_burger,hambúrguer_de_caril
178,,,,hamdog,DUPLICATE_NO_TRANSLATION
179,,,,salmon_burger,hambúrguer_de_salmão
180,,,,rice_burger,hambúrguer_de_arroz
181,,,,veggie_burger,hambúrguer_vegetariano
183,L03_8,hyponyms - misc,camera,,câmara
184,,,,camcorder,câmara_de_filmar
185,,,,box_camera,câmara_obscura
186,,,,box_kodak,NO_TRANSLATION
187,,,,candid_camera,câmara_oculta
188,,,,digital_camera,câmara_digital
189,,,,flash_camera,câmara_com_flash
190,,,,motion-picture_camera,câmara_cinematográfica
191,,,,movie_camera,DUPLICATE_câmara_cinematográfica
192,,,,cine-camera,DUPLICATE_câmara_cinematográfica
193,,,,point-and-shoot_camera,câmara_de_apontar_e_disparar
194,,,,point-and-shoot,DUPLICATE_câmara_de_apontar_e_disparar
195,,,,polaroid_camera,câmara_polaroid
196,,,,polaroid_land_camera,câmara_polaroid_terrestre
197,,,,polaroid,polaroid
198,,,,portrait_camera,câmara_de_retratos
199,,,,reflex_camera,câmara_reflex
200,,,,webcam,câmara_web
201,,,,webcamera,DUPLICATE_câmara_web
202,,,,sound_camera,câmara_de_som
203,,,,,câmara_analógica
204,L03_9,hyponyms - misc,candy,,doce
205,,,,lollipop,chupa-chupa
206,,,,candy_bar,barra_de_chocolate
207,,,,carob_bar,barra_de_alfarroba
208,,,,hard_candy,rebuçado
209,,,,brandyball,brigadeiro
210,,,,patty,NO_TRANSLATION
211,,,,bonbon,bombom
212,,,,brittle,DUPLICATE_nougat
213,,,,toffee,caramelo
214,,,,toffy,DUPLICATE_caramelo
215,,,,butterscotch,caramelo_de_manteiga
216,,,,candy_cane,bengala_doce
217,,,,candy_corn,milho_doce
218,,,,caramel,DUPLICATE_caramelo
219,,,,cotton_candy,algodão_doce
220,,,,spun_sugar,DUPLICATE_algodão_doce
221,,,,candyfloss,DUPLICATE_algodão_doce
222,,,,dragee,drageia
223,,,,fondant,pasta_de_acúcar
224,,,,fudge,doce_de_açúcar
225,,,,gumdrop,pastilha
226,,,,honey_crisp,mel_crocante
227,,,,mint,DUPLICATE_doce_de_menta
228,,,,mint_candy,doce_de_menta
229,,,,horehound,marroio
230,,,,jelly_bean,goma
