,ID,Relation,Source,Target,PT
0,L06_1,meronyms - part,academia,,academia
1,,,,college,faculdade
2,,,,university,universidade
3,,,,institute,instituto
5,L06_2,meronyms - part,apartment,,apartamento
6,,,,bedroom,quarto
7,,,,room,divisão
8,,,,bathroom,casa_de_banho
9,,,,kitchen,cozinha
10,,,,kitchenette,minicozinha
11,,,,living_room,sala_de_estar
12,,,,pantry,despensa
13,,,,toilet,wc
14,,,,shower_room,balneário
15,,,,,sala_de_jantar
16,L06_3,meronyms - part,bird,,ave
17,,,,feathers,penas
18,,,,plume,pluma
19,,,,preen,uropígio
20,,,,croup,garupa
21,,,,calamus,cálamo
22,,,,fowl,galinácio
23,,,,drumstick,coxa
24,,,,syrinx,siringe
25,,,,bill,bico
26,,,,rump,rabadilha
27,,,,vane,bárbula
28,,,,barb,barbela
29,,,,quill,pena_de_ave
30,,,,shaft,ráquis
31,,,,pecker,picanço
32,,,,pennon,flâmula
33,,,,feet,pés
34,,,,giblets,miudezas
35,,,,alula,álula
36,,,,talon,garra
37,,,,foot,pé
38,,,,pinion,rémige
39,,,,wing,asa
40,,,,wishbone,fúrcula
41,,,,nib,DUPLICATE_bico
42,,,,sac,saco
43,,,,giblet,miudeza
44,,,,furcula,DUPLICATE_fúrcula
45,,,,bird,ave
46,,,,neb,DUPLICATE_bico
47,,,,feather,pena
48,,,,gland,glândula
49,,,,oyster,NO_TRANSLATION
50,,,,thigh,DUPLICATE_coxa
51,,,,plumage,plumagem
52,,,,web,palmura
53,,,,hindquarters,quatros_traseiros
54,,,,beak,DUPLICATE_bico
55,,,,parson's_nose,DUPLICATE_uropígio
56,,,,wishing_bone,DUPLICATE_fúrcula
57,,,,pope's_nose,DUPLICATE_uropígio
58,,,,spurious_wing,DUPLICATE_álula
59,,,,bastard_wing,DUPLICATE_álula
60,,,,croupe,DUPLICATE_rabadilha
61,,,,air_sac,saco_aéreo
62,,,,quill_feather,DUPLICATE_pena_de_ave
63,,,,uropygium,DUPLICATE_uropígio
64,,,,bird's_foot,pé_de_ave
65,,,,uropygial,uropigial
66,,,,second_joint,segunda_articulação
67,,,,uropygial_gland,glândula_uropigial
68,,,,preen_gland,DUPLICATE_glândula_uropigial
69,,,,flight_feather,pena_de_voo
70,,,,dark_meat,carne_escura
72,L06_4,meronyms - part,brush,,escova
73,,,,bristle,cerdas
74,,,,hold,suporte
75,,,,shank,haste
76,,,,grip,pega
77,,,,handgrip,punho
78,,,,handle,cabo
79,,,,head,cabeça
80,,,,stem,DUPLICATE_haste
82,L06_5,meronyms - part,bus,,autocarro
83,,,,seats,assentos
84,,,,conductor,condutor
85,,,,window,janela
86,,,,driver,motorista
87,,,,roof,tejadilho
89,L06_6,meronyms - part,byte,,byte
90,,,,bit,bit
92,L06_7,meronyms - part,car,,carro
93,,,,engine,motor
94,,,,armrest,apoio_de_braços
95,,,,headrest,encosto_de_cabeça
96,,,,grille,grelha
97,,,,hinge,dobradiça
98,,,,tailpipe,tubo_de_escape
99,,,,suspension,suspensão
100,,,,hood,capota
101,,,,horn,buzina
102,,,,hooter,DUPLICATE_buzina
103,,,,petrol,gasolina
104,,,,pintle,pino
105,,,,trunk,bagageira
106,,,,floorboard,chão
107,,,,bar,barra
108,,,,gas,DUPLICATE_gasolina
109,,,,buffer,pára-choques
110,,,,door,porta
111,,,,stabilizer,estabilizador
112,,,,seat,assento
113,,,,window,janela
114,,,,exhaust,escape
115,,,,tailfin,aleta
116,,,,back,traseira
117,,,,luggage,bagagem
118,,,,pedal,pedal
119,,,,cowling,DUPLICATE_capota
120,,,,seatbelt,cinto_de_segurança
121,,,,high,alto
122,,,,wing,asa
123,,,,gasoline,DUPLICATE_gasolina
124,,,,fin,DUPLICATE_aleta
125,,,,cowl,DUPLICATE_capota
126,,,,silencer,abafador
127,,,,gun,acelerador
128,,,,compartment,compartimento
129,,,,rear,DUPLICATE_traseira
130,,,,radiator,radiador
131,,,,accessory,acessório
132,,,,sunroof,tecto_de_abrir
133,,,,roof,tejadilho
134,,,,lights,luzes
135,,,,bumper,DUPLICATE_pára-choques
136,,,,glove,luva
137,,,,bag,saco
138,,,,cushion,coxim
139,,,,backrest,encosto
140,,,,accelerator,DUPLICATE_acelerador
141,,,,fender,DUPLICATE_pára_choques
142,,,,third,terceiro
143,,,,throttle,DUPLICATE_acelerador
144,,,,bonnet,DUPLICATE_capota
145,,,,air,ar
146,,,,gear,engrenagem
147,,,,muffler,DUPLICATE_abafador
148,,,,mirror,espelho
149,,,,shock,choque
150,,,,reverse,marcha_atrás
151,,,,anti-sway_bar,barra_estabilizadora
152,,,,tail_fin,DUPLICATE_aleta
153,,,,accelerator_pedal,pedal_acelerador
154,,,,car_seat,DUPLICATE_assento
155,,,,automobile_horn,buzina_automóvel
156,,,,anti-sway,DUPLICATE_estabilizador
157,,,,automobile_engine,motor_automóvel
158,,,,gasoline_engine,motor_a_gasolina
159,,,,car_door,porta_do_carro
160,,,,shock_absorber,amortecedor
161,,,,luggage_compartment,DUPLICATE_bagageira
162,,,,glove_compartment,porta_luvas
163,,,,bumper_guard,guarda_pára_choques
164,,,,exhaust_system,sistema_de_escape
165,,,,first_gear,primeira_velocidade
166,,,,high_gear,velocidade_alta
167,,,,rear_window,óculo_traseiro
168,,,,sunshine-roof,DUPLICATE_tecto_de_abrir
169,,,,third_gear,terceira_velocidade
170,,,,air_bag,airbag
171,,,,doorlock,fechadura
172,,,,petrol_engine,DUPLICATE_motor_a_gasolina
173,,,,automobile_trunk,DUPLICATE_bagageira
174,,,,auto_accessory,acessório_automóvel
175,,,,inlet_manifold,colector_de_admissão
176,,,,horn_button,botão_da_buzina
177,,,,running_board,plataforma_de_apoio
178,,,,stabilizer_bar,DULICATE_barra_estabilizadora
179,,,,motor_horn,buzina_de_motor
180,,,,exhaust_manifold,colector_de_escape
181,,,,exhaust_pipe,DUPLICATE_tubo_de_escape
182,,,,radiator_grille,grelha_de_radiador
183,,,,low_gear,velocidade_baixa
184,,,,flexible_joint,junta_flexível
185,,,,head_restraint,DUPLICATE_encosto_de_cabeça
186,,,,hood_ornament,ornamento_da_capota
187,,,,exhaust_valve,válvula_de_escape
188,,,,car_mirror,espelho_do_carro
189,,,,gas_pedal,DUPLICATE_pedal_acelerador
190,,,,seat_belt,DUPLICATE_cinto_de_segurança
191,,,,reverse_gear,DUPLICATE_marcha_atrás
192,,,,car_horn,DUPLICATE_buzina_automóvel
193,,,,car_window,DUPLICATE_janela
194,,,,suspension_system,sistema_de_suspensão
197,L06_8,meronyms - part,castle,,castelo
198,,,,donjon,torre_de_menagem
199,,,,tower,torre
200,,,,turret,torreão
201,,,,gate,portão
202,,,,dungeon,masmorra
203,,,,moat,fosso
204,,,,keep,fortaleza
205,,,,great_hall,salão
206,,,,,calabouço
207,L06_9,meronyms - part,cat,,gato
208,,,,whiskers,bigodes
209,,,,coat,casaco
210,,,,paw,pata
