,ID,Relation,Source,Target,PT
0,L07_1,synonyms - intensity,afraid,,assustado
1,,,,terrified,aterrorizado
2,,,,horrified,horrorizado
3,,,,scared,apavorado
4,,,,stiff,hirto
5,,,,petrified,petrificado
6,,,,fearful,temeroso
7,,,,panicky,em_pânico
8,,,,,"receoso,medroso,paralisado"
9,L07_2,synonyms - intensity,angry,,zangado
10,,,,furious,furioso
11,,,,enraged,enraivecido
12,,,,outraged,indignado
13,,,,aggrivated,provocado
14,,,,irate,irado
15,,,,seething,fervilhante
16,,,,,enfurecido
17,L07_3,synonyms - intensity,ask,,pedir
18,,,,beg,DUPLICATE_pedir
19,,,,implore,implorar
20,,,,pray,DUPLICATE_suplicar
21,,,,entreat,rogar
22,,,,supplicate,suplicar
23,,,,insist,insistir
24,,,,,convidar
25,L07_4,synonyms - intensity,bad,,mau
26,,,,awful,horrível
27,,,,atrocious,atroz
28,,,,abominable,abominável
29,,,,dreadful,medonho
30,,,,painful,aflitivo
31,,,,terrible,terrível
32,,,,unspeakable,indescritível
33,,,,,"execrando,detestável,pavoroso,pesaroso,tremendo"
34,L07_5,synonyms - intensity,boring,,aborrecido
35,,,,tedious,entediante
36,,,,deadening,sufocante
37,,,,dull,maçador
38,,,,ho-hum,banal
39,,,,irksome,custoso
40,,,,tiresome,cansativo
41,,,,wearisome,fastidioso
42,,,,,"desinteressante,chato,penoso,monótono,seca,enfadonho"
43,L07_6,synonyms - intensity,cat,,gato
44,,,,lion,leão
45,,,,tiger,tigre
46,,,,leopard,leopardo
47,,,,panther,pantera
48,,,,jaguar,jaguar
50,L07_7,synonyms - intensity,chuckle,,risada
51,,,,laugh,riso
52,,,,guffaw,gargalhada
53,,,,chortle,DUPLICATE_gargalhada
54,,,,snicker,risadinha
55,,,,snigger,risinho
56,,,,titter,DUPLICATE_risinho
57,,,,roar,rugido
58,,,,,"bramino,relincho"
59,L07_8,synonyms - intensity,confused,,confuso
60,,,,lost,perdido
61,,,,bewildered,desorientado
62,,,,trapped,encurralado
63,,,,desperate,desesperado
65,L07_9,synonyms - intensity,creative,,criativo
66,,,,ingenious,engenhoso
67,,,,inventive,inventivo
68,,,,demiurgic,demiúrgico
69,,,,deviceful,DUPLICATE_engenhoso
70,,,,innovational,DUPLICATE_inovador
