,ID,Relation,Source,Target,PT
0,L08_1,synonyms - exact,airplane,,aeroplano
1,,,,aeroplane,DUPLICATE_aeroplano
2,,,,plane,avião
3,,,,,aeronave
4,L08_2,synonyms - exact,auto,,automóvel
5,,,,car,carro
6,,,,automobile,DUPLICATE_automóvel
7,,,,motorcar,DUPLICATE_carro
8,,,,,viatura
9,L08_3,synonyms - exact,baby,,bebé
10,,,,infant,menor
11,,,,babe,criancinha
13,L08_4,synonyms - exact,bicycle,,bicicleta
14,,,,bike,bicla
15,,,,wheel,DUPLICATE_bicicleta
16,,,,cycle,velocípede
18,L08_5,synonyms - exact,child,,criança
19,,,,kid,miúdo
20,,,,youngster,jovem
21,,,,minor,menor
22,,,,shaver,garoto
23,,,,nipper,criancinha
24,,,,small_fry,arraia_miúda
25,,,,tiddler,pequenito
26,,,,tike,diabrete
27,,,,tyke,traquinas
28,,,,fry,DUPLICATE_miúdo
29,,,,nestling,filhote
30,,,,,pueril
31,L08_6,synonyms - exact,cloth,,fazenda
32,,,,fabric,tecido
33,,,,material,DUPLICATE_tecido
34,,,,textile,têxtil
35,,,,,pano
36,L08_7,synonyms - exact,clothes,,roupa
37,,,,clothing,vestuário
38,,,,apparel,vestimenta
39,,,,dress,vestido
41,L08_8,synonyms - exact,confused,,confuso
42,,,,baffled,desconcentrado
43,,,,befuddled,atordoado
44,,,,bemused,desorientado
45,,,,bewildered,DUPLICATE_desorientado
46,,,,confounded,perplexo
47,,,,lost,DUPLICATE_desorientado
48,,,,mazed,DUPLICATE_desorientado
49,,,,mixed-up,desnorteado
50,,,,,baralhado
51,L08_9,synonyms - exact,dollars,,dólares
52,,,,bucks,DUPLICATE_dólares
53,,,,,verdes
54,L08_10,synonyms - exact,emphasis,,ênfase
55,,,,accent,DUPLICATE_ênfase
56,,,,accentuaion,DUPLICATE_ênfase
57,,,,importance,importância
58,,,,stress,destaque
59,,,,significance,significância
60,,,,,"saliência,realce"
61,L08_11,synonyms - exact,father,,pai
62,,,,dad,DUPLICATE_pai
63,,,,daddy,papai
64,,,,,paizinho
65,L08_12,synonyms - exact,flower,,florir
66,,,,blossom,desabrochar
67,,,,bloom,florescer
69,L08_13,synonyms - exact,harbor,,porto
70,,,,seaport,porto_marítimo
71,,,,haven,baía
72,,,,harbour,DUPLICATE_porto
73,,,,,porto_de_mar
74,L08_14,synonyms - exact,help,,ajuda
75,,,,aid,DUPLICATE_ajuda
76,,,,assist,assistência
77,,,,,"auxílio,apoio,socorro"
78,L08_15,synonyms - exact,hieroglyph,,hieróglifo
79,,,,hieroglyphic,DUPLICATE_hieroglífico
80,,,,pictogram,pictograma
82,L08_16,synonyms - exact,homogeneous,,homogéneo
83,,,,uniform,uniforme
84,,,,unvarying,invariável
85,,,,,constante
86,L08_17,synonyms - exact,honest,,honesto
87,,,,sincere,sincero
88,,,,ingenuous,DUPLICATE_sincero
89,,,,True,verdadeiro
90,,,,direct,franco
91,,,,truthful,fiel
92,,,,,"frontal,claro,íntegro"
93,L08_18,synonyms - exact,identical,,idêntico
94,,,,same,mesmo
95,,,,indistinguishable,indistinguível
96,,,,,impercetível
97,L08_19,synonyms - exact,incorrect,,incorreto
98,,,,wrong,DUPLICATE_incorreto
99,,,,counterfactual,contrário
100,,,,erroneous,erróneo
101,,,,inaccurate,inexato
102,,,,specious,enganador
103,,,,unsound,infundado
104,,,,untrue,DUPLICATE_falso
105,,,,False,falso
106,,,,,"impreciso,ilusório"
107,L08_20,synonyms - exact,intelligent,,inteligente
108,,,,clever,esperto
109,,,,smart,astuto
111,L08_21,synonyms - exact,jewel,,joia
112,,,,gem,gema
113,,,,stone,pedra
114,,,,,pedra_preciosa
