,ID,Relation,Source,Target,PT
0,L09_1,antonyms - gradable,able,,capaz
1,,,,unable,incapaz
2,,,,incapable,DUPLICATE_incapaz
3,,,,incompetent,incompetente
4,,,,unequal,inadequado
6,L09_2,antonyms - gradable,abundant,,abundante
7,,,,scarce,escasso
8,,,,rare,raro
9,,,,tight,apertado
10,,,,meager,parco
11,,,,meagre,DUPLICATE_parco
12,,,,meagerly,escassamente
13,,,,stingy,DUPLICATE_escasso
14,,,,scrimpy,DUPLICATE_escasso
15,,,,insufficient,insuficiente
16,,,,deficient,deficitário
17,,,,,"exíguo,deficiente"
18,L09_3,antonyms - gradable,aware,,consciente
19,,,,unaware,DUPLICATE_inconsciente
20,,,,oblivious,desatento
21,,,,unmindful,DUPLICATE_desatento
22,,,,unconscious,inconsciente
23,,,,unsuspecting,insuspeito
24,,,,asleep,a_dormir
25,,,,insensible,insensível
26,,,,unwitting,sem_intenção
27,,,,ignorant,ignorante
28,,,,indifferent,indiferente
29,,,,,desinformado
30,L09_4,antonyms - gradable,beautiful,,bonito
31,,,,ugly,feio
32,,,,disfigured,desfigurado
33,,,,evil-looking,mal-encarado
34,,,,fugly,NO_TRANSLATION
35,,,,grotesque,grotesco
36,,,,monstrous,monstruoso
37,,,,hideous,hideondo
38,,,,repulsive,repulsivo
39,,,,ill-favored,desfavorecido
40,,,,ill-favoured,DUPLICATE_desfavorecido
41,,,,scrofulous,escrofuloso
42,,,,unlovely,pouco_atraente
43,,,,unpicturesque,DUPLICATE_NO_TRANSLATION
44,,,,unsightly,DUPLICATE_feio
45,,,,displeasing,DUPLICATE_pouco_atraente
46,,,,unattractive,não_atraente
47,,,,awkward,estranho
48,,,,,disforme
49,L09_5,antonyms - gradable,big,,grande
50,,,,small,pequeno
51,,,,atomic,atómico
52,,,,subatomic,subatómico
53,,,,bantam,DUPLICATE_anão
54,,,,diminutive,diminuto
55,,,,lilliputian,liliputiano
56,,,,midget,minorca
57,,,,petite,DUPLICATE_pequeno
58,,,,tiny,pequenininho
59,,,,flyspeck,NO_TRANSLATION
60,,,,bitty,pequenino
61,,,,bittie,DUPLICATE_pequenino
62,,,,teensy,DUPLICATE_pequenino
63,,,,teentsy,DUPLICATE_pequenino
64,,,,teeny,DUPLICATE_pequenino
65,,,,wee,pouquinho
66,,,,weeny,DUPLICATE_pequenino
67,,,,weensy,DUPLICATE_pequenino
68,,,,teensy-weensy,DUPLICATE_pequenino
69,,,,teeny-weeny,DUPLICATE_pequenino
70,,,,itty-bitty,DUPLICATE_pequenino
71,,,,itsy-bitsy,DUPLICATE_pequenino
72,,,,dinky,DUPLICATE_pequeno
73,,,,dwarfish,anão
74,,,,elfin,élfico
75,,,,elflike,DUPLICATE_élfico
76,,,,gnomish,gnomo
77,,,,half-size,meia-leca
78,,,,infinitesimal,ínfimo
79,,,,minute,minuto
80,,,,lesser,menor
81,,,,microscopic,microscópico
82,,,,microscopical,DUPLICATE_microscópico
83,,,,micro,micro
84,,,,miniature,miniatura
85,,,,minuscule,minúsculo
86,,,,miniscule,DUPLICATE_minúsculo
87,,,,olive-sized,DUPLICATE_NO_TRANSLATION
88,,,,pocket-size,DUPLICATE_de_bolso
89,,,,pocket-sized,de_bolso
90,,,,pocketable,DUPLICATE_de_bolso
91,,,,puny,insignificante
92,,,,runty,raquítico
93,,,,shrimpy,DUPLICATE_NO_TRANSLATION
94,,,,slender,delgado
95,,,,slim,DUPLICATE_diminuto
96,,,,smaller,mais_pequeno
97,,,,littler,mais_pequenino
98,,,,smallish,DUPLICATE_pequeno
99,,,,small-scale,pequena_escala
100,,,,undersize,subdimensionar
101,,,,undersized,subdimensionado
102,,,,,"baixo,nanico,pigmeu,portátil,compacto"
103,L09_6,antonyms - gradable,bright,,brilhante
104,,,,pale,pálido
105,,,,colorless,incolor
106,,,,colourless,DUPLICATE_incolor
107,,,,dull,apagado
108,,,,neutral,neutro
109,,,,white,branco
110,,,,bleached,descolorado
111,,,,faded,desvanecido
112,,,,washed-out,descolorido
113,,,,washy,deslavado
114,,,,drab,baço
115,,,,somber,enevoado
116,,,,sombre,DUPLICATE_enevoado
117,,,,dulled,DUPLICATE_apagado
118,,,,greyed,acinzentado
119,,,,etiolate,estiolado
120,,,,etiolated,DUPLICATE_estiolado
121,,,,lurid,lúrido
122,,,,waxen,encerado
123,,,,waxlike,DUPLICATE_ceroso
124,,,,waxy,DUPLICATE_ceroso
125,,,,whitened,branqueado
126,,,,,"ceroso,desbotado,cinzentão"
127,L09_7,antonyms - gradable,cheap,,barato
128,,,,expensive,caro
129,,,,big-ticket,NO_TRANSLATION
130,,,,high-ticket,DUPLICATE_NO_TRANSLATION
131,,,,costly,dispendioso
132,,,,dear,DUPLICATE_caro
133,,,,high-priced,muito_caro
134,,,,pricey,careiro
135,,,,pricy,DUPLICATE_careiro
136,,,,dearly-won,DUPLICATE_NO_TRANSLATION
137,,,,overpriced,demasiado_caro
138,,,,valuable,valioso
139,,,,,puxado
140,L09_8,antonyms - gradable,clean,,limpo
141,,,,dirty,sujo
142,,,,soiled,DUPLICATE_sujo
143,,,,unclean,impuro
144,,,,augean,NO_TRANSLATION
145,,,,bedraggled,DUPLICATE_enlameado
146,,,,draggled,DUPLICATE_enlameado
147,,,,befouled,manchado
148,,,,fouled,DUPLICATE_sujo
149,,,,begrimed,enegrecido
150,,,,dingy,DUPLICATE_sujo
151,,,,grimy,encardido
152,,,,grubby,porco
153,,,,grungy,DUPLICATE_NO_TRANSLATION
154,,,,raunchy,DUPLICATE_NO_TRANSLATION
155,,,,black,negro
156,,,,smutty,enfarruscado
157,,,,buggy,DUPLICATE_NO_TRANSLATION
158,,,,cobwebby,DUPLICATE_NO_TRANSLATION
159,,,,dirty-faced,DUPLICATE_NO_TRANSLATION
160,,,,feculent,turvo
161,,,,filthy,imundo
162,,,,foul,DUPLICATE_sujo
163,,,,nasty,nojento
164,,,,flyblown,contaminado
165,,,,squalid,DUPLICATE_sórdido
166,,,,sordid,sórdido
167,,,,greasy,gorduroso
168,,,,oily,oleoso
169,,,,lousy,infestado
170,,,,maculate,conspurcado
171,,,,mucky,DUPLICATE_sórdido
172,,,,muddy,enlameado
173,,,,ratty,DUPLICATE_sujo
174,,,,scummy,DUPLICATE_sujo
175,,,,smudgy,DUPLICATE_manchado
176,,,,snotty,ranhoso
177,,,,snot-nosed,DUPLICATE_ranhoso
178,,,,sooty,fuliginoso
179,,,,travel-soiled,DUPLICATE_NO_TRANSLATION
180,,,,travel-stained,DUPLICATE_NO_TRANSLATION
181,,,,uncleanly,DUPLICATE_impuro
182,,,,unswept,por_varrer
183,,,,unwashed,deslavado
184,,,,,"gordurento,farrusco"
185,L09_9,antonyms - gradable,clear,,claro
186,,,,vague,vago
187,,,,obscure,obscuro
188,,,,unclear,pouco_claro
189,,,,undefined,indefindo
190,,,,indefinable,indefinível
191,,,,undefinable,DUPLICATE_indefinível
192,,,,,incerto
193,L09_10,antonyms - gradable,close,,próximo
194,,,,distant,distante
195,,,,remote,remoto
196,,,,removed,afastado
197,,,,far,longe
198,,,,faraway,longínquo
199,,,,,separado
200,L09_11,antonyms - gradable,colorful,,colorido
201,,,,colorless,incolor
202,,,,colourless,DUPLICATE_incolor
203,,,,dull,apagado
204,,,,neutral,neutro
205,,,,pale,pálido
206,,,,white,branco
207,,,,bleached,descolorado
208,,,,faded,desvanecido
209,,,,washed-out,descolorido
210,,,,washy,deslavado
211,,,,drab,baço
212,,,,somber,enevoado
213,,,,sombre,DUPLICATE_enevoado
214,,,,dulled,DUPLICATE_apagado
215,,,,greyed,acinzentado
216,,,,etiolate,estiolado
217,,,,etiolated,DUPLICATE_estiolado
218,,,,lurid,lúrido
219,,,,waxen,ceroso
220,,,,waxlike,DUPLICATE_ceroso
221,,,,waxy,DUPLICATE_ceroso
222,,,,whitened,branqueado
223,,,,,"desbotado,cinzentão,encerado"
224,L09_12,antonyms - gradable,common,,comum
225,,,,rare,raro
226,,,,infrequent,infrequente
227,,,,scarce,escasso
228,,,,uncommon,incomum
229,,,,extraordinary,extraordinário
231,L09_13,antonyms - gradable,competent,,competente
232,,,,incompetent,incompetente
233,,,,unskilled,incapaz
234,,,,unqualified,não_qualificado
235,,,,inefficient,ineficiente
236,,,,,"inexperiente,inapto"
237,L09_14,antonyms - gradable,concerned,,preocupado
238,,,,unconcerned,despreocupado
239,,,,blase,DUPLICATE_indiferente
240,,,,blithe,desinteressado
241,,,,casual,casual
242,,,,insouciant,DUPLICATE_despreocupado
243,,,,nonchalant,DUPLICATE_indiferente
244,,,,degage,NO_TRANSLATION
245,,,,detached,desprendido
246,,,,uninvolved,à_margem
247,,,,indifferent,indiferente
248,,,,careless,negligente
249,,,,untroubled,não_perturbado
250,,,,,desfocado
251,L09_15,antonyms - gradable,cooked,,cozinhado
252,,,,raw,cru
253,,,,half-baked,meio_cru
254,,,,fresh,fresco
255,,,,natural,natural
256,,,,underdone,DUPLICATE_mal_passado
257,,,,rare,mal_passado
258,,,,uncooked,por_cozinhar
259,,,,untoasted,não_tostado
260,,,,,"passado,no_ponto"
261,L09_16,antonyms - gradable,dangerous,,perigoso
262,,,,safe,seguro
263,,,,fail-safe,infalível
264,,,,risk-free,sem_risco
265,,,,riskless,DUPLICATE_sem_risco
266,,,,unhazardous,sem_perigo
267,,,,safe-and-sound,são_e_salvo
268,,,,unhurt,ileso
269,,,,harmless,inofensivo
270,,,,invulnerable,invulnerável
271,,,,secure,DUPLICATE_seguro
272,,,,uninjured,DUPLICATE_ileso
273,,,,,incólume
274,L09_17,antonyms - gradable,decisive,,decisivo
275,,,,hesitating,hesitante
276,,,,indecisive,indeciso
277,,,,hesitant,DUPLICATE_hesitante
278,,,,inconclusive,inconclusivo
279,,,,irresolute,irresolúvel
280,,,,,inconcludente
281,L09_18,antonyms - gradable,dry,,seco
282,,,,wet,molhado
283,,,,bedewed,orvalhado
284,,,,dewy,DUPLICATE_orvalhado
285,,,,besprent,salpicado
286,,,,boggy,encharcado
287,,,,marshy,pantanoso
288,,,,miry,DUPLICATE_enlameado
289,,,,mucky,sujo
290,,,,muddy,enlameado
291,,,,quaggy,DUPLICATE_pantanoso
292,,,,sloppy,DUPLICATE_lamacento
293,,,,sloughy,lodoso
294,,,,soggy,empapado
295,,,,squashy,DUPLICATE_lamacento
296,,,,swampy,DUPLICATE_pantanoso
297,,,,waterlogged,alagado
298,,,,clammy,DUPLICATE_húmido
299,,,,dank,DUPLICATE_húmido
300,,,,damp,DUPLICATE_húmido
301,,,,dampish,DUPLICATE_húmido
302,,,,moist,húmido
303,,,,sodden,DUPLICATE_encharcado
304,,,,soppy,ensopado
305,,,,drippy,DUPLICATE_húmido
306,,,,drizzly,DUPLICATE_húmido
307,,,,humid,DUPLICATE_húmido
308,,,,misty,brumoso
309,,,,muggy,NO_TRANSLATION
310,,,,steamy,vaporoso
311,,,,sticky,pegajoso
312,,,,reeking,fétido
313,,,,watery,aguado
314,,,,rheumy,DUPLICATE_húmido
315,,,,showery,DUPLICATE_chuvoso
316,,,,rainy,chuvoso
317,,,,steaming,DUPLICATE_vaporoso
318,,,,tacky,DUPLICATE_pegajoso
319,,,,undried,DUPLICATE_NO_TRANSLATION
320,,,,washed,lavado
321,,,,,"borrifado,lamacento,viscoso,aquoso"
322,L09_19,antonyms - gradable,energetic,,energético
323,,,,lethargic,letárgico
324,,,,unergetic,NO_TRANSLATION
325,,,,dazed,aturdido
326,,,,foggy,confuso
327,,,,groggy,grogue
328,,,,logy,apático
329,,,,stuporous,estuporoso
330,,,,dreamy,sonhador
331,,,,lackadaisical,DUPLICATE_lânguido
332,,,,languid,lânguido
333,,,,languorous,langoroso
334,,,,listless,DUPLICATE_apático
335,,,,inactive,inativo
336,,,,,atordoado
337,L09_20,antonyms - gradable,familiar,,familiar
338,,,,unfamiliar,DUPLICATE_desconhecido
339,,,,strange,estranho
340,,,,unknown,desconhecido
341,,,,unacquainted,DUPLICATE_desconhecido
342,,,,foreign,estrangeiro
343,,,,,forasteiro
344,L09_21,antonyms - gradable,fat,,gordo
345,,,,thin,magro
346,,,,lean,enxuto
347,,,,anorexic,anorético
348,,,,anorectic,DUPLICATE_anorético
349,,,,bony,DUPLICATE_esquelético
350,,,,cadaverous,cadavérico
351,,,,emaciated,emaciado
352,,,,gaunt,descarnado
353,,,,haggard,DUPLICATE_magro
354,,,,pinched,DUPLICATE_magro
355,,,,skeletal,esquelético
356,,,,wasted,enfraquecido
357,,,,deep-eyed,NO_TRANSLATION
358,,,,hollow-eyed,DUPLICATE_NO_TRANSLATION
359,,,,sunken-eyed,DUPLICATE_NO_TRANSLATION
360,,,,gangling,desengonçado
361,,,,gangly,DUPLICATE_desengonçado
362,,,,lanky,DUPLICATE_esguio
363,,,,lank,DUPLICATE_esguio
364,,,,spindly,fininho
365,,,,rawboned,DUPLICATE_esquelético
366,,,,reedy,DUPLICATE_magro
367,,,,reedlike,DUPLICATE_magro
368,,,,twiggy,DUPLICATE_NO_TRANSLATION
369,,,,twiglike,DUPLICATE_NO_TRANSLATION
370,,,,scarecrowish,espantalho
371,,,,scraggy,DUPLICATE_magricela
372,,,,boney,DUPLICATE_esquelético
373,,,,scrawny,DUPLICATE_esquelético
374,,,,skinny,escanzelado
375,,,,underweight,DUPLICATE_NO_TRANSLATION
376,,,,weedy,esgalgado
377,,,,shriveled,enrugado
378,,,,shrivelled,DUPLICATE_enrugado
379,,,,shrunken,DUPLICATE_enrugado
380,,,,withered,mirrado
381,,,,wizen,seco
382,,,,wizened,DUPLICATE_seco
383,,,,slender,esguio
384,,,,slight,débil
385,,,,slim,elegante
386,,,,svelte,esbelto
387,,,,slender-waisted,DUPLICATE_NO_TRANSLATION
388,,,,slim-waisted,DUPLICATE_NO_TRANSLATION
389,,,,wasp-waisted,DUPLICATE_NO_TRANSLATION
390,,,,spare,DUPLICATE_seco
391,,,,trim,DUPLICATE_elegante
392,,,,spindle-legged,pernalto
393,,,,spindle-shanked,fantasma
394,,,,stringy,DUPLICATE_escanzelado
395,,,,wiry,DUPLICATE_seco
396,,,,wisplike,fino
397,,,,wispy,DUPLICATE_fino
398,,,,,"delgado,emagrecido,magricela,atrofiado,chupado,trinca-espinhas,magrela,transparente"
399,L09_22,antonyms - gradable,full,,cheio
400,,,,empty,vazio
401,,,,bare,descoberto
402,,,,stripped,despojado
403,,,,blank,DUPLICATE_vazio
404,,,,clean,limpo
405,,,,white,em_branco
406,,,,empty-handed,de_mãos_vazias
407,,,,glassy,transparente
408,,,,glazed,DUPLICATE_vazio
409,,,,lifeless,DUPLICATE_vazio
410,,,,looted,DUPLICATE_saqueado
411,,,,pillaged,pilhado
412,,,,plundered,DUPLICATE_pilhado
413,,,,ransacked,saqueado
414,,,,vacant,vago
415,,,,vacuous,vácuo
416,,,,void,DUPLICATE_vazio
417,,,,,"despido,de_mãos_a_abanar,livre,oco,às_moscas,arejado"
418,L09_23,antonyms - gradable,gaseous,,gasoso
419,,,,solid,sólido
420,,,,hard,duro
421,,,,coagulated,coagulado
422,,,,solidified,solidificado
423,,,,concrete,concreto
424,,,,congealed,congelado
425,,,,jelled,gelatinizado
426,,,,jellied,DUPLICATE_gelatinizado
427,,,,dry,seco
428,,,,semisolid,semissólido
429,,,,solid-state,estado_sólido
430,,,,,"rijo,teso,palpável,gelificado"
431,L09_24,antonyms - gradable,generous,,generoso
432,,,,stingy,avarento
433,,,,beggarly,mendigo
434,,,,mean,mau
435,,,,cheap,reles
436,,,,chinchy,DUPLICATE_miserável
437,,,,chintzy,sovina
438,,,,cheeseparing,mesquinho
439,,,,close,secreto
440,,,,near,DUPLICATE_mesquinho
441,,,,penny-pinching,somítico
442,,,,skinny,forreta
443,,,,closefisted,agarrado
444,,,,hardfisted,DUPLICATE_avarento
445,,,,tightfisted,avaro
446,,,,grudging,invejoso
447,,,,niggardly,DUPLICATE_avarento
448,,,,scrimy,NO_TRANSLATION
449,,,,mingy,DUPLICATE_mesquinho
450,,,,miserly,miserável
451,,,,tight,DUPLICATE_avarento
452,,,,parsimonious,parcimonioso
453,,,,penurious,penurioso
454,,,,selfish,egoísta
455,,,,uncharitable,cruel
456,,,,ungenerous,DUPLICATE_mesquinho
457,,,,meanspirited,canalha
458,,,,,"patife,maldoso,ordinário,reservado,injusto"
459,L09_25,antonyms - gradable,happy,,feliz
460,,,,sad,triste
461,,,,bittersweet,agridoce
462,,,,doleful,doloroso
463,,,,mournful,enlutado
464,,,,heavyhearted,acabrunhado
465,,,,melancholy,melancolia
466,,,,melancholic,melancólico
467,,,,pensive,DUPLICATE_melancólico
468,,,,wistful,nostálgico
469,,,,tragic,trágico
470,,,,tragical,DUPLICATE_trágico
471,,,,tragicomic,tragicómico
472,,,,tragicomical,DUPLICATE_tragicómico
473,,,,deplorable,deplorável
474,,,,distressing,angustiante
475,,,,lamentable,lamentável
476,,,,pitiful,DUPLICATE_lamentável
477,,,,sorry,pesaroso
478,,,,,"desanimado,fúnebre,desolado,desgostoso"
479,L09_26,antonyms - gradable,hard,,duro
480,,,,soft,mole
481,,,,mellow,suave
482,,,,brushed,escovado
483,,,,fleecy,DUPLICATE_lanoso
484,,,,napped,DUPLICATE_lanoso
485,,,,cheeselike,enqueijado
486,,,,compressible,compressível
487,,,,squeezable,espremível
488,,,,cottony,felpudo
489,,,,cushioned,almofadado
490,,,,cushiony,DUPLICATE_fofo
491,,,,padded,acolchoado
492,,,,demulcent,demulcente
493,,,,emollient,emoliente
494,,,,salving,pomada
495,,,,softening,amaciador
496,,,,downy,DUPLICATE_macio
497,,,,downlike,DUPLICATE_sedoso
498,,,,flossy,sedoso
499,,,,fluffy,fofo
500,,,,flaccid,flácido
501,,,,flocculent,flocado
502,,,,woolly,lanoso
503,,,,wooly,DUPLICATE_lanoso
504,,,,yielding,dúctil
505,,,,mushy,pastoso
506,,,,overstuffed,estofado
507,,,,softish,amolecido
508,,,,semisoft,semimole
509,,,,spongy,DUPLICATE_esponjoso
510,,,,squashy,DUPLICATE_mole
511,,,,squishy,DUPLICATE_mole
512,,,,spongelike,esponjoso
513,,,,velvet,veludo
514,,,,velvety,aveludado
515,,,,,"macio,branco,amortecido,flocoso,flexível,moldável"
516,L09_27,antonyms - gradable,hot,,quente
517,,,,cold,frio
518,,,,chilly,fresco
519,,,,frosty,gelado
520,,,,cool,DUPLICATE_fresco
521,,,,frigid,gélido
522,,,,,ameno
523,L09_28,antonyms - gradable,interesting,,interessante
524,,,,uninteresting,desinteressante
525,,,,dull,maçante
526,,,,boring,aborrecido
527,,,,deadening,mortal
528,,,,ho-hum,DUPLICATE_monótono
529,,,,irksome,penoso
530,,,,slow,lento
531,,,,tedious,fastidioso
532,,,,tiresome,cansativo
533,,,,wearisome,DUPLICATE_fastidioso
534,,,,insipid,insípido
535,,,,jejune,DUPLICATE_desinteressante
536,,,,narcotic,narcótico
537,,,,soporiferous,soporífero
538,,,,soporific,DUPLICATE_soporífero
539,,,,prosaic,prosaico
540,,,,prosy,DUPLICATE_prosaico
541,,,,earthbound,DUPLICATE_prosaico
542,,,,ponderous,DUPLICATE_lento
543,,,,putdownable,descartável
544,,,,unexciting,monótono
545,,,,unstimulating,desestimulante
546,,,,,"seca,enfadonho,tedioso,entediante"
547,L09_29,antonyms - gradable,introvert,,introvertido
548,,,,extravert,DUPLICATE_extrovertido
549,,,,extrovert,extrovertido
550,,,,outgoing,DUPLICATE_sociável
551,,,,extroverted,DUPLICATE_extrovertido
552,,,,forthcoming,aberto
553,,,,sociable,sociável
554,,,,,"dado,comunicativo,expansivo"
555,L09_30,antonyms - gradable,large,,grande
556,,,,small,pequeno
557,,,,little,pequenino
558,,,,atomic,atómico
559,,,,subatomic,subatómico
560,,,,bantam,DUPLICATE_anão
561,,,,diminutive,diminuto
562,,,,lilliputian,liliputiano
563,,,,midget,minorca
564,,,,petite,DUPLICATE_pequeno
565,,,,tiny,pequenininho
566,,,,flyspeck,NO_TRANSLATION
567,,,,bitty,DUPLICATE_pequenino
568,,,,bittie,DUPLICATE_pequenino
569,,,,teensy,DUPLICATE_pequenino
570,,,,teentsy,DUPLICATE_pequenino
571,,,,teeny,DUPLICATE_pequenino
572,,,,wee,DUPLICATE_pequenino
573,,,,weeny,DUPLICATE_pequenino
574,,,,weensy,DUPLICATE_pequenino
575,,,,teensy-weensy,DUPLICATE_pequenino
576,,,,teeny-weeny,DUPLICATE_pequenino
577,,,,itty-bitty,DUPLICATE_pequenino
578,,,,itsy-bitsy,DUPLICATE_pequenino
579,,,,dinky,DUPLICATE_pequeno
580,,,,dwarfish,anão
581,,,,elfin,élfico
582,,,,elflike,DUPLICATE_élfico
583,,,,gnomish,gnomo
584,,,,half-size,meia-leca
585,,,,infinitesimal,ínfimo
586,,,,minute,minuto
587,,,,lesser,menor
588,,,,microscopic,microscópico
589,,,,microscopical,DUPLICATE_microscópico
590,,,,micro,micro
591,,,,miniature,miniatura
592,,,,minuscule,minúsculo
593,,,,miniscule,DUPLICATE_minúsculo
594,,,,olive-sized,DUPLICATE_NO_TRANSLATION
595,,,,pocket-size,de_bolso
