,ID,Relation,Source,Target,PT
0,L10_1,antonyms - binary,after,,após
1,,,,before,antes
2,,,,earlier,anteriormente
3,,,,previously,previamente
5,L10_2,antonyms - binary,ahead,,adiante
6,,,,behind,atrás
7,,,,rear,traseiro
8,,,,after,após
9,,,,tail,cauda
10,,,,beforehand,previamente
12,L10_3,antonyms - binary,anterior,,anterior
13,,,,posterior,posterior
15,L10_4,antonyms - binary,backward,,para_trás
16,,,,forward,para_a_frente
17,,,,forwards,DUPLICATE_para_a_frente
18,,,,frontward,em_frente
19,,,,frontwards,DUPLICATE_em_frente
20,,,,forrad,NO_TRANSLATION
21,,,,forrard,DUPLICATE_NO_TRANSLATION
22,,,,forth,adiante
23,,,,onward,em_diante
25,L10_5,antonyms - binary,before,,antes
26,,,,after,depois
27,,,,subsequently,subsequentemente
28,,,,later,mais_tarde
29,,,,afterwards,DUPLICATE_depois
30,,,,afterward,DUPLICATE_depois
31,,,,ahead,adiante
32,,,,,"ulteriormente,à_frente"
33,L10_6,antonyms - binary,beginning,,começo
34,,,,end,fim
35,,,,terminal,término
36,,,,ending,final
37,,,,last,último
38,,,,final,DUPLICATE_final
39,,,,finish,termo
40,,,,finale,DUPLICATE_final
41,,,,conclusion,conclusão
43,L10_7,antonyms - binary,below,,por_baixo
44,,,,above,por_cima
45,,,,higher,acima
46,,,,up,em_cima
48,L10_8,antonyms - binary,climb,,subida
49,,,,descend,descida
50,,,,declivitous,escarpado
51,,,,downhill,encosta
52,,,,downward-sloping,inclinado_para_baixo
53,,,,degressive,degressivo
54,,,,descendant,descendente
55,,,,descendent,DUPLICATE_descendente
56,,,,down,baixa
57,,,,downward,DUPLICATE_descendente
58,,,,downward-arching,arqueado_para_baixo
59,,,,drizzling,DUPLICATE_queda
60,,,,dropping,DUPLICATE_queda
61,,,,falling,queda
62,,,,raining,DUPLICATE_queda
64,L10_9,antonyms - binary,dead,,morto
65,,,,alive,vivo
66,,,,living,DUPLICATE_vivo
67,,,,live,DUPLICATE_vivo
69,L10_10,antonyms - binary,decrement,,decremento
70,,,,increment,incremento
72,L10_11,antonyms - binary,descend,,descer
73,,,,ascend,ascender
74,,,,climb,trepar
75,,,,rise,elevar
76,,,,upward,DUPLICATE_ascendente
77,,,,ascendent,ascendente
78,,,,ascendant,DUPLICATE_ascendente
79,,,,,subir
80,L10_12,antonyms - binary,dive,,mergulhar
81,,,,emerge,emergir
82,,,,,surgir
83,L10_13,antonyms - binary,down,,baixo
84,,,,up,cima
85,,,,above,acima
86,,,,ahead,à_frente
87,,,,lead,DUPLICATE_liderança
88,,,,leading,liderança
89,,,,aweigh,NO_TRANSLATION
90,,,,dormie,DUPLICATE_NO_TRANSLATION
91,,,,dormy,DUPLICATE_NO_TRANSLATION
92,,,,heavenward,DUPLICATE_para_o_céu
93,,,,skyward,para_o_céu
94,,,,risen,ressuscitado
95,,,,sprouted,brotado
96,,,,upbound,ascendente
97,,,,upfield,em_cima
98,,,,upward,subida
100,L10_14,antonyms - binary,downslope,,descida
101,,,,upslope,subida
102,,,,ascent,ascenção
104,L10_15,antonyms - binary,drop,,largar
105,,,,lift,elevar
106,,,,pick_up,apanhar
107,,,,,levantar
108,L10_16,antonyms - binary,dynamic,,dinâmico
109,,,,static,estático
110,,,,still,quieto
111,,,,unmoving,imóvel
112,,,,unchanging,inalterável
113,,,,,parado
114,L10_17,antonyms - binary,employ,,empregar
115,,,,dismiss,demitir
116,,,,fire,despedir
117,,,,sack,DUPLICATE_despedir
118,,,,displace,afastar
119,,,,terminate,terminar
120,,,,,destituir
121,L10_18,antonyms - binary,exit,,saída
122,,,,entrance,entrada
123,,,,entranceway,DUPLICATE_entrada
124,,,,entryway,DUPLICATE_acesso
125,,,,entry,acesso
126,,,,entree,DUPLICATE_entrada
128,L10_19,antonyms - binary,fall,,queda
129,,,,rise,elevação
130,,,,upward,ascenção
131,,,,climb,subida
132,,,,,escalada
133,L10_20,antonyms - binary,first,,primeiro
134,,,,last,último
135,,,,end,fim
136,,,,terminal,terminal
137,,,,ending,final
138,,,,final,DUPLICATE_final
139,,,,finish,termo
140,,,,finale,DUPLICATE_final
141,,,,conclusion,conclusão
142,,,,,término
143,L10_21,antonyms - binary,forget,,esquecer
144,,,,remember,lembrar
145,,,,retrieve,recuperar
146,,,,recall,relembrar
147,,,,call_back,DUPLICATE_lembrar
148,,,,call_up,evocar
149,,,,recollect,recordar
151,L10_22,antonyms - binary,forward,,para_a_frente
152,,,,backward,para_trás
153,,,,back,trás
154,,,,backwards,DUPLICATE_para_trás
155,,,,rearward,pela_retaguarda
156,,,,rearwards,DUPLICATE_pela_retaguarda
