,ID,Relation,Source,Target,RO
0,L01_1,hypernyms - animals,allosaurus,,alozaur
1,,,,dinosaur,dinozaur
2,,,,reptile,reptilă
3,,,,bird,pasăre
4,,,,archosaur,arhozaur
5,,,,archosaurian,arhosaurian
6,,,,archosaurian_reptile,reptilă_arhosauriană
8,L01_2,hypernyms - animals,anaconda,,anaconda
9,,,,snake,șarpe
10,,,,reptile,reptilă
11,,,,boa,boa
12,,,,serpent,DUPLICATE_șarpe
13,,,,ophidian,ofidian
15,L01_3,hypernyms - animals,ant,,furnică
16,,,,insect,insectă
17,,,,invertebrate,invertebrată
18,,,,creature,creatură
19,,,,beast,fiară
20,,,,hymenopteran,himenopter
21,,,,being,ființă
22,,,,animal,animal
23,,,,organism,organism
24,,,,fauna,faună
25,,,,arthropod,artropod
26,,,,hymenopterous_insect,insectă_himenopteră
27,,,,animate_being,ființă_animată
28,,,,physical_hymenopteron,himenopterul_fizic
29,,,,physical_entity,entitate_fizică
30,,,,hymenopter,DUPLICATE_himenopter
31,,,,living_thing,viețuitoare
33,L01_4,hypernyms - animals,beaver,,castor
34,,,,rodent,rozătoare
35,,,,vertebrate,vertebrată
36,,,,creature,creatură
37,,,,beast,fiară
38,,,,animal,animal
39,,,,organism,organism
40,,,,fauna,faună
41,,,,placental,placentară
42,,,,chordate,cordată
43,,,,eutherian,eutherian
44,,,,mammal,mamifer
45,,,,mammalian,DUPLICATE_mamifer
46,,,,eutherian_mammal,mamifer_eutherian
47,,,,gnawer,NO_TRANSLATION
48,,,,animate_being,ființă_animată
49,,,,living_thing,viețuitoare
50,,,,placental_mammal,mamifer_placentar
51,,,,craniate,craniat
53,L01_5,hypernyms - animals,bee,,albină
54,,,,insect,insectă
55,,,,invertebrate,invertebrată
56,,,,creature,creatură
57,,,,beast,fiară
58,,,,hymenopteran,himenopter
59,,,,being,ființă
60,,,,animal,animal
61,,,,organism,organism
62,,,,fauna,faună
63,,,,arthropod,artropod
