,ID,Relation,Source,Target,RO
0,L02_1,hypernyms - misc,armchair,,fotoliu
1,,,,chair,scaun
2,,,,seat,DUPLICATE_scaun
3,,,,piece_of_furniture,mobilă
4,,,,article_of_furniture,articol_de_mobilier
5,,,,furnishing,mobilare
6,,,,artifact,artefact
7,,,,artefact,DUPLICATE_artefact
8,,,,unit,unitate
9,,,,object,obiect
10,,,,physical_object,obiect_fizic
11,,,,physical_entity,entitate_fizică
12,,,,entity,entitate
14,L02_2,hypernyms - misc,blender,,blender
15,,,,appliance,electrocasnic
16,,,,mixer,mixer
17,,,,kitchen_utensil,ustensilă_de_bucătărie
18,,,,utensil,ustensilă
19,,,,implement,unealtă
20,,,,artifact,artefact
21,,,,artefact,DUPLICATE_artefact
22,,,,unit,unitate
23,,,,object,obiect
24,,,,physical_object,obiect_fizic
25,,,,physical_entity,entitate_fizică
26,,,,entity,entitate
28,L02_3,hypernyms - misc,bracelet,,brățară
29,,,,jewelry,bijuterie
30,,,,band,panglică
31,,,,strip,bandă
32,,,,slip,alunecare
33,,,,artifact,artefact
34,,,,artefact,DUPLICATE_artefact
35,,,,unit,unitate
36,,,,object,obiect
37,,,,physical_object,obiect_fizic
38,,,,physical_entity,entitate_fizică
39,,,,entity,entitate
40,,,,jewellery,DUPLICATE_bijuterie
41,,,,adornment,podoabă
42,,,,decoration,decorațiune
43,,,,ornament,ornament
44,,,,ornamentation,ornamentare
46,L02_4,hypernyms - misc,brooch,,broșă
47,,,,jewelry,bijuterie
48,,,,jewellery,DUPLICATE_bijuterie
49,,,,adornment,podoabă
50,,,,decoration,decorațiune
51,,,,ornament,ornament
52,,,,ornamentation,ornamentare
53,,,,artifact,artefact
54,,,,artefact,DUPLICATE_artefact
55,,,,unit,unitate
56,,,,object,obiect
57,,,,physical_object,obiect_fizic
59,L02_5,hypernyms - misc,cake,,tort
60,,,,dessert,desert
61,,,,baked_goods,produse_de_patiserie
62,,,,food,mâncare
63,,,,solid_food,mâncare_solidă
64,,,,course,fel
65,,,,nutriment,hrană
66,,,,nourishment,DUPLICATE_hrană
67,,,,nutrition,nutriție
68,,,,sustenance,alimente
69,,,,aliment,aliment
70,,,,alimentation,alimentație
71,,,,victuals,merinde
72,,,,nutrient,nutrient
73,,,,substance,substanță
74,,,,matter,materie
75,,,,physical_entity,entitate_fizică
76,,,,entity,entitate
78,L02_6,hypernyms - misc,computer,,calculator
79,,,,device,dispozitiv
80,,,,machine,mașinărie
81,,,,gadget,gadget
82,,,,artifact,artefact
83,,,,artefact,DUPLICATE_artefact
84,,,,unit,unitate
85,,,,object,obiect
86,,,,physical_object,obiect_fizic
87,,,,physical_entity,entitate_fizică
88,,,,entity,entitate
89,,,,expert,expert
90,,,,person,persoană
91,,,,individual,individual
92,,,,someone,cineva
93,,,,somebody,DUPLICATE_cineva
94,,,,mortal,muritor
95,,,,soul,suflet
96,,,,causal_agent,agent_cauzal
97,,,,cause,cauză
98,,,,causal_agency,agenție_cauzală
99,,,,organism,organism
100,,,,being,ființă
101,,,,living_thing,ființă_vie
102,,,,animate_thing,lucru_animat
104,L02_7,hypernyms - misc,croissant,,croissant
105,,,,pastry,patiserie
106,,,,bun,chiflă
107,,,,roll,rulou
108,,,,bread,pâine
109,,,,breadstuff,DUPLICATE_pâine
110,,,,staff_of_life,personalul_vieții
111,,,,baked_goods,produse_de_patiserie
112,,,,starches,amidon
113,,,,food,mâncare
114,,,,solid_food,mâncare_solidă
115,,,,foodstuff,produs_alimentar
116,,,,food_product,produs_de_mâncat
117,,,,solid,solid
118,,,,nutrient,nutrient
119,,,,matter,materie
120,,,,substance,substanță
121,,,,physical_entity,entitate_fizică
122,,,,entity,entitate
124,L02_8,hypernyms - misc,cup,,ceașcă
125,,,,tableware,veselă
126,,,,crockery,olărie
127,,,,dishware,vase
128,,,,ware,DUPLICATE_articol
129,,,,article,articol
130,,,,artifact,artefact
131,,,,artefact,DUPLICATE_artefact
132,,,,unit,unitate
133,,,,object,obiect
134,,,,physical_object,obiect_fizic
135,,,,physical_entity,entitate_fizică
136,,,,entity,entitate
137,,,,container,container
139,L02_9,hypernyms - misc,denim,,blugi
140,,,,fabric,țesătură
141,,,,cloth,pânză
142,,,,material,material
143,,,,textile,stofă
144,,,,artifact,artefact
145,,,,artefact,DUPLICATE_artefact
146,,,,unit,unitate
147,,,,object,obiect
148,,,,physical_object,obiect_fizic
149,,,,physical_entity,entitate_fizică
150,,,,entity,entitate
151,,,,garment,veșmânt
152,,,,clothing,înveliș
153,,,,article_of_clothing,articol_de_îmbrăcăminte
154,,,,vesture,acoperământ
155,,,,wear,confecție
156,,,,wearable,purtabil
157,,,,habiliment,podoabă
158,,,,consumer_goods,bun_de_consum
159,,,,covering,căptușeală
160,,,,commodity,marfă
161,,,,trade_good,bun_comercial
162,,,,good,bun
164,L02_10,hypernyms - misc,deodorant,,deodorant
165,,,,toiletry,articol_cosmetic
166,,,,toilet_articles,articol_de_toaleată
167,,,,artifact,artefact
168,,,,artefact,DUPLICATE_artefact
169,,,,unit,unitate
170,,,,object,obiect
171,,,,physical_object,obiect_fizic
172,,,,physical_entity,entitate_fizică
173,,,,entity,entitate
175,L02_11,hypernyms - misc,desk,,birou
176,,,,furniture,mobilă
177,,,,table,masă
178,,,,piece_of_furniture,DUPLICATE_mobilă
179,,,,article_of_furniture,articol_de_mobilier
180,,,,furnishing,mobilare
181,,,,artifact,artefact
182,,,,artefact,DUPLICATE_artefact
183,,,,unit,unitate
184,,,,object,obiect
185,,,,physical_object,obiect_fizic
186,,,,physical_entity,entitate_fizică
187,,,,entity,entitate
189,L02_12,hypernyms - misc,diary,,agendă
190,,,,journal,jurnal
191,,,,writing,scris
192,,,,written_material,material_scris
193,,,,piece_of_writing,scriere
194,,,,written_communication,comunicare_scrisă
195,,,,written_language,limbă_scrisă
196,,,,black_and_white,alb_și_negru
197,,,,communication,comunicare
198,,,,abstraction,abstracție
199,,,,abstract_entity,entitate_abstractă
200,,,,entity,entitate
201,,,,book,carte
202,,,,volume,volum
203,,,,product,produs
204,,,,production,fabricație
205,,,,creation,creație
206,,,,artifact,artefact
207,,,,artefact,DUPLICATE_artefact
208,,,,unit,unitate
209,,,,object,obiect
210,,,,physical_object,obiect_fizic
211,,,,physical_entity,entitate_fizică
213,L02_13,hypernyms - misc,dishwasher,,mașină_de_splălat_vase
214,,,,appliance,electrocasnic
215,,,,machine,mașinărie
216,,,,entity,entitate
217,,,,unit,unitate
218,,,,object,obiect
219,,,,physical_object,obiect_fizic
220,,,,white_goods,bunuri_domestice
221,,,,home_appliance,aparat_electrocasnic
222,,,,household_appliance,electrocasnic_de_uz_caznic
223,,,,durables,bunuri_de_folosință_îndelungată
224,,,,durable_goods,DUPLICATE_bunuri_de_folosință_îndelungată
225,,,,consumer_durables,DUPLICATE_bunuri_de_folosință_îndelungată
226,,,,consumer_goods,bun_de_consum
227,,,,commodity,marfă
228,,,,trade_good,bun_comercial
229,,,,good,bun
230,,,,artifact,artefact
231,,,,artefact,DUPLICATE_artefact
232,,,,physical_entity,entitate_fizică
235,L02_14,hypernyms - misc,dress,,rochie
236,,,,clothes,haine
237,,,,garment,veșmânt
238,,,,clothing,îmbrăcăminte
239,,,,article_of_clothing,articol_de_îmbrăcăminte
240,,,,vesture,acoperământ
241,,,,wear,confecție
242,,,,wearable,purtabil
243,,,,habiliment,podoabă
244,,,,consumer_goods,bun_de_consum
245,,,,covering,căptușeală
246,,,,commodity,marfă
247,,,,trade_good,bun_comercial
248,,,,good,bun
249,,,,artifact,artefact
250,,,,artefact,DUPLICATE_artefact
251,,,,unit,unitate
252,,,,object,obiect
253,,,,physical_object,obiect_fizic
254,,,,physical_entity,entitate_fizică
255,,,,entity,entitate
265,L02_15,hypernyms - misc,fridge,,frigider
266,,,,appliance,electrocasnic
267,,,,icebox,cutie_frigorifică
268,,,,white_goods,bunuri_domestice
269,,,,home_appliance,aparat_electrocasnic
270,,,,household_appliance,electrocasnic_de_uz_caznic
271,,,,durables,bunuri_de_folosință_îndelungată
272,,,,durable_goods,DUPLICATE_bunuri_de_folosință_îndelungată
273,,,,consumer_durables,DUPLICATE_bunuri_de_folosință_îndelungată
274,,,,consumer_goods,bun_de_consum
275,,,,commodity,marfă
276,,,,trade_good,bun_comercial
277,,,,good,bun
278,,,,artifact,artefact
279,,,,artefact,DUPLICATE_artefact
280,,,,unit,unitate
281,,,,object,obiect
282,,,,physical_object,obiect_fizic
283,,,,physical_entity,entitate_fizică
284,,,,entity,entitate
286,L02_16,hypernyms - misc,gasoline,,benzină
287,,,,fuel,carburant
288,,,,hydrocarbon,hidrocabură
289,,,,substance,substanță
290,,,,organic_compound,compus_organic
291,,,,matter,materie
292,,,,compound,compus
293,,,,chemical_compound,compus_chimic
294,,,,physical_entity,entitate_fizică
295,,,,chemical,chimic
296,,,,chemical_substance,substanță_chimică
297,,,,entity,entitate
298,,,,material,material
299,,,,stuff,chestie
300,,,,part,parte
301,,,,portion,porțiune
302,,,,component_part,parte_componentă
303,,,,component,componentă
304,,,,constituent,element_constitutiv
305,,,,relation,relație
306,,,,abstraction,abstracție
307,,,,abstract_entity,entitate_abstractă
310,L02_17,hypernyms - misc,grapefruit,,grepfrut
311,,,,citrus,citric
312,,,,citrus_fruit,fruct_citric
313,,,,citrous_fruit,DUPLICATE_fruct_citric
314,,,,fruit,fruct
315,,,,edible_fruit,fruct_comestibil
316,,,,produce,produs_agricol
317,,,,green_goods,verdețuri
318,,,,green_groceries,DUPLICATE_verdețuri
319,,,,garden_truck,cărucior
320,,,,food,mâncare
321,,,,matter,materie
322,,,,natural_object,obiect_natural
323,,,,physical_entity,entitate_fizică
324,,,,unit,unitate
325,,,,entity,entitate
326,,,,object,obiect
327,,,,physical_object,obiect_fizic
329,L02_18,hypernyms - misc,hairnet,,plasă_de_păr
330,,,,net,plasă
331,,,,network,rețea
332,,,,mesh,împletitură
333,,,,meshing,angrenare
334,,,,meshwork,DUPLICATE_plasă
335,,,,fabric,țesătură
336,,,,cloth,pânză
337,,,,material,material
338,,,,textile,stofă
339,,,,artifact,artefact
340,,,,artefact,DUPLICATE_artefact
341,,,,unit,unitate
342,,,,object,obiect
343,,,,physical_object,obiect_fizic
344,,,,physical_entity,entitate_fizică
345,,,,entity,entitate
347,L02_19,hypernyms - misc,hairpin,,ac_de_păr
