,ID,Relation,Source,Target,RO
0,L03_1,hyponyms - misc,backpack,,ghiozdan
1,,,,daypack,rucsăcel
2,,,,kitbag,geantă__de_voiaj
3,,,,kit_bag,DUPLICATE_geantă__de_voiaj
5,L03_2,hyponyms - misc,bag,,geantă
6,,,,pouch,traistă
7,,,,backpack,ghiozdan
8,,,,knapsack,desagă
9,,,,packsack,DUPLICATE_ghiozdan
10,,,,rucksack,rucsac
11,,,,haversack,raniţă
12,,,,beanbag,fotoliu_puf
13,,,,bladder,băşică
14,,,,carryall,sac_de_mână
15,,,,holdall,geantă__de_voiaj
16,,,,tote,sacoşă_foarte_mare
17,,,,drawstring,geantă_cu_șnur
18,,,,dust,praf
19,,,,vacuum,vacuum
20,,,,envelope,copertă
21,,,,gasbag,sac_de_gaz
22,,,,gamebag,tolbă_de_vânător
23,,,,golf,golf
24,,,,gunnysack,sac_de_iută
25,,,,gunny,iută
26,,,,burlap,pânză_groasă_de_sac
27,,,,ice,gheață
28,,,,mailbag,sac_de_poştă
29,,,,postbag,pungă_poștală
30,,,,nosebag,sac_pentru_hrănire_cai
31,,,,feedbag,sac_de_furaj
32,,,,pannier,coş_de_samar
33,,,,plastic,plastic
34,,,,purse,poșetă
35,,,,ragbag,boccea
36,,,,rosin,sacâz
37,,,,sachet,săculeţ
38,,,,sack,sac
39,,,,poke,pungă_de_pânză
40,,,,paper,hârtie
41,,,,carrier,purtător
42,,,,saddlebag,cobur_de_şa
43,,,,sandbag,sac_de_nisip
44,,,,schoolbag,ghiozdan_școală
45,,,,shopping,pungă_pentru_cumpărături
46,,,,sick_bag,pungă_de_hârtie_pentru_vărsături
47,,,,sickbag,DUPLICATE_pungă_de_hârtie_pentru_vărsături
48,,,,skin,piele
49,,,,sleeping,adormit
50,,,,sweat,sudoare
51,,,,tea,ceai
52,,,,toilet,toaletă
53,,,,sponge,burete
54,,,,tool,instrument
55,,,,tucker-bag,geantă_tucker
57,L03_3,hyponyms - misc,bed,,pat
58,,,,bunk,pat_suprapus
59,,,,berth,cuşetă
60,,,,built,clădit
61,,,,built-in,încorporat
62,,,,cot,pat_de_campanie
63,,,,camp,baracamente
64,,,,couch,canapea
65,,,,deathbed,pat_de_moarte
66,,,,double,pat_dublu
