,ID,Relation,Source,Target,RO
0,L04_1,meronyms - substance,atmosphere,,atmosfera
1,,,,gas,gaz
2,,,,oxygen,oxigen
3,,,,hydrogen,hidrogen
4,,,,nitrogen,azot
5,,,,ozone,ozon
7,L04_2,meronyms - substance,bag,,sacoșă
8,,,,leather,piele
9,,,,fabric,țesătură
10,,,,plastic,plastic
12,L04_3,meronyms - substance,beach,,plajă
13,,,,sand,nisip
14,,,,silicon,silicon
15,,,,rocks,stânci
16,,,,pebbles,pietricele
17,,,,atomic_number_14,număr_atomic_14
18,,,,si,SI
20,L04_4,meronyms - substance,beard,,barbă
21,,,,hair,păr
23,L04_5,meronyms - substance,body,,corp
24,,,,flesh,carne
25,,,,bones,oase
27,L04_6,meronyms - substance,boots,,cizme
28,,,,leather,piele
29,,,,canvas,pânză
31,L04_7,meronyms - substance,bottle,,sticla
32,,,,glass,sticlă
33,,,,plastic,plastic
35,L04_8,meronyms - substance,bowl,,castron
36,,,,glass,sticlă
37,,,,china,porțelan
38,,,,aluminium,aluminiu
39,,,,wood,lemn
40,,,,steel,oțel
41,,,,plastic,plastic
42,,,,clay,lut
44,L04_9,meronyms - substance,box,,cutie
45,,,,cardboard,cutie_de_carton
46,,,,tin,consersă
47,,,,boxwood,cimișir
48,,,,turkish_boxwood,cimi_turcesc
50,L04_10,meronyms - substance,bread,,pâine
51,,,,flour,făină
52,,,,yeast,drojdie
54,L04_11,meronyms - substance,bronze,,bronz
55,,,,copper,cupru
56,,,,tin,cositor
57,,,,cu,cu
58,,,,atomic_number_29,număr_atomic_29
60,L04_12,meronyms - substance,candy,,bomboană
61,,,,sugar,zahăr
62,,,,nougat,nuga
63,,,,chocolate,ciocolată
64,,,,gelatin,gelatină
65,,,,molasses,melasă
66,,,,syrup,sirop
67,,,,honey,miere
68,,,,fruit,fruct
69,,,,nuts,nuci
71,L04_13,meronyms - substance,chocolate,,ciocolată
72,,,,cocoa,cacao
73,,,,bean,bob
74,,,,cacao,DUPLICATE_cacao
75,,,,cacao_bean,bob_de_cacao
76,,,,cocoa_bean,DUPLICATE_bob_de_cacao
78,L04_14,meronyms - substance,clothing,,îmbrăcăminte
79,,,,fabric,țesătură
80,,,,leather,piele
82,L04_15,meronyms - substance,cloud,,nor
83,,,,vapor,abur
84,,,,water,apă
85,,,,vapour,DUPLICATE_abur
86,,,,water_vapour,abur_de_apă
87,,,,water_vapor,DUPLICATE_abur_de_apă
89,L04_16,meronyms - substance,cocktail,,cocktail
90,,,,alcohol,alcool
91,,,,juice,suc
92,,,,water,apă
94,L04_17,meronyms - substance,concrete,,beton
