,ID,Relation,Source,Target,RO
0,L06_1,meronyms - part,academia,,academie
1,,,,college,colegiu
2,,,,university,universitate
3,,,,institute,institut
5,L06_2,meronyms - part,apartment,,apartament
6,,,,bedroom,dormitor
7,,,,room,cameră
8,,,,bathroom,baie
9,,,,kitchen,bucătărie
10,,,,kitchenette,chicinetă
11,,,,living_room,sufragerie
12,,,,pantry,cămară
13,,,,toilet,toaletă
14,,,,shower_room,duș
16,L06_3,meronyms - part,bird,,pasăre
17,,,,feathers,pene
18,,,,plume,penaj
19,,,,preen,împopoțona
20,,,,croup,crupă
21,,,,calamus,obligeană
22,,,,fowl,orătănii
23,,,,drumstick,copan
24,,,,syrinx,fistulă
25,,,,bill,factură
26,,,,rump,tartiță
27,,,,vane,DUPLICATE_aripă
28,,,,barb,ghimpe
29,,,,quill,pană
30,,,,shaft,mâner
31,,,,pecker,cioc
32,,,,pennon,fanion
33,,,,feet,picioare
34,,,,giblets,măruntaie
35,,,,alula,NO_TRANSLATION
36,,,,talon,talon
37,,,,foot,picior
38,,,,pinion,DUPLICATE_aripă
39,,,,wing,aripă
40,,,,wishbone,iadeș
41,,,,nib,plisc
42,,,,sac,pungă
43,,,,giblet,mărunțiș
44,,,,furcula,DUPLICATE_iadeș
45,,,,bird,DUPLICATE_pasăre
46,,,,neb,DUPLICATE_NO_TRANSLATION
47,,,,feather,DUPLICATE_pană
48,,,,gland,glandă
49,,,,oyster,scoică
50,,,,thigh,coapsă
51,,,,plumage,DUPLICATE_penaj
52,,,,web,pânză
53,,,,hindquarters,DUPLICATE_NO_TRANSLATION
54,,,,beak,DUPLICATE_cioc
55,,,,parson's_nose,nasul_unei_persoane
56,,,,wishing_bone,DUPLICATE_iadeș
57,,,,pope's_nose,nasul_papei
58,,,,spurious_wing,aripă_falsă
59,,,,bastard_wing,aripă_bastardă
60,,,,croupe,DUPLICATE_crupă
61,,,,air_sac,sac_de_aer
62,,,,quill_feather,DUPLICATE_NO_TRANSLATION
63,,,,uropygium,uropigiu
64,,,,bird's_foot,ghiară
65,,,,uropygial,uropigială
66,,,,second_joint,aticulație_secundară
67,,,,uropygial_gland,glandă_uropigială
68,,,,preen_gland,glandă_sebacee
69,,,,flight_feather,DUPLICATE_NO_TRANSLATION
70,,,,dark_meat,carne_neagră
72,L06_4,meronyms - part,brush,,perie
73,,,,bristle,fibră
74,,,,hold,cală
75,,,,shank,cep
76,,,,grip,apucare
77,,,,handgrip,încleștare
78,,,,handle,mâner
79,,,,head,cap
80,,,,stem,tulpină
82,L06_5,meronyms - part,bus,,autocar
83,,,,seats,scaune
84,,,,conductor,conductor
85,,,,window,fereastră
86,,,,driver,șofer
87,,,,roof,acoperiș
89,L06_6,meronyms - part,byte,,octet
90,,,,bit,bit
92,L06_7,meronyms - part,car,,automobil
93,,,,engine,motor
94,,,,armrest,cotieră
95,,,,headrest,tatieră
96,,,,grille,grilaj
97,,,,hinge,balama
98,,,,tailpipe,țeavă_de_eșapament
99,,,,suspension,suspensie
100,,,,hood,capotă
101,,,,horn,claxon
102,,,,hooter,sirenă
103,,,,petrol,benzină
104,,,,pintle,ax_vertical
105,,,,trunk,portbagaj
106,,,,floorboard,podea
107,,,,bar,bară
108,,,,gas,combustibil
109,,,,buffer,amortizor
110,,,,door,ușă
111,,,,stabilizer,stabilizator
112,,,,seat,scaun
113,,,,window,fereastră
114,,,,exhaust,eșapament
115,,,,tailfin,aripioară_auto
116,,,,back,spate
117,,,,luggage,bagaj
118,,,,pedal,pedală
119,,,,cowling,DUPLICATE_capotă
120,,,,seatbelt,centură_de_siguranță
121,,,,high,înalt
122,,,,wing,aripă
123,,,,gasoline,gazolină
124,,,,fin,aripioară
125,,,,cowl,capac
126,,,,silencer,amortizor_de_zgomot
127,,,,gun,pistol
128,,,,compartment,compartiment
129,,,,rear,dos
130,,,,radiator,radiator
131,,,,accessory,accesoriu
132,,,,sunroof,trapă
133,,,,roof,acoperiș
134,,,,lights,lumini
135,,,,bumper,DUPLICATE_amortizor
136,,,,glove,mânușe
137,,,,bag,pungă
138,,,,cushion,pernă
139,,,,backrest,spătar
140,,,,accelerator,accelerator
141,,,,fender,DUPLICATE_aripă
142,,,,third,terță
143,,,,throttle,regulator
144,,,,bonnet,capotă_de_autoturism
145,,,,air,aer
146,,,,gear,amgreaj
147,,,,muffler,tobă_de_eșapament
148,,,,mirror,oglindă
149,,,,shock,șoc
150,,,,reverse,invers
151,,,,anti-sway_bar,bară_anti-balansare
152,,,,tail_fin,DUPLICATE_aripioară_auto
153,,,,accelerator_pedal,pedală_de_accelerație
154,,,,car_seat,scaun_de_automobil
155,,,,automobile_horn,claxon_automobil
156,,,,anti-sway,anti-balansare
157,,,,automobile_engine,motor_automobil
158,,,,gasoline_engine,motor_diesel
159,,,,car_door,ușa_masinii
160,,,,shock_absorber,amortizor_de_șoc
161,,,,luggage_compartment,compartiment_pentru_bagaj
162,,,,glove_compartment,torpedou
163,,,,bumper_guard,bara_de_protecție
164,,,,exhaust_system,sistem_de_eșapament
165,,,,first_gear,prima_treaptă
166,,,,high_gear,ultima_treaptă
167,,,,rear_window,lunetă
168,,,,sunshine-roof,DUPLICATE_trapă
170,,,,air_bag,airbag
171,,,,doorlock,încuietoare
172,,,,petrol_engine,motor_pe_benzină
173,,,,automobile_trunk,DUPLICATE_portbagaj
174,,,,auto_accessory,accesoriu_automobil
175,,,,inlet_manifold,colector_de_aspiraţie
176,,,,horn_button,buton_de_claxon
177,,,,running_board,bordură_de_rulare
178,,,,stabilizer_bar,bară_stabilizatoare
179,,,,motor_horn,claxon_de_motor
