,ID,Relation,Source,Target,RO
0,L07_1,synonyms - intensity,afraid,,frică
1,,,,terrified,îngrozit
2,,,,horrified,consternat
3,,,,scared,speriat
4,,,,stiff,rigid
5,,,,petrified,împietrit
6,,,,fearful,fricos
7,,,,panicky,panicat
9,L07_2,synonyms - intensity,angry,,mânios
10,,,,furious,furios
11,,,,enraged,înfuriat
12,,,,outraged,revoltat
13,,,,aggrivated,agravat
14,,,,irate,iritat
15,,,,seething,clocotind
17,L07_3,synonyms - intensity,ask,,întreba
18,,,,beg,cerși
19,,,,implore,implora
20,,,,pray,ruga
21,,,,entreat,ruga_stăruitor
22,,,,supplicate,cere_îndrumare
23,,,,insist,insista
25,L07_4,synonyms - intensity,bad,,rău
26,,,,awful,îngrozitor
27,,,,atrocious,atroce
28,,,,abominable,abominabil
29,,,,dreadful,groaznic
30,,,,painful,direros
31,,,,terrible,teribil
32,,,,unspeakable,negrăit
34,L07_5,synonyms - intensity,boring,,plictisitor
35,,,,tedious,anost
36,,,,deadening,amorțitor
37,,,,dull,plicticos
38,,,,ho-hum,NO_TRANSLATION
39,,,,irksome,supărător
40,,,,tiresome,istovitor
41,,,,wearisome,obositor
43,L07_6,synonyms - intensity,cat,,pisică
44,,,,lion,leu
45,,,,tiger,tigru
46,,,,leopard,leopard
47,,,,panther,panteră
48,,,,jaguar,jaguar
50,L07_7,synonyms - intensity,chuckle,,chicot
51,,,,laugh,râs
52,,,,guffaw,hohot
53,,,,chortle,chicoti
54,,,,snicker,nechezat
55,,,,snigger,zâmbet_cu_înțeles
56,,,,titter,hlizeală
57,,,,roar,răcnet
59,L07_8,synonyms - intensity,confused,,nedumerit
60,,,,lost,pierdut
61,,,,bewildered,derutat
62,,,,trapped,prins
63,,,,desperate,deznădăjduit
65,L07_9,synonyms - intensity,creative,,creativ
66,,,,ingenious,ingenios
67,,,,inventive,inventiv
68,,,,demiurgic,NO_TRANSLATION
69,,,,deviceful,DUPLICATE_NO_TRANSLATION
70,,,,innovational,inovator
71,,,,innovative,inovativ
72,,,,innovatory,DUPLICATE_NO_TRANSLATION
73,,,,original,original
74,,,,originative,DUPLICATE_NO_TRANSLATION
76,L07_10,synonyms - intensity,cry,,plâns
77,,,,scream,urlet
78,,,,shriek,țipăt
79,,,,screech,scârțâit
80,,,,screeching,scârțâitor
82,L07_11,synonyms - intensity,damp,,umed
83,,,,drenched,ud_până_la_piele
84,,,,dripping,picurat
85,,,,saturated,saturat
86,,,,soaked,înmuiat
87,,,,soaking,înmuiere
88,,,,sodden,îmbibat
89,,,,sopping,leoarcă
90,,,,soppy,ploios
91,,,,soused,afumat
92,,,,wringing-wet,ud_leoarcă
94,L07_12,synonyms - intensity,dinner,,cină
95,,,,feast,sărbătoare
96,,,,banquet,banchet
97,,,,fiesta,petrecere
99,L07_13,synonyms - intensity,dislike,,aversiune
100,,,,hate,ură
101,,,,abhor,scârbit
102,,,,detest,detesta
103,,,,loathe,repulsie
104,,,,abominate,nu_putea_suferi
105,,,,execrate,execra
106,,,,contemn,dispreț
107,,,,despise,disprețui
108,,,,scorn,nesocoti
109,,,,disdain,descomsidera
111,L07_14,synonyms - intensity,doze,,moțăi
112,,,,sleep,somn
113,,,,slumber,dormi
115,L07_15,synonyms - intensity,drizzle,,burnița
116,,,,rain,ploie
117,,,,shower,aversă
119,,,,deluge,inundație
120,,,,rainfall,precipitații
122,L07_16,synonyms - intensity,excited,,excitat
123,,,,agitated,agitat
124,,,,nervous,neliniștit
126,L07_17,synonyms - intensity,faith,,credință
127,,,,fanatism,fanatism
