,ID,Relation,Source,Target,RO
0,L09_1,antonyms - gradable,able,,în_stare_de
1,,,,unable,incapabil
2,,,,incapable,DUPLICATE_incapabil
3,,,,incompetent,incompetent
4,,,,unequal,inegal
6,L09_2,antonyms - gradable,abundant,,abundent
7,,,,scarce,greu_de_găsit
8,,,,rare,rar
9,,,,tight,strâns
10,,,,meager,insuficient
11,,,,meagre,NO_TRANSLATION
12,,,,meagerly,mizerabil
13,,,,stingy,sărac
14,,,,scrimpy,slăbită
15,,,,insufficient,DUPLICATE_insuficient
16,,,,deficient,deficient
18,L09_3,antonyms - gradable,aware,,conștient
19,,,,unaware,neștiutor
20,,,,oblivious,neglijent
21,,,,unmindful,lipsit_de_atenție
22,,,,unconscious,inconstient
23,,,,unsuspecting,nebănuitor
24,,,,asleep,adormit
25,,,,insensible,insensibil
26,,,,unwitting,DUPLICATE_neștiutor
27,,,,ignorant,ignorant
28,,,,indifferent,indiferent
30,L09_4,antonyms - gradable,beautiful,,frumos
31,,,,ugly,urât
32,,,,disfigured,desfigurat
33,,,,evil-looking,cu_aspect_rău
34,,,,fugly,foarte_neatrăgător
35,,,,grotesque,grotesc
36,,,,monstrous,monstruos
37,,,,hideous,hidos
38,,,,repulsive,repulsiv
39,,,,ill-favored,slut
40,,,,ill-favoured,DUPLICATE_slut
41,,,,scrofulous,scrofulos
42,,,,unlovely,ne-atrăgător
43,,,,unpicturesque,nepitoresc
44,,,,unsightly,inestetic
45,,,,displeasing,neplăcut
46,,,,unattractive,neatractiv
47,,,,awkward,nepotrivit
49,L09_5,antonyms - gradable,big,,mare
50,,,,small,mic
51,,,,atomic,atomic
52,,,,subatomic,subatomic
53,,,,bantam,om_mic_de_statură
54,,,,diminutive,diminutiv
55,,,,lilliputian,liliputan
56,,,,midget,pitic
57,,,,petite,minion
58,,,,tiny,minuscul
59,,,,flyspeck,cât_un_stop_de_muscă
60,,,,bitty,micuț
61,,,,bittie,NO_TRANSLATION
62,,,,teensy,DUPLICATE_minuscul
63,,,,teentsy,DUPLICATE_NO_TRANSLATION
64,,,,teeny,DUPLICATE_minuscul
65,,,,wee,mititel
66,,,,weeny,DUPLICATE_minuscul
67,,,,weensy,DUPLICATE_minuscul
68,,,,teensy-weensy,DUPLICATE_NO_TRANSLATION
69,,,,teeny-weeny,foarte_minuscul
70,,,,itty-bitty,extrem_de_mic
71,,,,itsy-bitsy,mic_de_tot
72,,,,dinky,drăgălășenie_mica
73,,,,dwarfish,DUPLICATE_pitic
74,,,,elfin,spiriduș
75,,,,elflike,DUPLICATE_spiriduș
76,,,,gnomish,creatură_mică_deformată
77,,,,half-size,jumătate_de_mărime
78,,,,infinitesimal,infinitezimal
79,,,,minute,DUPLICATE_minuscul
80,,,,lesser,mai_puțin
81,,,,microscopic,microscopic
82,,,,microscopical,DUPLICATE_microscopic
83,,,,micro,micro
84,,,,miniature,miniatură
85,,,,minuscule,DUPLICATE_minuscul
86,,,,miniscule,DUPLICATE_minuscul
87,,,,olive-sized,de_mărimea_măslinei
88,,,,pocket-size,mărime_de_buzunar
89,,,,pocket-sized,de_mărimea_buzunarului
90,,,,pocketable,de_buzunar
91,,,,puny,firav
92,,,,runty,încetinit_anormal_în_creștere
93,,,,shrimpy,de_mărime_inferioară
94,,,,slender,fragil
95,,,,slim,subțire
96,,,,smaller,mai_mic
97,,,,littler,DUPLICATE_mai_mic
98,,,,smallish,destul_de_mic
99,,,,small-scale,scară_mică
100,,,,undersize,subdimensionare
101,,,,undersized,subdimensionat
103,L09_6,antonyms - gradable,bright,,luminos
104,,,,pale,palid
105,,,,colorless,incolor
106,,,,colourless,DUPLICATE_incolor
107,,,,dull,mat
108,,,,neutral,neutru
109,,,,white,alb
110,,,,bleached,decolorat
111,,,,faded,stins
112,,,,washed-out,spălăcit
113,,,,washy,DUPLICATE_spălăcit
114,,,,drab,cenușiu
115,,,,somber,întunecat
116,,,,sombre,DUPLICATE_întunecat
117,,,,dulled,atenuat
118,,,,greyed,DUPLICATE_cenușiu
119,,,,etiolate,etiolare
120,,,,etiolated,DUPLICATE_palid
121,,,,lurid,DUPLICATE_palid
122,,,,waxen,ceruit
123,,,,waxlike,ca_ceara
124,,,,waxy,ceros
125,,,,whitened,albit
127,L09_7,antonyms - gradable,cheap,,ieftin
128,,,,expensive,scump
129,,,,big-ticket,NO_TRANSLATION
130,,,,high-ticket,DUPLICATE_NO_TRANSLATION
131,,,,costly,costisitor
132,,,,dear,prețios
133,,,,high-priced,DUPLICATE_scump
134,,,,pricey,DUPLICATE_scump
135,,,,pricy,DUPLICATE_scump
136,,,,dearly-won,DUPLICATE_NO_TRANSLATION
137,,,,overpriced,prea_scump
138,,,,valuable,valoros
140,L09_8,antonyms - gradable,clean,,curat
141,,,,dirty,murdar
142,,,,soiled,jegos
143,,,,unclean,necurat
144,,,,augean,NO_TRANSLATION
145,,,,bedraggled,răvășit
146,,,,draggled,târât
147,,,,befouled,încurcat
148,,,,fouled,poluat
149,,,,begrimed,murdărit
150,,,,dingy,întunecos
151,,,,grimy,tuciuriu
152,,,,grubby,neîngrijit
153,,,,grungy,DUPLICATE_NO_TRANSLATION
154,,,,raunchy,mofturos
155,,,,black,negru
156,,,,smutty,mânjit
157,,,,buggy,infestat_cu_gândaci
158,,,,cobwebby,pânză_de_păianjen
159,,,,dirty-faced,cu_fața_murdară
160,,,,feculent,feculent
161,,,,filthy,scârbos
162,,,,foul,pângări
163,,,,nasty,neplăcut
164,,,,flyblown,murdărit_de_muște
165,,,,squalid,mizerabil
166,,,,sordid,sordid
167,,,,greasy,unsuros
168,,,,oily,uleios
169,,,,lousy,groaznic
170,,,,maculate,maculă
171,,,,mucky,noroios
172,,,,muddy,împroșcat_cu_noroi
173,,,,ratty,temperament_prost
174,,,,scummy,mârșav
175,,,,smudgy,DUPLICATE_murdar
176,,,,snotty,mucos
177,,,,snot-nosed,DUPLICATE_mucos
178,,,,sooty,acoperit_de_funingine
179,,,,travel-soiled,murdărit_în_călătorie
180,,,,travel-stained,pătat_în_călătorie
181,,,,uncleanly,DUPLICATE_necurat
182,,,,unswept,nemăturată
183,,,,unwashed,nespălat
185,L09_9,antonyms - gradable,clear,,clar
186,,,,vague,vag
187,,,,obscure,obscur
188,,,,unclear,neclar
189,,,,undefined,nedefinit
190,,,,indefinable,indefinibil
191,,,,undefinable,nedefinibil
193,L09_10,antonyms - gradable,close,,aproape
194,,,,distant,distant
195,,,,remote,la_distanta
196,,,,removed,izolat
197,,,,far,departe
198,,,,faraway,îndepărtat
200,L09_11,antonyms - gradable,colorful,,colorat
201,,,,colorless,incolor
202,,,,colourless,DUPLICATE_incolor
203,,,,dull,mat
204,,,,neutral,neutru
205,,,,pale,pal
206,,,,white,alb
207,,,,bleached,decolorat
208,,,,faded,stins
209,,,,washed-out,spălăcit
210,,,,washy,DUPLICATE_spălăcit
211,,,,drab,cenușiu
212,,,,somber,întunecat
213,,,,sombre,DUPLICATE_întunecat
214,,,,dulled,atenuat
215,,,,greyed,DUPLICATE_cenușiu
216,,,,etiolate,etiolare
217,,,,etiolated,DUPLICATE_pal
218,,,,lurid,DUPLICATE_pal
219,,,,waxen,ceruit
220,,,,waxlike,ca_ceara
221,,,,waxy,ceros
222,,,,whitened,albit
224,L09_12,antonyms - gradable,common,,comun
225,,,,rare,rar
226,,,,infrequent,DUPLICATE_rar
227,,,,scarce,neîndestulător
228,,,,uncommon,neobișnuit
229,,,,extraordinary,extraordinar
231,L09_13,antonyms - gradable,competent,,competent
232,,,,incompetent,incompetent
233,,,,unskilled,nepriceput
234,,,,unqualified,necalificat
235,,,,inefficient,ineficient
237,L09_14,antonyms - gradable,concerned,,îngrijorat
238,,,,unconcerned,nepreocupat
239,,,,blase,blazat
240,,,,blithe,vesel
241,,,,casual,cauzal
242,,,,insouciant,nepăsător
243,,,,nonchalant,nonșalant
244,,,,degage,degajat
245,,,,detached,detașat
246,,,,uninvolved,neimplicat
247,,,,indifferent,indiferent
248,,,,careless,neglijent
249,,,,untroubled,netulburat
251,L09_15,antonyms - gradable,cooked,,gătit
252,,,,raw,neprelucrat
253,,,,half-baked,necopt
254,,,,fresh,proaspăt
255,,,,natural,natural
256,,,,underdone,subfacut
257,,,,rare,în_sânge
258,,,,uncooked,negătit
259,,,,untoasted,neprăjit
261,L09_16,antonyms - gradable,dangerous,,periculos
262,,,,safe,sigur
263,,,,fail-safe,DUPLICATE_sigur
264,,,,risk-free,fără_riscuri
265,,,,riskless,DUPLICATE_fără_riscuri
266,,,,unhazardous,neriscant
267,,,,safe-and-sound,în_siguranță
268,,,,unhurt,nevătămat
269,,,,harmless,inofensiv
270,,,,invulnerable,invulnerabil
271,,,,secure,securizat
272,,,,uninjured,DUPLICATE_nevătămat
274,L09_17,antonyms - gradable,decisive,,decisiv
275,,,,hesitating,ezită
276,,,,indecisive,nehotărât
