,ID,Relation,Source,Target,RO
0,L10_1,antonyms - binary,after,,după
1,,,,before,înainte
2,,,,earlier,mai_devreme
3,,,,previously,anterior
5,L10_2,antonyms - binary,ahead,,înainte
6,,,,behind,în_spate
7,,,,rear,spate
8,,,,after,după
9,,,,tail,la_coadă
10,,,,beforehand,în_prealabil
12,L10_3,antonyms - binary,anterior,,anterior
13,,,,posterior,posterior
15,L10_4,antonyms - binary,backward,,înapoi
16,,,,forward,înainte
17,,,,forwards,DUPLICATE_înainte
18,,,,frontward,în_față
19,,,,frontwards,DUPLICATE_în_față
20,,,,forrad,NO_TRANSLATION
21,,,,forrard,DUPLICATE_înainte
22,,,,forth,mai_departe
23,,,,onward,DUPLICATE_mai_departe
25,L10_5,antonyms - binary,before,,înainte
26,,,,after,după
27,,,,subsequently,ulterior
28,,,,later,mai_târziu
29,,,,afterwards,DUPLICATE_după_acceea
30,,,,afterward,după_acceea
31,,,,ahead,în_față
33,L10_6,antonyms - binary,beginning,,început
34,,,,end,sfărșit
35,,,,terminal,terminal
36,,,,ending,final
37,,,,last,ultimul
38,,,,final,DUPLICATE_final
39,,,,finish,finalizare
40,,,,finale,finală
41,,,,conclusion,concluzie
43,L10_7,antonyms - binary,below,,dedesupt
44,,,,above,deaupra
45,,,,higher,mai_sus
46,,,,up,sus
48,L10_8,antonyms - binary,climb,,urca
49,,,,descend,coborî
50,,,,declivitous,declinat
51,,,,downhill,la_vale
52,,,,downward-sloping,înlinată_în_jos
53,,,,degressive,scadere_proporțională
54,,,,descendant,descendent
55,,,,descendent,DUPLICATE_descendent
56,,,,down,jos
57,,,,downward,DUPLICATE_la_vale
58,,,,downward-arching,arcuit_în_jo
59,,,,drizzling,burniță
60,,,,dropping,căzând
61,,,,falling,cădere
62,,,,raining,ploua
64,L10_9,antonyms - binary,dead,,mort
65,,,,alive,viu
66,,,,living,viață
67,,,,live,trai
69,L10_10,antonyms - binary,decrement,,scădere
70,,,,increment,creștere
72,L10_11,antonyms - binary,descend,,coborâ
73,,,,ascend,urca
74,,,,climb,urcare
75,,,,rise,creștere
76,,,,upward,în_sus
77,,,,ascendent,ascendent
78,,,,ascendant,DUPLICATE_ascendent
80,L10_12,antonyms - binary,dive,,scufunda
81,,,,emerge,reieși
83,L10_13,antonyms - binary,down,,jos
84,,,,up,sus
85,,,,above,deasupra
86,,,,ahead,înainte
87,,,,lead,în_față
88,,,,leading,înaintaș
89,,,,aweigh,ridicat_deasupra_apei
90,,,,dormie,cămin
91,,,,dormy,DUPLICATE_cămin
92,,,,heavenward,spre_cer
93,,,,skyward,DUPLICATE_spre_cer
94,,,,risen,înviat
95,,,,sprouted,încolțit
96,,,,upbound,în_sus
97,,,,upfield,DUPLICATE_în_sus
98,,,,upward,DUPLICATE_în_sus
100,L10_14,antonyms - binary,downslope,,pantă_în_jos
101,,,,upslope,pantă_în_sus
102,,,,ascent,ascensiune
104,L10_15,antonyms - binary,drop,,cădea
105,,,,lift,ridica
106,,,,pick_up,a_ridica
108,L10_16,antonyms - binary,dynamic,,dinamic
109,,,,static,static
110,,,,still,calm
111,,,,unmoving,nemișcat
112,,,,unchanging,neschimbat
114,L10_17,antonyms - binary,employ,,angajat
115,,,,dismiss,demite
116,,,,fire,condedia
117,,,,sack,da_afară
118,,,,displace,deplasa
119,,,,terminate,termina
121,L10_18,antonyms - binary,exit,,ieșire
122,,,,entrance,intrare
123,,,,entranceway,vestibul
124,,,,entryway,cale_de_intrare
125,,,,entry,intra
126,,,,entree,antreu
128,L10_19,antonyms - binary,fall,,cădea
