,ID,Relation,Source,Target,SK
0,L01_1,hypernyms - animals,allosaurus,,allosaurus
1,,,,dinosaur,dinosaurus
2,,,,reptile,plaz
3,,,,bird,vták
4,,,,archosaur,archosaurus
5,,,,archosaurian,DUPLICATE_archosaurus
6,,,,archosaurian_reptile,DUPLICATE_archosaurus
7,,,,,prajašter
8,L01_2,hypernyms - animals,anaconda,,anakonda
9,,,,snake,had
10,,,,reptile,plaz
11,,,,boa,boa
12,,,,serpent,DUPLICATE_had
13,,,,ophidian,DUPLICATE_had
15,L01_3,hypernyms - animals,ant,,mravec
16,,,,insect,hmyz
17,,,,invertebrate,bezstavovec
18,,,,creature,tvor
19,,,,beast,zviera
20,,,,hymenopteran,blanokrídlovec
21,,,,being,bytosť
22,,,,animal,živočích
23,,,,organism,organizmus
24,,,,fauna,fauna
25,,,,arthropod,článkonožec
26,,,,hymenopterous_insect,blanokrídlový_hmyz
27,,,,animate_being,živá_bytosť
28,,,,physical_hymenopteron,DUPLICATE_blanokrídlovec
29,,,,physical_entity,fyzická_entita
30,,,,hymenopter,DUPLICATE_blanokrídlovec
31,,,,living_thing,živá_vec
33,L01_4,hypernyms - animals,beaver,,bobor
34,,,,rodent,hlodavec
35,,,,vertebrate,stavovec
36,,,,creature,tvor
37,,,,beast,zviera
38,,,,animal,živočích
39,,,,organism,organizmus
40,,,,fauna,fauna
41,,,,placental,placentovec
42,,,,chordate,chordát
43,,,,eutherian,vyšší_cicavec
44,,,,mammal,cicavec
45,,,,mammalian,DUPLICATE_cicavec
46,,,,eutherian_mammal,DUPLICATE_placentálovec
47,,,,gnawer,DUPLICATE_hlodavec
48,,,,animate_being,živá_bytosť
49,,,,living_thing,živá_vec
50,,,,placental_mammal,placentálovec
51,,,,craniate,DUPLICATE_stavovec
53,L01_5,hypernyms - animals,bee,,včela
54,,,,insect,hmyz
55,,,,invertebrate,bezstavovec
56,,,,creature,tvor
57,,,,beast,zviera
58,,,,hymenopteran,blanokrídlovec
59,,,,being,bytosť
60,,,,animal,živočích
61,,,,organism,organizmus
62,,,,fauna,fauna
63,,,,arthropod,článkonožec
64,,,,hymenopterous_insect,blanokrídlový_hmyz
65,,,,animate_being,živá_bytosť
66,,,,hymenopteron,DUPLICATE_blanokrídlovec
67,,,,hymenopter,DUPLICATE_blanokrídlovec
68,,,,living_thing,živá_vec
71,L01_6,hypernyms - animals,beetle,,chrobák
72,,,,insect,hmyz
73,,,,invertebrate,bezstavovec
74,,,,creature,tvor
75,,,,beast,zviera
76,,,,being,bytosť
77,,,,animal,živočích
78,,,,organism,organizmus
79,,,,fauna,fauna
80,,,,arthropod,článkonožec
81,,,,animate_being,živá_bytosť
82,,,,living_thing,živá_vec
84,L01_7,hypernyms - animals,buffalo,,byvol
85,,,,bovid,tur
86,,,,mammal,cicavec
87,,,,bison,bizón
88,,,,cow,krava
89,,,,vertebrate,stavovec
90,,,,creature,tvor
91,,,,ungulate,kopytník
92,,,,beast,zviera
93,,,,being,bytosť
94,,,,animal,živočích
95,,,,organism,organizmus
96,,,,fauna,fauna
97,,,,placental,placentovec
98,,,,artiodactyl,DUPLICATE_párnokopytník
99,,,,ruminant,prežúvavec
100,,,,chordate,chordát
101,,,,eutherian,vyšší_cicavec
102,,,,mammalian,DUPLICATE_cicavec
103,,,,bovine,DUPLICATE_tur
104,,,,animate_being,živá_bytosť
105,,,,eutherian_mammal,placentálovec
106,,,,placental_mammal,DUPLICATE_placentálovec
107,,,,craniate,DUPLICATE_stavovec
108,,,,physical_hoofed_mammal,NO_TRANSLATION
109,,,,physical_entity,fyzická_entita
110,,,,even-toed_ungulate,párnokopytník
111,,,,artiodactyl_mammal,DUPLICATE_NO_TRANSLATION
112,,,,living_thing,živá_vec
114,L01_8,hypernyms - animals,butterfly,,motýľ
115,,,,insect,hmyz
116,,,,creature,tvor
117,,,,beast,zviera
118,,,,lepidopteran,motýľ
119,,,,animal,živočích
120,,,,organism,organizmus
121,,,,fauna,fauna
122,,,,arthropod,článkonožec
123,,,,lepidopterous_insect,NO_TRANSLATION
124,,,,lepidopteron,DUPLICATE_motýľ
125,,,,animate_being,živá_bytosť
126,,,,living_thing,živá_vec
128,L01_9,hypernyms - animals,cat,,mačka
