,ID,Relation,Source,Target,SK
0,L02_1,hypernyms - misc,armchair,,kreslo
1,,,,chair,stolička
2,,,,seat,sedadlo
3,,,,piece_of_furniture,nábytok
4,,,,article_of_furniture,kus_nábytku
5,,,,furnishing,zariadenie
6,,,,artifact,artefakt
7,,,,artefact,DUPLICATE_artefakt
8,,,,unit,NO_TRANSLATION
9,,,,object,objekt
10,,,,physical_object,fyzický_objekt
11,,,,physical_entity,fyzická_entita
12,,,,entity,entita
14,L02_2,hypernyms - misc,blender,,mixér
15,,,,appliance,zariadenie
16,,,,mixer,mixér
17,,,,kitchen_utensil,kuchynské_zariadenie
18,,,,utensil,DUPLICATE_kuchynské_zariadenie
19,,,,implement,nástroj
20,,,,artifact,artefakt
21,,,,artefact,DUPLICATE_artefakt
22,,,,unit,NO_TRANSLATION
23,,,,object,objekt
24,,,,physical_object,fyzický_objekt
25,,,,physical_entity,fyzická_entita
26,,,,entity,entita
28,L02_3,hypernyms - misc,bracelet,,náramok
29,,,,jewelry,šperky
30,,,,band,páska
31,,,,strip,pásik
32,,,,slip,DUPLICATE_páska
33,,,,artifact,artefakt
34,,,,artefact,DUPLICATE_artefakt
35,,,,unit,NO_TRANSLATION
36,,,,object,objekt
37,,,,physical_object,fyzický_objekt
38,,,,physical_entity,fyzická_entita
39,,,,entity,entita
40,,,,jewellery,DUPLICATE_šperky
41,,,,adornment,ozdoba
42,,,,decoration,dekorácia
43,,,,ornament,ornament
44,,,,ornamentation,DUPLICATE_ornament
46,L02_4,hypernyms - misc,brooch,,brošňa
47,,,,jewelry,šperky
48,,,,jewellery,DUPLICATE_šperky
49,,,,adornment,ozdoba
50,,,,decoration,dekorácia
51,,,,ornament,ornament
52,,,,ornamentation,DUPLICATE_ornament
53,,,,artifact,artefakt
54,,,,artefact,DUPLICATE_artefakt
55,,,,unit,NO_TRANSLATION
56,,,,object,objekt
57,,,,physical_object,fyzický_objekt
59,L02_5,hypernyms - misc,cake,,"koláč,_torta"
60,,,,dessert,dezert
61,,,,baked_goods,pečivo
62,,,,food,potrava
63,,,,solid_food,pevná_potrava
64,,,,course,chod
65,,,,nutriment,výživa
66,,,,nourishment,DUPLICATE_výživa
67,,,,nutrition,DUPLICATE_výživa
68,,,,sustenance,obživa
69,,,,aliment,DUPLICATE_potrava
70,,,,alimentation,DUPLICATE_potrava
71,,,,victuals,DUPLICATE_potrava
72,,,,nutrient,živina
73,,,,substance,látka
74,,,,matter,hmota
75,,,,physical_entity,fyzická_entita
76,,,,entity,entita
78,L02_6,hypernyms - misc,computer,,počítač
79,,,,device,zariadenie
80,,,,machine,stroj
81,,,,gadget,prístroj
82,,,,artifact,artefakt
83,,,,artefact,DUPLICATE_artefakt
84,,,,unit,NO_TRANSLATION
85,,,,object,objekt
86,,,,physical_object,fyzický_objekt
87,,,,physical_entity,fyzická_entita
88,,,,entity,entita
89,,,,expert,expert
90,,,,person,osoba
91,,,,individual,indivíduum
92,,,,someone,niekto
93,,,,somebody,DUPLICATE_niekto
94,,,,mortal,smrteľník
95,,,,soul,duša
96,,,,causal_agent,kauzálny_agent
97,,,,cause,príčina
98,,,,causal_agency,DUPLICATE_NO_TRANSLATION
99,,,,organism,organizmus
100,,,,being,bytosť
101,,,,living_thing,živá_vec
102,,,,animate_thing,DUPLICATE_živá_vec
104,L02_7,hypernyms - misc,croissant,,croissant
105,,,,pastry,DUPLICATE_pečivo
106,,,,bun,rožok
107,,,,roll,žemľa
108,,,,bread,chlieb
109,,,,breadstuff,DUPLICATE_chlieb
110,,,,staff_of_life,základné_potraviny
111,,,,baked_goods,baked_goods
112,,,,starches,škrob
113,,,,food,potrava
114,,,,solid_food,pevná_potrava
115,,,,foodstuff,potravina
116,,,,food_product,DUPLICATE_potravina
117,,,,solid,pevná_látka
118,,,,nutrient,živina
119,,,,matter,hmota
120,,,,substance,látka
121,,,,physical_entity,fyzická_entita
122,,,,entity,entita
124,L02_8,hypernyms - misc,cup,,šálka
125,,,,tableware,servis
126,,,,crockery,riad
127,,,,dishware,DUPLICATE_riad
128,,,,ware,NO_TRANSLATION
129,,,,article,DUPLICATE_NO_TRANSLATION
130,,,,artifact,artefakt
131,,,,artefact,DUPLICATE_artefakt
132,,,,unit,DUPLICATE_NO_TRANSLATION
133,,,,object,objekt
134,,,,physical_object,fyzický_objekt
135,,,,physical_entity,fyzická_entita
136,,,,entity,entita
137,,,,container,nádoba
139,L02_9,hypernyms - misc,denim,,denim
140,,,,fabric,tkanina
141,,,,cloth,látka
142,,,,material,materiál
143,,,,textile,textília
144,,,,artifact,artefakt
145,,,,artefact,DUPLICATE_artefakt
146,,,,unit,NO_TRANSLATION
147,,,,object,objekt
148,,,,physical_object,fyzický_objekt
149,,,,physical_entity,fyzická_entita
