,ID,Relation,Source,Target,SK
0,L03_1,hyponyms - misc,backpack,,batoh
1,,,,daypack,mestský_batoh
2,,,,kitbag,lodné_vrece
3,,,,kit_bag,lodný_vak
5,L03_2,hyponyms - misc,bag,,vak
6,,,,pouch,puzdro
7,,,,backpack,batoh
8,,,,knapsack,plecniak
9,,,,packsack,DUPLICATE_batoh
10,,,,rucksack,ruksak
11,,,,haversack,NO_TRANSLATION
12,,,,beanbag,sedací_vak
13,,,,bladder,mechúr
14,,,,carryall,brašna
15,,,,holdall,brašňa
16,,,,tote,taška
17,,,,drawstring,zaťahovacie_vrecko
18,,,,dust,vrecúško_do_vysávača
19,,,,vacuum,vrecko_do_vysávača
20,,,,envelope,obálka
21,,,,gasbag,balón
22,,,,gamebag,poľovnícky_vak
23,,,,golf,golfový_bag
24,,,,gunnysack,jutové_vrece
25,,,,gunny,jutový_vak
26,,,,burlap,vrece
27,,,,ice,vrecko_na_ľad
28,,,,mailbag,poštový_vak
29,,,,postbag,poštársky_vak
30,,,,nosebag,DUPLICATE_NO_TRANSLATION
31,,,,feedbag,DUPLICATE_NO_TRANSLATION
32,,,,pannier,sedlový_vak
33,,,,plastic,plastové_vrecúško
34,,,,purse,peňaženka
35,,,,ragbag,handrové_vrecko
36,,,,rosin,nylonové_vrecko
37,,,,sachet,taštička
38,,,,sack,vrecko
39,,,,poke,torba
40,,,,paper,papierové_vrecko
41,,,,carrier,nákupné_vrecko
42,,,,saddlebag,sedlové_vrece
43,,,,sandbag,vrece_s_pieskom
44,,,,schoolbag,školská_taška
45,,,,shopping,nákupná_taška
46,,,,sick_bag,vrecko_na_vracanie
47,,,,sickbag,vrecúško_na_vracanie
48,,,,skin,puzdro_na_kožu
49,,,,sleeping,spací_vak
50,,,,sweat,odparovacie_vrecko
51,,,,tea,čajové_vrecúško
52,,,,toilet,necesér
53,,,,sponge,kozmetická_taštička
54,,,,tool,taška_na_náradie
55,,,,tucker-bag,DUPLICATE_NO_TRANSLATION
57,L03_3,hyponyms - misc,bed,,posteľ
58,,,,bunk,poschodová_posteľ
59,,,,berth,palanda
60,,,,built,vstavaná_posteľ
61,,,,built-in,zabudovaná_posteľ
62,,,,cot,lôžko
63,,,,camp,poľná_posteľ
64,,,,couch,gauč
65,,,,deathbed,smrteľná_posteľ
66,,,,double,dvojposteľ
67,,,,four-poster,posteľ_s_nebesami
68,,,,hammock,visutá_sieť
69,,,,sack,spací_vak
70,,,,marriage_bed,manželská_posteľ
71,,,,murphy,sklápacia_posteľ
72,,,,plank-bed,pričňa
73,,,,platform,rošt
74,,,,sickbed,nemocničná_posteľ
75,,,,single_bed,jednolôžko
76,,,,sleigh,NO_TRANSLATION
77,,,,trundle,výsuvná_posteľ
78,,,,truckle,DUPLICATE_výsuvná_posteľ
79,,,,twin,dvojlôžko
80,,,,water,vodná_posteľ
81,,,,semi-double,DUPLICATE_NO_TRANSLATION
82,,,,semidouble,DUPLICATE_NO_TRANSLATION
83,,,,,"jednolôžková_posteľ,dvojlôžková_posteľ"
84,L03_4,hyponyms - misc,boat,,loď
85,,,,ferry,trajekt
86,,,,ark,archa
87,,,,barge,čln
88,,,,flatboat,pramica
89,,,,hoy,NO_TRANSLATION
90,,,,lighter,lichter
91,,,,bumboat,lodný_taxík
92,,,,canal_boat,prieplavový_čln
93,,,,narrow_boat,DUPLICATE_NO_TRANSLATION
94,,,,narrowboat,DUPLICATE_NO_TRANSLATION
95,,,,ferryboat,DUPLICATE_trajekt
96,,,,fireboat,požiarny_čln
97,,,,gondola,gondola
98,,,,guard_boat,hliadková_loď
99,,,,gunboat,delový_čln
100,,,,junk,džunka
101,,,,longboat,DUPLICATE_NO_TRANSLATION
102,,,,lugger,luger
103,,,,mackinaw,DUPLICATE_NO_TRANSLATION
104,,,,mailboat,poštový_čln
105,,,,mail,DUPLICATE_poštový_čln
106,,,,packet,DUPLICATE_NO_TRANSLATION
107,,,,motorboat,motorový_čln
108,,,,powerboat,motorová_loď
109,,,,pilot,pilotná_loď
110,,,,police,policajný_čln
111,,,,punt,kompa
112,,,,river_boat,riečny_čln
113,,,,scow,DUPLICATE_kompa
114,,,,sea_boat,DUPLICATE_NO_TRANSLATION
115,,,,small_boat,DUPLICATE_NO_TRANSLATION
116,,,,steamboat,parník
117,,,,surfboat,DUPLICATE_NO_TRANSLATION
118,,,,tender_boat,tender
119,,,,pinnace,pinasa
