,ID,Relation,Source,Target,SK
0,L06_1,meronyms - part,academia,,akadémia
1,,,,college,NO_TRANSLATION
2,,,,university,univerzita
3,,,,institute,inštitút
5,L06_2,meronyms - part,apartment,,byt
6,,,,bedroom,spálňa
7,,,,room,izba
8,,,,bathroom,kúpeľňa
9,,,,kitchen,kuchyňa
10,,,,kitchenette,kuchynka
11,,,,living_room,obývačka
12,,,,pantry,špajza
13,,,,toilet,záchod
14,,,,shower_room,sprchovací_kút
16,L06_3,meronyms - part,bird,,vták
17,,,,feathers,perie
18,,,,plume,pero
19,,,,preen,česať_si_perie
20,,,,croup,hrvoľ
21,,,,calamus,brko
22,,,,fowl,hydina
23,,,,drumstick,NO_TRANSLATION
24,,,,syrinx,syrinx
25,,,,bill,zobák
26,,,,rump,zadok
27,,,,vane,osten
28,,,,barb,zástavica
29,,,,quill,DUPLICATE_brko
30,,,,shaft,kostrnka
31,,,,pecker,DUPLICATE_zobák
32,,,,pennon,letky
33,,,,feet,nohy
34,,,,giblets,droby
35,,,,alula,alula
36,,,,talon,pazúr
37,,,,foot,noha
38,,,,pinion,krídelko
39,,,,wing,krídlo
40,,,,wishbone,vidlica
41,,,,nib,DUPLICATE_zobák
42,,,,sac,DUPLICATE_NO_TRANSLATION
43,,,,giblet,drob
44,,,,furcula,furcula
45,,,,bird,vták
46,,,,neb,DUPLICATE_zobák
47,,,,feather,pierko
48,,,,gland,žľaza
49,,,,oyster,DUPLICATE_NO_TRANSLATION
50,,,,thigh,stehno
51,,,,plumage,operenie
52,,,,web,plávacia_blana
53,,,,hindquarters,zadná_štvrť
54,,,,beak,DUPLICATE_zobák
55,,,,parson's_nose,trtáč
56,,,,wishing_bone,DUPLICATE_vidlica
57,,,,pope's_nose,DUPLICATE_trtáč
58,,,,spurious_wing,DUPLICATE_krídelko
59,,,,bastard_wing,DUPLICATE_krídelko
60,,,,croupe,DUPLICATE_hrvoľ
61,,,,air_sac,vzdušný_vak
62,,,,quill_feather,DUPLICATE_brko
63,,,,uropygium,DUPLICATE_trtáč
64,,,,bird's_foot,vtáčia_noha
65,,,,uropygial,DUPLICATE_chvost
66,,,,second_joint,stehienko
67,,,,uropygial_gland,chvostová_žľaza
68,,,,preen_gland,DUPLICATE_chvostová_žľaza
69,,,,flight_feather,letka
70,,,,dark_meat,tmavé_mäso
72,L06_4,meronyms - part,brush,,kefa
73,,,,bristle,štetina
74,,,,hold,držiak
75,,,,shank,držadlo
76,,,,grip,úchop
77,,,,handgrip,DUPLICATE_úchop
78,,,,handle,rúčka
79,,,,head,hlavica
80,,,,stem,NO_TRANSLATION
82,L06_5,meronyms - part,bus,,autobus
83,,,,seats,sedadlá
84,,,,conductor,sprievodca
85,,,,window,okno
86,,,,driver,šofér
87,,,,roof,strecha
89,L06_6,meronyms - part,byte,,bajt
90,,,,bit,bit
92,L06_7,meronyms - part,car,,auto
93,,,,engine,motor
94,,,,armrest,opierka_na_ruky
95,,,,headrest,opierka_na_hlavu
96,,,,grille,maska_chladiča
97,,,,hinge,pánt
98,,,,tailpipe,výfukové_potrubie
99,,,,suspension,pruženie
100,,,,hood,kapota
101,,,,horn,klaksón
102,,,,hooter,DIPLICATE_klaksón
103,,,,petrol,benzín
104,,,,pintle,NO_TRANSLATION
105,,,,trunk,kufor
106,,,,floorboard,podlaha
107,,,,bar,tyč
108,,,,gas,DUPLICATE_benzín
109,,,,buffer,DUPLICATE_nárazník
110,,,,door,dvere
111,,,,stabilizer,stabilizátor
112,,,,seat,sedadlo
113,,,,window,okno
114,,,,exhaust,výfuk
115,,,,tailfin,plutva
116,,,,back,zadná_časť
117,,,,luggage,batožina
118,,,,pedal,pedál
119,,,,cowling,DUPLICATE_kapota
120,,,,seatbelt,pás
121,,,,high,DUPLICATE_NO_TRANSLATION
122,,,,wing,krídlo
123,,,,gasoline,DUPLICATE_benzín
124,,,,fin,DUPLICATE_plutva
125,,,,cowl,DUPLICATE_kapota
126,,,,silencer,DUPLICATE_NO_TRANSLATION
