,ID,Relation,Source,Target,SK
0,L08_1,synonyms - exact,airplane,,lietadlo
1,,,,aeroplane,eroplán
2,,,,plane,NO_TRANSLATION
4,L08_2,synonyms - exact,auto,,auto
5,,,,car,NO_TRANSLATION
6,,,,automobile,automobil
7,,,,motorcar,motorové_vozidlo
9,L08_3,synonyms - exact,baby,,bábätko
10,,,,infant,novorodeniatko
11,,,,babe,bábä
13,L08_4,synonyms - exact,bicycle,,bicykel
14,,,,bike,bike
15,,,,wheel,NO_TRANSLATION
16,,,,cycle,DUPLICATE_NO_TRANSLATION
17,,,,,bajk
18,L08_5,synonyms - exact,child,,dieťa
19,,,,kid,decko
20,,,,youngster,NO_TRANSLATION
21,,,,minor,DUPLICATE_NO_TRANSLATION
22,,,,shaver,DUPLICATE_NO_TRANSLATION
23,,,,nipper,DUPLICATE_NO_TRANSLATION
24,,,,small_fry,DUPLICATE_NO_TRANSLATION
25,,,,tiddler,DUPLICATE_NO_TRANSLATION
26,,,,tike,DUPLICATE_NO_TRANSLATION
27,,,,tyke,DUPLICATE_NO_TRANSLATION
28,,,,fry,DUPLICATE_NO_TRANSLATION
29,,,,nestling,DUPLICATE_NO_TRANSLATION
30,,,,,"ratolesť,drobec,špunt,fafrnok"
31,L08_6,synonyms - exact,cloth,,látka
32,,,,fabric,textília
33,,,,material,NO_TRANSLATION
34,,,,textile,textil
36,L08_7,synonyms - exact,clothes,,šaty
37,,,,clothing,oblečenie
38,,,,apparel,odev
39,,,,dress,NO_TRANSLATION
41,L08_8,synonyms - exact,confused,,zmätený
42,,,,baffled,NO_TRANSLATION
43,,,,befuddled,DUPLICATE_NO_TRANSLATION
44,,,,bemused,DUPLICATE_NO_TRANSLATION
45,,,,bewildered,DUPLICATE_NO_TRANSLATION
46,,,,confounded,DUPLICATE_NO_TRANSLATION
47,,,,lost,stratený
48,,,,mazed,poblúdený
49,,,,mixed-up,DUPLICATE_NO_TRANSLATION
50,,,,,"rozpačitý,neistý"
51,L08_9,synonyms - exact,dollars,,doláre
52,,,,bucks,doláče
54,L08_10,synonyms - exact,emphasis,,zvýraznenie
55,,,,accent,DUPLICATE_zdôraznenie
