,ID,Relation,Source,Target,SK
0,L09_1,antonyms - gradable,able,,schopný
1,,,,unable,neschopný
2,,,,incapable,DUPLICATE_neschopný
3,,,,incompetent,nekompetentný
4,,,,unequal,nerovný
5,,,,,nesúci
6,L09_2,antonyms - gradable,abundant,,hojný
7,,,,scarce,vzácny
8,,,,rare,zriedkavý
9,,,,tight,sotva_dostačujúci
10,,,,meager,chudobný
11,,,,meagre,DUPLICATE_chudobný
12,,,,meagerly,DUPLICATE_chudobný
13,,,,stingy,biedny
14,,,,scrimpy,DUPLICATE_biedny
15,,,,insufficient,nedostatočný
16,,,,deficient,deficitný
17,,,,,"nedostupný,chýbajúci,nedostačujúci"
18,L09_3,antonyms - gradable,aware,,vedomý
19,,,,unaware,nevedomý
20,,,,oblivious,nevnímajúci
21,,,,unmindful,nevšímajúci
22,,,,unconscious,bezvedomý
23,,,,unsuspecting,ničnetušiaci
24,,,,asleep,spiaci
25,,,,insensible,v_mdlobách
26,,,,unwitting,mimovoľný
27,,,,ignorant,neznalý
28,,,,indifferent,ľahostajný
30,L09_4,antonyms - gradable,beautiful,,nádherný
31,,,,ugly,škaredý
32,,,,disfigured,znetvorený
33,,,,evil-looking,NO_TRANSLATION
34,,,,fugly,príšerný
35,,,,grotesque,groteskný
36,,,,monstrous,monštrózny
37,,,,hideous,ohavný
38,,,,repulsive,odporný
39,,,,ill-favored,DUPLICATE_NO_TRANSLATION
40,,,,ill-favoured,DUPLICATE_NO_TRANSLATION
41,,,,scrofulous,ohyzdný
42,,,,unlovely,nepríjemný
43,,,,unpicturesque,nefotogenický
44,,,,unsightly,nepekný
45,,,,displeasing,protivný
46,,,,unattractive,neatraktívny
47,,,,awkward,čudný
48,,,,,"hnusný,hrozný,mrzký"
49,L09_5,antonyms - gradable,big,,veľký
50,,,,small,malý
51,,,,atomic,atómový
52,,,,subatomic,subatómový
53,,,,bantam,NO_TRANSLATION
54,,,,diminutive,zdrobnený
55,,,,lilliputian,liliputánsky
56,,,,midget,trpazličí
57,,,,petite,maličký
58,,,,tiny,drobný
59,,,,flyspeck,DUPLICATE_NO_TRANSLATION
60,,,,bitty,DUPLICATE_NO_TRANSLATION
61,,,,bittie,DUPLICATE_NO_TRANSLATION
62,,,,teensy,drobnučký
63,,,,teentsy,drobulinký
64,,,,teeny,drobučký
65,,,,wee,DUPLICATE_NO_TRANSLATION
66,,,,weeny,DUPLICATE_NO_TRANSLATION
67,,,,weensy,DUPLICATE_NO_TRANSLATION
68,,,,teensy-weensy,drobučičký
69,,,,teeny-weeny,DUPLICATE_NO_TRANSLATION
70,,,,itty-bitty,DUPLICATE_NO_TRANSLATION
71,,,,itsy-bitsy,DUPLICATE_NO_TRANSLATION
72,,,,dinky,DUPLICATE_NO_TRANSLATION
73,,,,dwarfish,DUPLICATE_trpazličí
74,,,,elfin,DUPLICATE_NO_TRANSLATION
75,,,,elflike,DUPLICATE_NO_TRANSLATION
76,,,,gnomish,DUPLICATE_trpazličí
77,,,,half-size,polovičný
78,,,,infinitesimal,infinitezimálny
79,,,,minute,DUPLICATE_NO_TRANSLATION
80,,,,lesser,menší
81,,,,microscopic,mikroskopický
82,,,,microscopical,DUPLICATE_mikroskopický
83,,,,micro,mikro
84,,,,miniature,miniatúrny
85,,,,minuscule,DUPLICATE_NO_TRANSLATION
86,,,,miniscule,DUPLICATE_NO_TRANSLATION
87,,,,olive-sized,DUPLICATE_NO_TRANSLATION
88,,,,pocket-size,DUPLICATE_vreckový
89,,,,pocket-sized,vreckový
90,,,,pocketable,DUPLICATE_vreckový
91,,,,puny,malinký
92,,,,runty,krpatý
