,ID,Relation,Source,Target,SK
0,L10_1,antonyms - binary,after,,po
1,,,,before,pred
2,,,,earlier,skôr
3,,,,previously,predtým
5,L10_2,antonyms - binary,ahead,,vopred
6,,,,behind,oneskorene
7,,,,rear,zadný
8,,,,after,po
9,,,,tail,na_chvoste
10,,,,beforehand,vopred
12,L10_3,antonyms - binary,anterior,,predchádzajúci
13,,,,posterior,nasledujúci
15,L10_4,antonyms - binary,backward,,dozadu
16,,,,forward,dopredu
17,,,,forwards,vpred
18,,,,frontward,NO_TRANSLATION
19,,,,frontwards,DUPLICATE_NO_TRANSLATION
20,,,,forrad,DUPLICATE_NO_TRANSLATION
21,,,,forrard,DUPLICATE_NO_TRANSLATION
22,,,,forth,napred
23,,,,onward,DUPLICATE_napred
25,L10_5,antonyms - binary,before,,predtým
26,,,,after,potom
27,,,,subsequently,následne
28,,,,later,neskôr
29,,,,afterwards,DUPLICATE_následne
30,,,,afterward,DUPLICATE_následne
31,,,,ahead,vpredu
33,L10_6,antonyms - binary,beginning,,začiatočný
34,,,,end,konečný
35,,,,terminal,koncový
36,,,,ending,končiaci
37,,,,last,posledný
38,,,,final,finálny
39,,,,finish,cieľový
40,,,,finale,finálný
41,,,,conclusion,záver
43,L10_7,antonyms - binary,below,,pod
44,,,,above,nad
45,,,,higher,vyššie
46,,,,up,hore
48,L10_8,antonyms - binary,climb,,stúpať
49,,,,descend,klesať
50,,,,declivitous,NO_TRANSLATION
51,,,,downhill,dolu_kopcom
52,,,,downward-sloping,DUPLICATE_NO_TRANSLATION
53,,,,degressive,DUPLICATE_NO_TRANSLATION
54,,,,descendant,DUPLICATE_NO_TRANSLATION
55,,,,descendent,DUPLICATE_NO_TRANSLATION
56,,,,down,dolu
57,,,,downward,DUPLICATE_NO_TRANSLATION
58,,,,downward-arching,DUPLICATE_NO_TRANSLATION
59,,,,drizzling,DUPLICATE_NO_TRANSLATION
60,,,,dropping,DUPLICATE_NO_TRANSLATION
61,,,,falling,DUPLICATE_NO_TRANSLATION
62,,,,raining,DUPLICATE_NO_TRANSLATION
64,L10_9,antonyms - binary,dead,,mŕtvy
65,,,,alive,živý
66,,,,living,žijúci
67,,,,live,nažive
69,L10_10,antonyms - binary,decrement,,zníženie
70,,,,increment,zvýšenie
72,L10_11,antonyms - binary,descend,,pokles
73,,,,ascend,stúpanie
74,,,,climb,DUPLICATE_stúpanie
75,,,,rise,nárast
76,,,,upward,dohora
77,,,,ascendent,stúpajúci
78,,,,ascendant,DUPLICATE_stúpajúci
80,L10_12,antonyms - binary,dive,,ponoriť_sa
81,,,,emerge,vynoriť_sa
83,L10_13,antonyms - binary,down,,dolný
84,,,,up,horný
85,,,,above,nad
86,,,,ahead,NO_TRANSLATION
87,,,,lead,DUPLICATE_NO_TRANSLATION
88,,,,leading,DUPLICATE_NO_TRANSLATION
89,,,,aweigh,DUPLICATE_NO_TRANSLATION
90,,,,dormie,DUPLICATE_NO_TRANSLATION
91,,,,dormy,DUPLICATE_NO_TRANSLATION
92,,,,heavenward,DUPLICATE_NO_TRANSLATION
93,,,,skyward,DUPLICATE_NO_TRANSLATION
94,,,,risen,vystúpený
95,,,,sprouted,DUPLICATE_NO_TRANSLATION
96,,,,upbound,DUPLICATE_NO_TRANSLATION
97,,,,upfield,DUPLICATE_NO_TRANSLATION
98,,,,upward,smerujúci_hore
100,L10_14,antonyms - binary,downslope,,dolu_kopcom
101,,,,upslope,hore_kopcom
102,,,,ascent,NO_TRANSLATION
104,L10_15,antonyms - binary,drop,,pustiť
105,,,,lift,zdvihnúť
106,,,,pick_up,zodvihnúť
108,L10_16,antonyms - binary,dynamic,,dynamický
109,,,,static,statický
110,,,,still,nehybný
111,,,,unmoving,nepohyblivý
112,,,,unchanging,nemenný
