,ID,Relation,Source,Target,SL
0,L01_1,hypernyms - animals,allosaurus,,alozaver
1,,,,dinosaur,dinozaver
2,,,,reptile,plazilec
3,,,,bird,ptica
4,,,,archosaur,arhozaver
5,,,,archosaurian,arhozaverski
6,,,,archosaurian_reptile,arhozaverski_plazilec
8,L01_2,hypernyms - animals,anaconda,,anakonda
9,,,,snake,kača
10,,,,reptile,plazilec
11,,,,boa,boa
12,,,,serpent,DUPLICATE_kača
13,,,,ophidian,udav
15,L01_3,hypernyms - animals,ant,,mravlja
16,,,,insect,žuželka
17,,,,invertebrate,nevretenčar
18,,,,creature,DUPLICATE_bitje
19,,,,beast,zver
20,,,,hymenopteran,kožekrilec
21,,,,being,bitje
22,,,,animal,žival
23,,,,organism,organizem
24,,,,fauna,favna
25,,,,arthropod,členonožec
26,,,,hymenopterous_insect,žuželka_kožekrilka
27,,,,animate_being,gibajoče_bitje
28,,,,physical_hymenopteron,fizična_kožekrilka
29,,,,physical_entity,fizična_stvar
30,,,,hymenopter,DUPLICATE_kožekrilec
31,,,,living_thing,živo_bitje
33,L01_4,hypernyms - animals,beaver,,bober
34,,,,rodent,glodavec
35,,,,vertebrate,vretenčar
36,,,,creature,bitje
37,,,,beast,zver
38,,,,animal,žival
39,,,,organism,organizem
40,,,,fauna,favna
41,,,,placental,placentalni_sesalec
42,,,,chordate,strunar
43,,,,eutherian,višji_sesalec
44,,,,mammal,sesalec
45,,,,mammalian,DUPLICATE_sesalec
46,,,,eutherian_mammal,DUPLICATE_višji_sesalec
47,,,,gnawer,DUPLICATE_glodavec
48,,,,animate_being,gibajoče_bitje
49,,,,living_thing,živo_bitje
50,,,,placental_mammal,DUPLICATE_placentalni_sesalec
51,,,,craniate,kožuhar
53,L01_5,hypernyms - animals,bee,,čebela
54,,,,insect,žuželka
55,,,,invertebrate,nevretenčar
56,,,,creature,DUPLICATE_bitje
57,,,,beast,zver
58,,,,hymenopteran,kožekrilec
59,,,,being,bitje
60,,,,animal,žival
61,,,,organism,organizem
62,,,,fauna,favna
63,,,,arthropod,členonožec
64,,,,hymenopterous_insect,žuželka_kožekrilka
65,,,,animate_being,gibajoče_bitje
66,,,,hymenopteron,DUPLICATE_kožekrilec
67,,,,hymenopter,DUPLICATE_kožekrilec
68,,,,living_thing,živo_bitje
71,L01_6,hypernyms - animals,beetle,,hrošč
72,,,,insect,žuželka
73,,,,invertebrate,nevretenčar
74,,,,creature,DUPLICATE_bitje
75,,,,beast,zver
76,,,,being,bitje
77,,,,animal,žival
78,,,,organism,organizem
79,,,,fauna,favna
80,,,,arthropod,členonožec
81,,,,animate_being,gibajoče_bitje
82,,,,living_thing,živo_bitje
84,L01_7,hypernyms - animals,buffalo,,bivol
85,,,,bovid,votlorog
86,,,,mammal,sesalec
87,,,,bison,bizon
88,,,,cow,krava
89,,,,vertebrate,vretenčar
90,,,,creature,DUPLICATE_bitje
91,,,,ungulate,kopitar
92,,,,beast,zver
93,,,,being,bitje
94,,,,animal,žival
95,,,,organism,organizem
96,,,,fauna,favna
97,,,,placental,placentalni_sesalec
98,,,,artiodactyl,DUPLICATE_sodoprsti_kopitar
99,,,,ruminant,prežvekovalec
100,,,,chordate,strunar
101,,,,eutherian,višji_strunar
102,,,,mammalian,DUPLICATE_sesalec
103,,,,bovine,pravo_govedo
104,,,,animate_being,gibajoče_bitje
105,,,,eutherian_mammal,višji_sesalec
