,ID,Relation,Source,Target,SL
0,L02_1,hypernyms - misc,armchair,,naslanjač
1,,,,chair,stol
2,,,,seat,sedež
3,,,,piece_of_furniture,kos_pohištva
4,,,,article_of_furniture,DUPLICATE_kos_pohištva
5,,,,furnishing,pohištvo
6,,,,artifact,predmet
7,,,,artefact,DUPLICATE_predmet
8,,,,unit,kos
9,,,,object,objekt
10,,,,physical_object,fizični_predmet
11,,,,physical_entity,fizična_stvar
12,,,,entity,stvar
14,L02_2,hypernyms - misc,blender,,mešalnik
15,,,,appliance,aparat
16,,,,mixer,DUPLICATE_mešalnik
17,,,,kitchen_utensil,kuhinjski_aparat
18,,,,utensil,pripomoček
19,,,,implement,orodje
20,,,,artifact,predmet
21,,,,artefact,DUPLICATE_predmet
22,,,,unit,kos
23,,,,object,objekt
24,,,,physical_object,fizični_predmet
25,,,,physical_entity,fizična_stvar
26,,,,entity,stvar
28,L02_3,hypernyms - misc,bracelet,,zapestnica
29,,,,jewelry,nakit
30,,,,band,obroč
31,,,,strip,trak
32,,,,slip,NO_TRANSLATION
33,,,,artifact,predmet
34,,,,artefact,DUPLICATE_predmet
35,,,,unit,kos
36,,,,object,objekt
37,,,,physical_object,fizični_predmet
38,,,,physical_entity,fizična_stvar
39,,,,entity,stvar
40,,,,jewellery,DUPLICATE_nakit
41,,,,adornment,DUPLICATE_okras
42,,,,decoration,dekoracija
43,,,,ornament,okras
44,,,,ornamentation,okrasitev
46,L02_4,hypernyms - misc,brooch,,broška
47,,,,jewelry,nakit
48,,,,jewellery,DUPLICATE_nakit
49,,,,adornment,DUPLICATE_okras
50,,,,decoration,dekoracija
51,,,,ornament,okras
52,,,,ornamentation,okrasitev
53,,,,artifact,predmet
54,,,,artefact,DUPLICATE_predmet
55,,,,unit,kos
56,,,,object,objekt
57,,,,physical_object,fizični_predmet
59,L02_5,hypernyms - misc,cake,,torta
60,,,,dessert,sladica
61,,,,baked_goods,pečene_dobrote
62,,,,food,hrana
63,,,,solid_food,trda_hrana
64,,,,course,jed
65,,,,nutriment,DUPLICATE_hranilo
66,,,,nourishment,DUPLICATE_prehrana
67,,,,nutrition,prehrana
68,,,,sustenance,preživninska_hrana
69,,,,aliment,DUPLICATE_prehrana
70,,,,alimentation,prehranjevanje
