,ID,Relation,Source,Target,SL
0,L03_1,hyponyms - misc,backpack,,nahrbtnik
1,,,,daypack,dnevni_nahrbtnik
2,,,,kitbag,torba_za_komplet
3,,,,kit_bag,DUPLICATE_torba_za_komplet
5,L03_2,hyponyms - misc,bag,,torba
6,,,,pouch,mošnjiček
7,,,,backpack,nahrbtnik
8,,,,knapsack,DUPLICATE_nahrbtnik
9,,,,packsack,borša
10,,,,rucksack,ruzak
11,,,,haversack,torba_z_eno_naramnico
12,,,,beanbag,sedežna_vreča
13,,,,bladder,mehur
14,,,,carryall,DUPLICATE_potovalka
15,,,,holdall,potovalka
16,,,,tote,vrečka_iz_blaga
17,,,,drawstring,torba_z_vrvico
18,,,,dust,vrečka_za_prah
19,,,,vacuum,vrečka_za_sesalnik
20,,,,envelope,ovojnica
21,,,,gasbag,plinska_vreča
22,,,,gamebag,lovska_torba
23,,,,golf,torba_za_golf
24,,,,gunnysack,vreča_iz_jute
25,,,,gunny,DUPLICATE_vreča_iz_jute
26,,,,burlap,NO_TRANSLATION
27,,,,ice,vrečka_za_led
28,,,,mailbag,poštna_vreča
29,,,,postbag,DUPLICATE_poštna_vreča
30,,,,nosebag,nosna_vreča
31,,,,feedbag,krmilna_vreča
32,,,,pannier,košara
33,,,,plastic,plastična_vreča
34,,,,purse,torbica
35,,,,ragbag,DUPLICATE_NO_TRANSLATION
36,,,,rosin,vrečka_kolofonije
37,,,,sachet,vrečka_za_perilo
38,,,,sack,vreča
39,,,,poke,DUPLICATE_NO_TRANSLATION
40,,,,paper,papirnata_vrečka
41,,,,carrier,nosilna_vrečka
42,,,,saddlebag,vrečka_za_sedlo
43,,,,sandbag,vreča_s_peskom
44,,,,schoolbag,šolska_torba
45,,,,shopping,nakupovalna_vrečka
46,,,,sick_bag,vrečka_za_bruhanje
47,,,,sickbag,DUPLICATE_vrečka_za_bruhanje
48,,,,skin,usnjena_torba
49,,,,sleeping,spalna_vreča
50,,,,sweat,DUPLICATE_NO_TRANSLATION
51,,,,tea,čajna_vrečka
52,,,,toilet,toaletna_torbica
53,,,,sponge,DUPLICATE_NO_TRANSLATION
54,,,,tool,torba_za_orodje
55,,,,tucker-bag,DUPLICATE_NO_TRANSLATION
57,L03_3,hyponyms - misc,bed,,postelja
58,,,,bunk,pograd
59,,,,berth,NO_TRANSLATION
60,,,,built,DUPLICATE_vgradnja_postelja
61,,,,built-in,vgradnja_postelja
62,,,,cot,posteljica
63,,,,camp,kamp_postelja
64,,,,couch,zofa
65,,,,deathbed,smrtna_postelja
66,,,,double,dvojna_postelja
67,,,,four-poster,postelja_z_baldahinom
68,,,,hammock,viseča_mreža
69,,,,sack,vreča
70,,,,marriage_bed,zakonska_postelja
71,,,,murphy,zložljiva_postelja
72,,,,plank-bed,DUPLICATE_NO_TRANSLATION
73,,,,platform,platformna_postelja
74,,,,sickbed,bolniška_postelja
75,,,,single_bed,enojna_postelja
76,,,,sleigh,DUPLICATE_NO_TRANSLATION
77,,,,trundle,raztegljiva_postelja
78,,,,truckle,pomožna_postelja
79,,,,twin,DUPLICATE_enojna_postelja
80,,,,water,vodna_postelja
81,,,,semi-double,pol_zakonska_postelja
82,,,,semidouble,DUPLICATE_pol_zakonska_postelja
84,L03_4,hyponyms - misc,boat,,čoln
85,,,,ferry,trajekt
86,,,,ark,DUPLICATE_barka
87,,,,barge,barka
88,,,,flatboat,plitva_ladja
89,,,,hoy,DUPLICATE_jadrnica
90,,,,lighter,NO_TRANSLATION
91,,,,bumboat,DUPLICATE_NO_TRANSLATION
92,,,,canal_boat,kanalni_čoln
93,,,,narrow_boat,ozek_čoln
94,,,,narrowboat,DUPLICATE_ozek_čoln
95,,,,ferryboat,DUPLICATE_trajekt
96,,,,fireboat,gasilska_ladja
97,,,,gondola,gondola
98,,,,guard_boat,stražni_čoln
99,,,,gunboat,topovnjača
100,,,,junk,smetarski_čoln
101,,,,longboat,dolgi_čoln
102,,,,lugger,ribiška_jadrnica
103,,,,mackinaw,DUPLICATE_NO_TRANSLATION
104,,,,mailboat,poštni_čoln
105,,,,mail,DUPLICATE_poštni_čoln
106,,,,packet,paketni_čoln
107,,,,motorboat,motorna_ladja
108,,,,powerboat,DUPLICATE_motorna_ladja
109,,,,pilot,DUPLICATE_NO_TRANSLATION
110,,,,police,policijski_čoln
111,,,,punt,punt
112,,,,river_boat,rečni_čoln
113,,,,scow,DUPLICATE_NO_TRANSLATION
114,,,,sea_boat,morski_čoln
115,,,,small_boat,majhen_čoln
116,,,,steamboat,parnik
117,,,,surfboat,DUPLICATE_NO_TRANSLATION
118,,,,tender_boat,pomožni_čoln
119,,,,pinnace,DUPLICATE_NO_TRANSLATION
120,,,,cutter_boat,DUPLICATE_NO_TRANSLATION
121,,,,tugboat,ladijski_vlačilec
122,,,,tug,vlačilec
123,,,,towboat,DUPLICATE_vlačilec
124,,,,tower_boat,čoln_s_stolpom
125,,,,yacht,jahta
126,,,,sail,jadrnica
127,,,,row,ladja_na_vesla
128,,,,canoe,kanu
129,,,,kayak,kajak
130,,,,paddle,veslaška_ladja
131,,,,paddle_boat,DUPLICATE_ladja_na_vesla
133,L03_5,hyponyms - misc,book,,knjiga
134,,,,paperback,mehko_vezana_knjiga
135,,,,album,album
136,,,,folio,folio
137,,,,hardback,trdo_vezana_knjiga
138,,,,hardcover,trda_knjiga
139,,,,journal,dnevnik
140,,,,novel,roman
141,,,,order,knjiga_naročil
142,,,,paper-back,DUPLICATE_mehko_vezana_knjiga
143,,,,softback,mehka_knjiga
144,,,,soft-cover,knjiga_z_mehkimi_platnicami
145,,,,picture,slikanica
146,,,,sketchbook,skicirka
147,,,,sketch,DUPLICATE_skicirka
148,,,,notebook,zvezek
150,L03_6,hyponyms - misc,brush,,krtača
151,,,,toothbrush,zobna_ščetka
152,,,,bottlebrush,ščetka_za_steklenico
153,,,,bristle,ščetina
154,,,,clothesbrush,krtača_za_oblačila
155,,,,hairbrush,krtača_za_lase
156,,,,nailbrush,čopič_za_nohte
157,,,,paintbrush,čopič
158,,,,sable,DUPLICATE_čopič
159,,,,scrub,krtača_za_čiščenje
160,,,,scrubbing,DUPLICATE_krtača_za_čiščenje
161,,,,scrubber,DUPLICATE_krtača_za_čiščenje
162,,,,shaving_brush,čopič_za_britje
164,L03_7,hyponyms - misc,burger,,burger
165,,,,hamburger,hamburger
166,,,,cheeseburger,sirov_burger
167,,,,50,NO_TRANSLATION
168,,,,50_burger,DUPLICATE_NO_TRANSLATION
169,,,,angus_burger,angus_burger
170,,,,banquet_burger,banketni_burger
171,,,,barbecue_burger,žar_burger
172,,,,bøfsandwich,bøfsandwich
173,,,,utter_burge,utter_burge
174,,,,buffalo_burger,buffalo_burger
175,,,,california_burger,kalifornijski_burger
176,,,,chili_burger,čili_burger
177,,,,curry_burger,curry_burger
178,,,,hamdog,hamdog
179,,,,salmon_burger,lososov_burger
180,,,,rice_burger,rižev_burger
181,,,,veggie_burger,veggie_burger
183,L03_8,hyponyms - misc,camera,,kamera
184,,,,camcorder,videokamera
185,,,,box_camera,škatlasta_kamera
186,,,,box_kodak,škatlasti_kodak
187,,,,candid_camera,skrita_kamera
188,,,,digital_camera,digitalni_fotoaparat
189,,,,flash_camera,fotoaparat_s_flešom
190,,,,motion-picture_camera,DUPLICATE_filmska_kamera
191,,,,movie_camera,filmska_kamera
192,,,,cine-camera,kino_kamera
193,,,,point-and-shoot_camera,prenosni_fotoaparat
194,,,,point-and-shoot,DUPLICATE_prenosni_fotoaparat
195,,,,polaroid_camera,polaroidna_kamera
196,,,,polaroid_land_camera,DUPLICATE_polaroidna_kamera
197,,,,polaroid,DUPLICATE_polaroidna_kamera
198,,,,portrait_camera,portretna_kamera
199,,,,reflex_camera,zrcalni_fotoaparat
200,,,,webcam,spletna_kamera
201,,,,webcamera,DUPLICATE_spletna_kamera
202,,,,sound_camera,kamera_z_zvokom
204,L03_9,hyponyms - misc,candy,,sladkarija
205,,,,lollipop,lizika
206,,,,candy_bar,čokoladna_ploščica
207,,,,carob_bar,NO_TRANSLATION
208,,,,hard_candy,trd_bonbon
209,,,,brandyball,sladkarija_z_vinjakom
210,,,,patty,pleskavica
211,,,,bonbon,bonbon
212,,,,brittle,DUPLICATE_NO_TRANSLATION
213,,,,toffee,toffee
214,,,,toffy,toffy
215,,,,butterscotch,DUPLICATE_NO_TRANSLATION
216,,,,candy_cane,sladkorna_palica
217,,,,candy_corn,koruzni_bonbon
218,,,,caramel,karamela
219,,,,cotton_candy,sladkorna_pena
220,,,,spun_sugar,DUPLICATE_NO_TRANSLATION
221,,,,candyfloss,DUPLICATE_sladkorna_pena
222,,,,dragee,dražeje
223,,,,fondant,glazura
224,,,,fudge,DUPLICATE_NO_TRANSLATION
225,,,,gumdrop,DUPLICATE_NO_TRANSLATION
226,,,,honey_crisp,DUPLICATE_NO_TRANSLATION
227,,,,mint,mint
228,,,,mint_candy,bonbon_mint
229,,,,horehound,metin_bonbon
230,,,,jelly_bean,žele_bonbon
231,,,,jelly_egg,žele_jajce
232,,,,kiss,DUPLICATE_NO_TRANSLATION
