,ID,Relation,Source,Target,SL
0,L04_1,meronyms - substance,atmosphere,,atmosfera
1,,,,gas,plin
2,,,,oxygen,kisik
3,,,,hydrogen,vodik
4,,,,nitrogen,dušik
5,,,,ozone,ozon
7,L04_2,meronyms - substance,bag,,torba
8,,,,leather,usnje
9,,,,fabric,tkanina
10,,,,plastic,plastika
12,L04_3,meronyms - substance,beach,,plaža
13,,,,sand,pesek
14,,,,silicon,silicij
15,,,,rocks,skale
16,,,,pebbles,kamenčki
17,,,,atomic_number_14,atomsko_število_14
18,,,,si,DUPLICATE_silicij
20,L04_4,meronyms - substance,beard,,brada
21,,,,hair,lazje
23,L04_5,meronyms - substance,body,,telo
24,,,,flesh,meso
25,,,,bones,kosti
27,L04_6,meronyms - substance,boots,,škornji
28,,,,leather,usnje
29,,,,canvas,platno
31,L04_7,meronyms - substance,bottle,,steklenica
32,,,,glass,kozarec
33,,,,plastic,plastika
35,L04_8,meronyms - substance,bowl,,skleda
36,,,,glass,kozared
37,,,,china,keramika
38,,,,aluminium,aluminij
39,,,,wood,les
40,,,,steel,jeklo
41,,,,plastic,plastika
42,,,,clay,glina
44,L04_9,meronyms - substance,box,,škatla
45,,,,cardboard,karton
46,,,,tin,kositer
47,,,,boxwood,lesena_škatla
48,,,,turkish_boxwood,turška_lesena_škatla
50,L04_10,meronyms - substance,bread,,kruh
51,,,,flour,moka
52,,,,yeast,kvas
54,L04_11,meronyms - substance,bronze,,bron
55,,,,copper,baker
56,,,,tin,kositer
57,,,,cu,DUPLICATE_baker
58,,,,atomic_number_29,atomsko_število_29
60,L04_12,meronyms - substance,candy,,sladkarije
61,,,,sugar,sladkor
62,,,,nougat,lešnik
63,,,,chocolate,čokolada
64,,,,gelatin,želatina
65,,,,molasses,melasa
66,,,,syrup,sirup
67,,,,honey,med
68,,,,fruit,sadje
69,,,,nuts,oreški
71,L04_13,meronyms - substance,chocolate,,čokolada
72,,,,cocoa,kakav
73,,,,bean,fižol
74,,,,cacao,DUPLICATE_kakav
75,,,,cacao_bean,kakavova_zrna
76,,,,cocoa_bean,DUPLICATE_kakavova_zrna
78,L04_14,meronyms - substance,clothing,,oblačila
79,,,,fabric,tkanina
80,,,,leather,usnje
82,L04_15,meronyms - substance,cloud,,oblak
83,,,,vapor,para
84,,,,water,voda
85,,,,vapour,DUPLICATE_para
86,,,,water_vapour,vodna_para
87,,,,water_vapor,DUPLICATE_vodna_para
89,L04_16,meronyms - substance,cocktail,,koktejl
90,,,,alcohol,alkohol
91,,,,juice,sok
92,,,,water,voda
94,L04_17,meronyms - substance,concrete,,beton
95,,,,silicon,silicij
96,,,,cement,cement
97,,,,water,voda
98,,,,sand,pesek
99,,,,atomic_number_14,atomsko_število_14
100,,,,si,DUPLICATE_silicij
102,L04_18,meronyms - substance,desk,,miza
103,,,,wood,les
104,,,,metal,kovina
105,,,,steel,jeklo
107,L04_19,meronyms - substance,diamond,,diamant
108,,,,carbon,ogljik
110,L04_20,meronyms - substance,doorknob,,kljuka
111,,,,metal,kovina
112,,,,steel,jeklo
113,,,,bronze,bron
114,,,,wood,les
116,L04_21,meronyms - substance,flag,,zastava
117,,,,fabric,tkanina
118,,,,paper,papir
120,L04_22,meronyms - substance,glacier,,ledenik
121,,,,ice,led
122,,,,water,voda
123,,,,oxygen,kisik
124,,,,hydrogen,vodik
125,,,,h,h
126,,,,h2o,h20
127,,,,atomic_number_8,atomsko_število_8
128,,,,atomic_number_1,atomsko_število_1
129,,,,o,o
130,,,,water_ice,ledena_voda
132,L04_23,meronyms - substance,glass,,kozarec
133,,,,silicone,silikon
