,ID,Relation,Source,Target,SL
0,L06_1,meronyms - part,academia,,akademija
1,,,,college,fakulteta
2,,,,university,univerza
3,,,,institute,inštitut
5,L06_2,meronyms - part,apartment,,stanovanje
6,,,,bedroom,spalnica
7,,,,room,soba
8,,,,bathroom,kopalnica
9,,,,kitchen,kuhinja
10,,,,kitchenette,majhna_kuhinja
11,,,,living_room,dnevna_soba
12,,,,pantry,shramba
13,,,,toilet,stranišče
14,,,,shower_room,tuš_kabina
16,L06_3,meronyms - part,bird,,ptica
17,,,,feathers,perje
18,,,,plume,DUPLICATE_perje
19,,,,preen,čiščenje_perja
20,,,,croup,krup
21,,,,calamus,votli_tulec
22,,,,fowl,perutnina
23,,,,drumstick,bedro
24,,,,syrinx,sirinks
25,,,,bill,DUPLICATE_kljun
26,,,,rump,zadek
27,,,,vane,kosmača
28,,,,barb,vejica
29,,,,quill,DUPLICATE_pero
30,,,,shaft,tulec
31,,,,pecker,ptica_kljuvalka
32,,,,pennon,krilo
33,,,,feet,noge
34,,,,giblets,drobovje
35,,,,alula,perutnička
36,,,,talon,kremplji
37,,,,foot,stopalo
38,,,,pinion,perut
39,,,,wing,DUPLICATE_krilo
40,,,,wishbone,ključnica
41,,,,nib,kljun
42,,,,sac,vrečka
43,,,,giblet,perutninsko_drobovje
44,,,,furcula,furkula
45,,,,bird,ptica
46,,,,neb,DUPLICATE_kljun
47,,,,feather,pero
48,,,,gland,žleza
49,,,,oyster,ostrigar
50,,,,thigh,stegno
51,,,,plumage,DUPLICATE_perje
52,,,,web,mreža
53,,,,hindquarters,DUPLICATE_zadek
54,,,,beak,DUPLICATE_kljun
55,,,,parson's_nose,NO_TRANSLATION
56,,,,wishing_bone,DUPLICATE_ključnica
57,,,,pope's_nose,DUPLICATE_NO_TRANSLATION
59,,,,bastard_wing,alula
60,,,,croupe,jurica
61,,,,air_sac,zračna_vreča
62,,,,quill_feather,pisalno_pero
64,,,,bird's_foot,ptičja_noga
67,,,,uropygial_gland,uropiginalna_žleza
68,,,,preen_gland,DUPLICATE_uropiginalna_žleza
69,,,,flight_feather,letalna_peresa
70,,,,dark_meat,temno_meso
72,L06_4,meronyms - part,brush,,krtača
73,,,,bristle,ščetina
74,,,,hold,držalo
75,,,,shank,krožna_krtača
76,,,,grip,DUPLICATE_držalo
77,,,,handgrip,DUPLICATE_ročaj
78,,,,handle,ročaj
79,,,,head,glava
80,,,,stem,steblo
82,L06_5,meronyms - part,bus,,avtobus
83,,,,seats,sedeži
84,,,,conductor,sprevodnik
85,,,,window,okno
86,,,,driver,voznik
87,,,,roof,streha
89,L06_6,meronyms - part,byte,,bajt
90,,,,bit,bit
92,L06_7,meronyms - part,car,,avtomobil
93,,,,engine,motor
94,,,,armrest,naslonjalo_za_roke
95,,,,headrest,naslonjalo_za_glavo
96,,,,grille,rešetka
97,,,,hinge,tečaj
98,,,,tailpipe,izpušna_cev
99,,,,suspension,vzmetenje
100,,,,hood,pokrov_motorja
101,,,,horn,hupa
102,,,,hooter,troblja
103,,,,petrol,gorivo
104,,,,pintle,kljuka
105,,,,trunk,prtljažnik
106,,,,floorboard,talna_obloga
107,,,,bar,drog
108,,,,gas,plin
109,,,,buffer,loščilnik
110,,,,door,vrata
111,,,,stabilizer,stabilizator
112,,,,seat,sedež
113,,,,window,okno
114,,,,exhaust,izpuh
115,,,,tailfin,NO_TRANSLATION
116,,,,back,zadek
117,,,,luggage,prtljaga
118,,,,pedal,pedal
119,,,,cowling,DUPLICATE_pokrov_motorja
120,,,,seatbelt,varnostni_pas
121,,,,high,visok
122,,,,wing,spoiler
123,,,,gasoline,bencin
124,,,,fin,DUPLICATE_NO_TRANSLATION
125,,,,cowl,pokrov
126,,,,silencer,dušilec
127,,,,gun,pištola
128,,,,compartment,predal
129,,,,rear,DUPLICATE_zadek
130,,,,radiator,hladilnik
131,,,,accessory,dodatna_oprema
132,,,,sunroof,strešno_okno
133,,,,roof,streha
134,,,,lights,luči
135,,,,bumper,odbijač
136,,,,glove,rokavica
137,,,,bag,torba
138,,,,cushion,blazina
139,,,,backrest,naslonjalo
140,,,,accelerator,pedal_za_plin
141,,,,fender,blatnik
142,,,,third,tretja
143,,,,throttle,DUPLICATE_plin
144,,,,bonnet,DUPLICATE_pokrov_motorja
145,,,,air,zrak
146,,,,gear,prestava
147,,,,muffler,dušilec_zvoka
148,,,,mirror,okledalo
149,,,,shock,DUPLICATE_amortizer
150,,,,reverse,vzvratno
151,,,,anti-sway_bar,prečni_stabilizator
152,,,,tail_fin,DUPLICATE_NO_TRANSLATION
153,,,,accelerator_pedal,DUPLICATE_pedal_za_plin
154,,,,car_seat,avtomobilski_sedež
