,ID,Relation,Source,Target,SL
0,L09_1,antonyms - gradable,able,,zmožen
1,,,,unable,nezmožen
2,,,,incapable,nesposoben
3,,,,incompetent,nekompetenten
4,,,,unequal,neenak
6,L09_2,antonyms - gradable,abundant,,obilno
7,,,,scarce,redko
8,,,,rare,DUPLICATE_redko
9,,,,tight,tesno
10,,,,meager,skromen
11,,,,meagre,DUPLICATE_skromen
12,,,,meagerly,skromno
13,,,,stingy,skopo
14,,,,scrimpy,DUPLICATE_skromno
15,,,,insufficient,nezadostno
16,,,,deficient,pomanjkljivo
18,L09_3,antonyms - gradable,aware,,zavedajoče
19,,,,unaware,nezavedajoče
20,,,,oblivious,pozabljivo
21,,,,unmindful,nepozorno
22,,,,unconscious,nezavestno
23,,,,unsuspecting,nesumljivo
24,,,,asleep,zaspano
25,,,,insensible,neobčutljivo
26,,,,unwitting,neželeno
27,,,,ignorant,ignorantsko
28,,,,indifferent,indiferentno
30,L09_4,antonyms - gradable,beautiful,,lepo
31,,,,ugly,grdo
32,,,,disfigured,iznakaženo
33,,,,evil-looking,zlo_izgledajoče
34,,,,fugly,neprivlačno
35,,,,grotesque,groteskno
36,,,,monstrous,pošastno
37,,,,hideous,ostudno
38,,,,repulsive,odbijajoče
39,,,,ill-favored,nenaklonjeno
40,,,,ill-favoured,DUPLICATE_nenaklonjeno
41,,,,scrofulous,škrofulozno
42,,,,unlovely,neljubo
43,,,,unpicturesque,neslikovito
44,,,,unsightly,nevideno
45,,,,displeasing,nezadovoljivo
46,,,,unattractive,DUPLICATE_neprivlačno
47,,,,awkward,čudno
49,L09_5,antonyms - gradable,big,,veliko
50,,,,small,majhno
51,,,,atomic,atomsko
52,,,,subatomic,podatomsko
53,,,,bantam,bantam
54,,,,diminutive,manjšalnica
55,,,,lilliputian,liliputanec
56,,,,midget,pritlikavec
57,,,,petite,drobno
58,,,,tiny,DUPLICATE_majhno
59,,,,flyspeck,pikica
60,,,,bitty,mičken
61,,,,bittie,DUPLICATE_mičken
62,,,,teensy,majčken
63,,,,teentsy,DUPLICATE_majčken
64,,,,teeny,DUPLICATE_majčken
65,,,,wee,DUPLICATE_majhen
66,,,,weeny,DUPLICATE_majhen
67,,,,weensy,DUPLICATE_majhen
68,,,,teensy-weensy,DUPLICATE_majčken
69,,,,teeny-weeny,DUPLICATE_majčken
70,,,,itty-bitty,čisto_malo
71,,,,itsy-bitsy,čisto_majčken
72,,,,dinky,ušiv
73,,,,dwarfish,škratji
74,,,,elfin,vilinski
75,,,,elflike,DUPLICATE_vilinski
76,,,,gnomish,palčkast
77,,,,half-size,polovični
78,,,,infinitesimal,infinitezimalni
79,,,,minute,minuta
80,,,,lesser,DUPLICATE_manjšalnica
81,,,,microscopic,mikroskopsko
82,,,,microscopical,DUPLICATE_mikroskopsko
83,,,,micro,mikro
84,,,,miniature,miniaturno
85,,,,minuscule,neznaten
86,,,,miniscule,DUPLICATE_neznaten
87,,,,olive-sized,velik_kot_oliva
88,,,,pocket-size,žepna_velikost
89,,,,pocket-sized,DUPLICATE_žepna_velikost
90,,,,pocketable,žepno
91,,,,puny,slabo
92,,,,runty,tečen
93,,,,shrimpy,NO_TRANSLATION
94,,,,slender,suhcen
95,,,,slim,suh
96,,,,smaller,manjši
97,,,,littler,drobnejši
98,,,,smallish,malo_manjši
99,,,,small-scale,na_majhnem_nivoju
100,,,,undersize,narediti_premajhno
101,,,,undersized,premajhno
102,,,,,"ničvreden,drobižast,majcen,nepomemben,nezahteven,piškav"
103,L09_6,antonyms - gradable,bright,,svetlo
104,,,,pale,bledo
105,,,,colorless,brezbarvno
106,,,,colourless,DUPLICATE_brezbarvno
107,,,,dull,dolgočasno
108,,,,neutral,nevtralno
109,,,,white,belo
110,,,,bleached,sprano
111,,,,faded,zbledelo
112,,,,washed-out,izprano
113,,,,washy,prano
114,,,,drab,sivo
115,,,,somber,mračno
116,,,,sombre,DUPLICATE_mračno
117,,,,dulled,otopelo
118,,,,greyed,posivelo
119,,,,etiolate,etiolacija
120,,,,etiolated,etioliran
121,,,,lurid,strašen
122,,,,waxen,voščen
123,,,,waxlike,kot_iz_voska
124,,,,waxy,voščast
125,,,,whitened,pobeljen
127,L09_7,antonyms - gradable,cheap,,poceni
128,,,,expensive,drago
129,,,,big-ticket,velik_nakup
130,,,,high-ticket,DUPLICATE_velik_nakup
131,,,,costly,DUPLICATE_drago
132,,,,dear,dragi
133,,,,high-priced,visoko_cenjen
134,,,,pricey,dragoceno
135,,,,pricy,DUPLICATE_dragoceno
136,,,,dearly-won,težko_dobljen
137,,,,overpriced,predrag
138,,,,valuable,vreden
140,L09_8,antonyms - gradable,clean,,čisto
141,,,,dirty,umazano
142,,,,soiled,zapacano
143,,,,unclean,nečisto
144,,,,augean,NO_TRANSLATION
145,,,,bedraggled,raztrgan
146,,,,draggled,razvlečeno
147,,,,befouled,oskrunjeno
148,,,,fouled,DUPLICATE_umazano
149,,,,begrimed,DUPLICATE_blatno
150,,,,dingy,DUPLICATE_umazano
151,,,,grimy,DUPLICATE_umazano
152,,,,grubby,DUPLICATE_umazano
153,,,,grungy,DUPLICATE_umazano
154,,,,raunchy,vulgarno
155,,,,black,črno
156,,,,smutty,obsceno
157,,,,buggy,poseljeno_s_hrošči
158,,,,cobwebby,pajčevinasto
159,,,,dirty-faced,umazan_obraz
160,,,,feculent,blatno
161,,,,filthy,svinjsko
162,,,,foul,pokvarjeno
163,,,,nasty,grdo
164,,,,flyblown,muhasto_rjavo
165,,,,squalid,ubogi
166,,,,sordid,DUPLICATE_pokvarjeno
167,,,,greasy,zamaščeno
168,,,,oily,oljnato
