,Language,a,b,c,d,prompts
0,EN,falcon,bird,turkey,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'domestic_fowl', 'animate_being', 'gallinaceous_bird', 'craniate', 'gallinacean', 'living_thing']","""falcon"" is to ""bird"" as ""turkey"" is to "
1,EN,buffalo,vertebrate,tiger,"['feline', 'cat', 'beast', 'animal', 'organism', 'fauna', 'placental', 'carnivore', 'chordate', 'eutherian', 'mammal', 'mammalian', 'animate_being', 'placental_mammal', 'craniate', 'big_cat', 'Felidae']","""buffalo"" is to ""vertebrate"" as ""tiger"" is to "
2,EN,butterfly,insect,turkey,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'domestic_fowl', 'animate_being', 'gallinaceous_bird', 'craniate', 'gallinacean', 'living_thing']","""butterfly"" is to ""insect"" as ""turkey"" is to "
3,EN,pony,organism,cockroach,"['insect', 'invertebrate', 'creature', 'beast', 'dictyopterous_insect', 'being', 'animal', 'organism', 'fauna', 'arthropod', 'animate_being', 'physical_entity', 'living_thing']","""pony"" is to ""organism"" as ""cockroach"" is to "
4,EN,duck,waterfowl,goat,"['bovid', 'mammal', 'vertebrate', 'ungulate', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'artiodactyl', 'chordate', 'eutherian', 'mammalian', 'animate_being', 'placental_mammal', 'craniate', 'hoofed_mammal', 'even-toed_ungulate', 'artiodactyl_mammal', 'living_thing']","""duck"" is to ""waterfowl"" as ""goat"" is to "
5,EN,jackal,domesticated_animal,buffalo,"['bovid', 'mammal', 'bison', 'cow', 'vertebrate', 'creature', 'ungulate', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'artiodactyl', 'ruminant', 'chordate', 'eutherian', 'mammalian', 'bovine', 'animate_being', 'placental_mammal', 'craniate', 'physical_hoofed_mammal', 'physical_entity', 'even-toed_ungulate', 'artiodactyl_mammal', 'living_thing']","""jackal"" is to ""domesticated_animal"" as ""buffalo"" is to "
6,EN,ant,insect,ant,"['insect', 'invertebrate', 'creature', 'beast', 'hymenopteran', 'being', 'animal', 'organism', 'fauna', 'arthropod', 'hymenopterous_insect', 'animate_being', 'physical_hymenopteron', 'physical_entity', 'hymenopter', 'living_thing']","""ant"" is to ""insect"" as ""ant"" is to "
7,EN,cat,organism,squirrel,"['rodent', 'vertebrate', 'creature', 'beast', 'animal', 'organism', 'fauna', 'placental', 'chordate', 'eutherian', 'mammal', 'mammalian', 'gnawer', 'animate_being', 'living_thing', 'placental_mammal', 'craniate']","""cat"" is to ""organism"" as ""squirrel"" is to "
8,EN,jackal,physical_entity,eagle,"['raptor', 'bird', 'vertebrate', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'animate_being', 'craniate', 'bird_of_prey', 'living_thing']","""jackal"" is to ""physical_entity"" as ""eagle"" is to "
9,EN,tiger,organism,duck,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'domestic_fowl', 'waterfowl', 'animate_being', 'anseriform_bird', 'craniate', 'living_thing']","""tiger"" is to ""organism"" as ""duck"" is to "
