,Language,a,b,c,d,prompts
0,EN,pastry,egg,bread,"['flour', 'yeast']","""pastry"" is to ""egg"" as ""bread"" is to "
1,EN,table,metal,icicle,"['ice', 'water']","""table"" is to ""metal"" as ""icicle"" is to "
2,EN,doorknob,wood,money,"['paper', 'metal', 'silver', 'gold', 'iron', 'copper', 'tin']","""doorknob"" is to ""wood"" as ""money"" is to "
3,EN,penny,copper,doorknob,"['metal', 'steel', 'bronze', 'wood']","""penny"" is to ""copper"" as ""doorknob"" is to "
4,EN,concrete,sand,chocolate,"['cocoa', 'bean', 'cacao_bean', 'cocoa_bean']","""concrete"" is to ""sand"" as ""chocolate"" is to "
5,EN,roof,shingles,candy,"['sugar', 'nougat', 'chocolate', 'gelatin', 'molasses', 'syrup', 'honey', 'fruit', 'nuts']","""roof"" is to ""shingles"" as ""candy"" is to "
6,EN,sea,water,icicle,"['ice', 'water']","""sea"" is to ""water"" as ""icicle"" is to "
7,EN,cloud,vapor,wall,"['cement', 'bricks', 'stones', 'rocks', 'wood', 'cardboard', 'board', 'plank', 'clay', 'mud']","""cloud"" is to ""vapor"" as ""wall"" is to "
8,EN,money,copper,water,"['oxygen', 'hydrogen', 'h2o', 'atomic_number_1', 'atomic_number_8', 'h', 'o']","""money"" is to ""copper"" as ""water"" is to "
9,EN,plastic,coal,wine,"['grapes', 'grape']","""plastic"" is to ""coal"" as ""wine"" is to "
10,EN,bronze,copper,icicle,"['ice', 'water']","""bronze"" is to ""copper"" as ""icicle"" is to "
11,EN,beard,hair,icicle,"['ice', 'water']","""beard"" is to ""hair"" as ""icicle"" is to "
12,EN,penny,nickel,water,"['oxygen', 'hydrogen', 'h2o', 'atomic_number_1', 'atomic_number_8', 'h', 'o']","""penny"" is to ""nickel"" as ""water"" is to "
13,EN,wall,clay,money,"['paper', 'metal', 'silver', 'gold', 'iron', 'copper', 'tin']","""wall"" is to ""clay"" as ""money"" is to "
14,EN,beach,pebbles,table,"['wood', 'metal', 'plastic']","""beach"" is to ""pebbles"" as ""table"" is to "
15,EN,candy,fruit,plastic,"['polymer', 'oil', 'gas', 'coal']","""candy"" is to ""fruit"" as ""plastic"" is to "
16,EN,snow,hydrogen,snow,"['water', 'oxygen', 'hydrogen', 'flake', 'ice', 'snowflake', 'snowflakes', 'h2o', 'atomic_number_1', 'atomic_number_8', 'h', 'o']","""snow"" is to ""hydrogen"" as ""snow"" is to "
17,EN,omelette,eggs,beach,"['sand', 'silicon', 'rocks', 'pebbles', 'atomic_number_14']","""omelette"" is to ""eggs"" as ""beach"" is to "
18,EN,snow,ice,penny,"['metal', 'alloy', 'bronze', 'nickel', 'zinc', 'copper', 'tin']","""snow"" is to ""ice"" as ""penny"" is to "
19,EN,atmosphere,gas,wall,"['cement', 'bricks', 'stones', 'rocks', 'wood', 'cardboard', 'board', 'plank', 'clay', 'mud']","""atmosphere"" is to ""gas"" as ""wall"" is to "
20,EN,candy,molasses,money,"['paper', 'metal', 'silver', 'gold', 'iron', 'copper', 'tin']","""candy"" is to ""molasses"" as ""money"" is to "
21,EN,bottle,plastic,spoon,"['aluminium', 'wood', 'steel']","""bottle"" is to ""plastic"" as ""spoon"" is to "
22,EN,ice,oxygen,ice,"['water', 'oxygen', 'hydrogen', 'h2o', 'atomic_number_1', 'atomic_number_8', 'h', 'o']","""ice"" is to ""oxygen"" as ""ice"" is to "
23,EN,bag,leather,ice,"['water', 'oxygen', 'hydrogen', 'h2o', 'atomic_number_1', 'atomic_number_8', 'h', 'o']","""bag"" is to ""leather"" as ""ice"" is to "
24,EN,roof,metal,bowl,"['glass', 'china', 'aluminium', 'wood', 'steel', 'plastic', 'clay']","""roof"" is to ""metal"" as ""bowl"" is to "
25,EN,desk,metal,doorknob,"['metal', 'steel', 'bronze', 'wood']","""desk"" is to ""metal"" as ""doorknob"" is to "
26,EN,plastic,gas,beach,"['sand', 'silicon', 'rocks', 'pebbles', 'atomic_number_14']","""plastic"" is to ""gas"" as ""beach"" is to "
27,EN,steel,carbon,chocolate,"['cocoa', 'bean', 'cacao_bean', 'cocoa_bean']","""steel"" is to ""carbon"" as ""chocolate"" is to "
28,EN,house,bricks,concrete,"['silicon', 'cement', 'water', 'sand', 'atomic_number_14', 'si']","""house"" is to ""bricks"" as ""concrete"" is to "
29,EN,house,clay,atmosphere,"['gas', 'oxygen', 'hydrogen', 'nitrogen', 'ozone']","""house"" is to ""clay"" as ""atmosphere"" is to "
30,SL,pecivo,jajce,kruh,"['moka', 'kvas']","Beseda ""pecivo"" je besedi ""jajce"" enako, kot je beseda ""kruh"" besedi "
31,SL,miza,kovina,ledena_sveča,"['led', 'voda']","Beseda ""miza"" je besedi ""kovina"" enako, kot je beseda ""ledena_sveča"" besedi "
32,SL,kljuka,les,denar,"['papir', 'jeklo', 'srebro', 'zlato', 'železo', 'baker', 'kositer']","Beseda ""kljuka"" je besedi ""les"" enako, kot je beseda ""denar"" besedi "
33,SL,peni,baker,kljuka,"['kovina', 'jeklo', 'bron', 'les']","Beseda ""peni"" je besedi ""baker"" enako, kot je beseda ""kljuka"" besedi "
34,SL,beton,pesek,čokolada,"['kakav', 'fižol', 'kakavova_zrna']","Beseda ""beton"" je besedi ""pesek"" enako, kot je beseda ""čokolada"" besedi "
35,SL,streha,skodle,sladkarije,"['sladkor', 'lešnik', 'čokolada', 'želatina', 'melasa', 'sirup', 'med', 'sadje', 'oreški']","Beseda ""streha"" je besedi ""skodle"" enako, kot je beseda ""sladkarije"" besedi "
36,SL,morje,voda,ledena_sveča,"['led', 'voda']","Beseda ""morje"" je besedi ""voda"" enako, kot je beseda ""ledena_sveča"" besedi "
37,SL,oblak,para,zid,"['cement', 'opeke', 'kamni', 'skale', 'les', 'karton', 'deska', 'glina', 'blato']","Beseda ""oblak"" je besedi ""para"" enako, kot je beseda ""zid"" besedi "
38,SL,denar,baker,voda,"['kisik', 'vodik', 'voda', 'h2o', 'atomsko_število_1', 'atomsko_število_8', 'h', 'o']","Beseda ""denar"" je besedi ""baker"" enako, kot je beseda ""voda"" besedi "
39,SL,plastika,premog,vino,['grozdje'],"Beseda ""plastika"" je besedi ""premog"" enako, kot je beseda ""vino"" besedi "
