,Language,a,b,c,d,prompts
0,EN,colorful,neutral,decisive,"['hesitating', 'indecisive', 'hesitant', 'inconclusive', 'irresolute']","""colorful"" is to ""neutral"" as ""decisive"" is to "
1,EN,aware,indifferent,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""aware"" is to ""indifferent"" as ""colorful"" is to "
2,EN,concerned,casual,concerned,"['unconcerned', 'blase', 'blithe', 'casual', 'nonchalant', 'degage', 'detached', 'uninvolved', 'indifferent', 'careless', 'untroubled']","""concerned"" is to ""casual"" as ""concerned"" is to "
3,EN,colorful,somber,beautiful,"['ugly', 'disfigured', 'evil-looking', 'fugly', 'grotesque', 'monstrous', 'hideous', 'repulsive', 'scrofulous', 'unlovely', 'unpicturesque', 'unsightly', 'displeasing', 'unattractive', 'awkward']","""colorful"" is to ""somber"" as ""beautiful"" is to "
4,EN,decisive,indecisive,competent,"['incompetent', 'unskilled', 'unqualified', 'inefficient']","""decisive"" is to ""indecisive"" as ""competent"" is to "
5,EN,colorful,white,decisive,"['hesitating', 'indecisive', 'hesitant', 'inconclusive', 'irresolute']","""colorful"" is to ""white"" as ""decisive"" is to "
6,EN,abundant,deficient,cooked,"['raw', 'half-baked', 'fresh', 'natural', 'underdone', 'uncooked', 'untoasted']","""abundant"" is to ""deficient"" as ""cooked"" is to "
7,EN,able,unable,common,"['rare', 'infrequent', 'scarce', 'uncommon', 'extraordinary']","""able"" is to ""unable"" as ""common"" is to "
8,EN,beautiful,ugly,concerned,"['unconcerned', 'blase', 'blithe', 'casual', 'nonchalant', 'degage', 'detached', 'uninvolved', 'indifferent', 'careless', 'untroubled']","""beautiful"" is to ""ugly"" as ""concerned"" is to "
9,EN,dangerous,safe,beautiful,"['ugly', 'disfigured', 'evil-looking', 'fugly', 'grotesque', 'monstrous', 'hideous', 'repulsive', 'scrofulous', 'unlovely', 'unpicturesque', 'unsightly', 'displeasing', 'unattractive', 'awkward']","""dangerous"" is to ""safe"" as ""beautiful"" is to "
10,EN,dangerous,safe,dangerous,"['safe', 'fail-safe', 'risk-free', 'riskless', 'unhazardous', 'safe-and-sound', 'unhurt', 'harmless', 'invulnerable', 'secure', 'uninjured']","""dangerous"" is to ""safe"" as ""dangerous"" is to "
11,EN,colorful,bleached,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""colorful"" is to ""bleached"" as ""colorful"" is to "
12,EN,decisive,hesitating,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""decisive"" is to ""hesitating"" as ""colorful"" is to "
13,EN,colorful,colorless,competent,"['incompetent', 'unskilled', 'unqualified', 'inefficient']","""colorful"" is to ""colorless"" as ""competent"" is to "
14,EN,colorful,bleached,abundant,"['scarce', 'rare', 'tight', 'meager', 'meagre', 'stingy', 'scrimpy', 'insufficient', 'deficient']","""colorful"" is to ""bleached"" as ""abundant"" is to "
15,EN,beautiful,unlovely,competent,"['incompetent', 'unskilled', 'unqualified', 'inefficient']","""beautiful"" is to ""unlovely"" as ""competent"" is to "
16,EN,beautiful,repulsive,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""beautiful"" is to ""repulsive"" as ""colorful"" is to "
17,EN,decisive,hesitating,clear,"['vague', 'obscure', 'unclear', 'undefined', 'indefinable', 'undefinable']","""decisive"" is to ""hesitating"" as ""clear"" is to "
18,EN,colorful,bleached,dangerous,"['safe', 'fail-safe', 'risk-free', 'riskless', 'unhazardous', 'safe-and-sound', 'unhurt', 'harmless', 'invulnerable', 'secure', 'uninjured']","""colorful"" is to ""bleached"" as ""dangerous"" is to "
19,EN,colorful,white,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""colorful"" is to ""white"" as ""colorful"" is to "
20,EN,aware,indifferent,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""aware"" is to ""indifferent"" as ""colorful"" is to "
21,EN,abundant,tight,beautiful,"['ugly', 'disfigured', 'evil-looking', 'fugly', 'grotesque', 'monstrous', 'hideous', 'repulsive', 'scrofulous', 'unlovely', 'unpicturesque', 'unsightly', 'displeasing', 'unattractive', 'awkward']","""abundant"" is to ""tight"" as ""beautiful"" is to "
22,EN,cooked,half-baked,decisive,"['hesitating', 'indecisive', 'hesitant', 'inconclusive', 'irresolute']","""cooked"" is to ""half-baked"" as ""decisive"" is to "
23,EN,colorful,neutral,abundant,"['scarce', 'rare', 'tight', 'meager', 'meagre', 'stingy', 'scrimpy', 'insufficient', 'deficient']","""colorful"" is to ""neutral"" as ""abundant"" is to "
24,EN,competent,incompetent,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""competent"" is to ""incompetent"" as ""colorful"" is to "
25,EN,beautiful,ugly,colorful,"['colorless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed-out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']","""beautiful"" is to ""ugly"" as ""colorful"" is to "
26,EN,aware,indifferent,competent,"['incompetent', 'unskilled', 'unqualified', 'inefficient']","""aware"" is to ""indifferent"" as ""competent"" is to "
27,EN,clear,undefined,able,"['unable', 'incapable', 'incompetent', 'unequal']","""clear"" is to ""undefined"" as ""able"" is to "
28,EN,common,rare,concerned,"['unconcerned', 'blase', 'blithe', 'casual', 'nonchalant', 'degage', 'detached', 'uninvolved', 'indifferent', 'careless', 'untroubled']","""common"" is to ""rare"" as ""concerned"" is to "
29,EN,cooked,half-baked,clear,"['vague', 'obscure', 'unclear', 'undefined', 'indefinable', 'undefinable']","""cooked"" is to ""half-baked"" as ""clear"" is to "
30,SL,barvito,nevtralno,odločno,"['obotavljajoče', 'neodločno', 'odlašajoče', 'nezaključno', 'nerešljivo']","Beseda ""barvito"" je besedi ""nevtralno"" enako, kot je beseda ""odločno"" besedi "
31,SL,zavedajoče,indiferentno,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""zavedajoče"" je besedi ""indiferentno"" enako, kot je beseda ""barvito"" besedi "
32,SL,zaskrbljen,brezbrižen,zaskrbljen,"['nezaskrbljen', 'posveten', 'brezskrben', 'brezbrižen', 'malobrižen', 'nonšalantno', 'ravnodušen', 'odsoten', 'nevključen', 'indiferenten', 'nepazljiv', 'neobremenjen']","Beseda ""zaskrbljen"" je besedi ""brezbrižen"" enako, kot je beseda ""zaskrbljen"" besedi "
33,SL,barvito,mračno,lepo,"['grdo', 'iznakaženo', 'zlo_izgledajoče', 'neprivlačno', 'groteskno', 'pošastno', 'ostudno', 'odbijajoče', 'nenaklonjeno', 'škrofulozno', 'neljubo', 'neslikovito', 'nevideno', 'nezadovoljivo', 'čudno']","Beseda ""barvito"" je besedi ""mračno"" enako, kot je beseda ""lepo"" besedi "
34,SL,odločno,neodločno,kompetenten,"['nekompetenten', 'nevešč', 'nekvalificiran', 'neučinkovid']","Beseda ""odločno"" je besedi ""neodločno"" enako, kot je beseda ""kompetenten"" besedi "
35,SL,barvito,belo,odločno,"['obotavljajoče', 'neodločno', 'odlašajoče', 'nezaključno', 'nerešljivo']","Beseda ""barvito"" je besedi ""belo"" enako, kot je beseda ""odločno"" besedi "
36,SL,obilno,pomanjkljivo,kuhano,"['surovo', 'polpečeno', 'zveže', 'naravno', 'nekončano', 'nekuhano']","Beseda ""obilno"" je besedi ""pomanjkljivo"" enako, kot je beseda ""kuhano"" besedi "
37,SL,zmožen,nezmožen,običajno,"['redko', 'nepogosto', 'neobičajno', 'izredno']","Beseda ""zmožen"" je besedi ""nezmožen"" enako, kot je beseda ""običajno"" besedi "
38,SL,lepo,grdo,zaskrbljen,"['nezaskrbljen', 'posveten', 'brezskrben', 'brezbrižen', 'malobrižen', 'nonšalantno', 'ravnodušen', 'odsoten', 'nevključen', 'indiferenten', 'nepazljiv', 'neobremenjen']","Beseda ""lepo"" je besedi ""grdo"" enako, kot je beseda ""zaskrbljen"" besedi "
39,SL,nevarno,varno,lepo,"['grdo', 'iznakaženo', 'zlo_izgledajoče', 'neprivlačno', 'groteskno', 'pošastno', 'ostudno', 'odbijajoče', 'nenaklonjeno', 'škrofulozno', 'neljubo', 'neslikovito', 'nevideno', 'nezadovoljivo', 'čudno']","Beseda ""nevarno"" je besedi ""varno"" enako, kot je beseda ""lepo"" besedi "
40,SL,nevarno,varno,nevarno,"['varno', 'odporno', 'brez_tveganja', 'nenevarno', 'varno_in_ustrezno', 'nepoškodovano', 'neškodljivo', 'neranljivo']","Beseda ""nevarno"" je besedi ""varno"" enako, kot je beseda ""nevarno"" besedi "
41,SL,barvito,pobeljeno,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""barvito"" je besedi ""pobeljeno"" enako, kot je beseda ""barvito"" besedi "
42,SL,odločno,obotavljajoče,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""odločno"" je besedi ""obotavljajoče"" enako, kot je beseda ""barvito"" besedi "
43,SL,barvito,brezbarvno,kompetenten,"['nekompetenten', 'nevešč', 'nekvalificiran', 'neučinkovid']","Beseda ""barvito"" je besedi ""brezbarvno"" enako, kot je beseda ""kompetenten"" besedi "
44,SL,barvito,pobeljeno,obilno,"['redko', 'tesno', 'skromen', 'skromno', 'skopo', 'nezadostno', 'pomanjkljivo']","Beseda ""barvito"" je besedi ""pobeljeno"" enako, kot je beseda ""obilno"" besedi "
45,SL,lepo,neljubo,kompetenten,"['nekompetenten', 'nevešč', 'nekvalificiran', 'neučinkovid']","Beseda ""lepo"" je besedi ""neljubo"" enako, kot je beseda ""kompetenten"" besedi "
46,SL,lepo,odbijajoče,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""lepo"" je besedi ""odbijajoče"" enako, kot je beseda ""barvito"" besedi "
47,SL,odločno,obotavljajoče,jasno,"['dvomljivo', 'obskurno', 'nejasno', 'nedoločljivo', 'neenolično', 'nedoločno']","Beseda ""odločno"" je besedi ""obotavljajoče"" enako, kot je beseda ""jasno"" besedi "
48,SL,barvito,pobeljeno,nevarno,"['varno', 'odporno', 'brez_tveganja', 'nenevarno', 'varno_in_ustrezno', 'nepoškodovano', 'neškodljivo', 'neranljivo']","Beseda ""barvito"" je besedi ""pobeljeno"" enako, kot je beseda ""nevarno"" besedi "
49,SL,barvito,belo,barvito,"['brezbarvno', 'dolgočasno', 'nevtralno', 'bledo', 'belo', 'pobeljeno', 'zbledelo', 'izprano', 'zaprano', 'drap', 'mračno', 'otožen', 'otopel', 'osivelo', 'obledel', 'grozljiv', 'povoskano', 'kot_povoskano', 'voskasto']","Beseda ""barvito"" je besedi ""belo"" enako, kot je beseda ""barvito"" besedi "
