,Language,a,b,c,d,prompts
0,EN,beginning,end,forget,"['remember', 'retrieve', 'recall', 'call_back', 'call_up', 'recollect']","""beginning"" is to ""end"" as ""forget"" is to "
1,EN,toward,away,interior,"['exterior', 'outdoor', 'out-of-door', 'outside']","""toward"" is to ""away"" as ""interior"" is to "
2,EN,uphill,downhill,below,"['above', 'higher', 'up']","""uphill"" is to ""downhill"" as ""below"" is to "
3,EN,mortal,immortal,uphill,"['downhill', 'decline', 'fall', 'declivitous', 'downward-sloping']","""mortal"" is to ""immortal"" as ""uphill"" is to "
4,EN,first,last,forward,"['backward', 'back', 'backwards', 'rearward']","""first"" is to ""last"" as ""forward"" is to "
5,EN,inside,outside,ahead,"['behind', 'rear', 'after', 'tail', 'beforehand']","""inside"" is to ""outside"" as ""ahead"" is to "
6,EN,forget,remember,before,"['after', 'subsequently', 'later', 'afterwards', 'ahead']","""forget"" is to ""remember"" as ""before"" is to "
7,EN,employ,dismiss,True,"['False', 'incorrect', 'mistaken']","""employ"" is to ""dismiss"" as ""True"" is to "
8,EN,drop,pick_up,submerge,['emerge'],"""drop"" is to ""pick_up"" as ""submerge"" is to "
9,EN,beginning,conclusion,employ,"['dismiss', 'fire', 'sack', 'displace', 'terminate']","""beginning"" is to ""conclusion"" as ""employ"" is to "
10,EN,proceed,return,interior,"['exterior', 'outdoor', 'out-of-door', 'outside']","""proceed"" is to ""return"" as ""interior"" is to "
11,EN,off,on,dynamic,"['static', 'still', 'unmoving', 'unchanging']","""off"" is to ""on"" as ""dynamic"" is to "
12,EN,employ,terminate,ahead,"['behind', 'rear', 'after', 'tail', 'beforehand']","""employ"" is to ""terminate"" as ""ahead"" is to "
13,EN,mortal,immortal,submerge,['emerge'],"""mortal"" is to ""immortal"" as ""submerge"" is to "
14,EN,uphill,downhill,inside,"['outside', 'exterior', 'out']","""uphill"" is to ""downhill"" as ""inside"" is to "
15,EN,first,last,mortal,['immortal'],"""first"" is to ""last"" as ""mortal"" is to "
16,EN,forget,remember,dynamic,"['static', 'still', 'unmoving', 'unchanging']","""forget"" is to ""remember"" as ""dynamic"" is to "
17,EN,inside,outside,uphill,"['downhill', 'decline', 'fall', 'declivitous', 'downward-sloping']","""inside"" is to ""outside"" as ""uphill"" is to "
18,EN,submerge,emerge,employ,"['dismiss', 'fire', 'sack', 'displace', 'terminate']","""submerge"" is to ""emerge"" as ""employ"" is to "
19,EN,forget,remember,ahead,"['behind', 'rear', 'after', 'tail', 'beforehand']","""forget"" is to ""remember"" as ""ahead"" is to "
20,EN,ahead,rear,after,"['before', 'earlier', 'previously']","""ahead"" is to ""rear"" as ""after"" is to "
21,EN,dynamic,unchanging,beginning,"['end', 'terminal', 'ending', 'last', 'final', 'finish', 'finale', 'conclusion']","""dynamic"" is to ""unchanging"" as ""beginning"" is to "
22,EN,up,down,True,"['False', 'incorrect', 'mistaken']","""up"" is to ""down"" as ""True"" is to "
23,EN,before,after,below,"['above', 'higher', 'up']","""before"" is to ""after"" as ""below"" is to "
24,EN,drop,pick_up,drop,"['lift', 'pick_up']","""drop"" is to ""pick_up"" as ""drop"" is to "
25,EN,uphill,downhill,proceed,"['retreat', 'return']","""uphill"" is to ""downhill"" as ""proceed"" is to "
26,EN,southeast,northeast,southeast,"['southwest', 'northeast']","""southeast"" is to ""northeast"" as ""southeast"" is to "
27,EN,True,False,below,"['above', 'higher', 'up']","""True"" is to ""False"" as ""below"" is to "
28,EN,first,last,inside,"['outside', 'exterior', 'out']","""first"" is to ""last"" as ""inside"" is to "
29,EN,True,False,employ,"['dismiss', 'fire', 'sack', 'displace', 'terminate']","""True"" is to ""False"" as ""employ"" is to "
30,SL,začetek,konec,pozabiti,"['spomniti_se', 'pridobiti', 'priklicati_nazaj', 'poklicati_nazaj', 'poklicati', 'obuditi']","Beseda ""začetek"" je besedi ""konec"" enako, kot je beseda ""pozabiti"" besedi "
31,SL,proti,stran,notranjost,"['zunanjost', 'na_prostem', 'stran_od_vrat', 'zunaj']","Beseda ""proti"" je besedi ""stran"" enako, kot je beseda ""notranjost"" besedi "
32,SL,navkreber,navzdol,spodaj,"['zgoraj', 'višje', 'gor']","Beseda ""navkreber"" je besedi ""navzdol"" enako, kot je beseda ""spodaj"" besedi "
33,SL,smrten,nesmrten,navkreber,"['navzdol', 'upad', 'padec', 'padajoče', 'nadnjeno_navzdol']","Beseda ""smrten"" je besedi ""nesmrten"" enako, kot je beseda ""navkreber"" besedi "
34,SL,prvi,zadnji,naprej,"['nazaj', 'zadaj', 'zadnje']","Beseda ""prvi"" je besedi ""zadnji"" enako, kot je beseda ""naprej"" besedi "
35,SL,noter,ven,spredaj,"['zadaj', 'zadek', 'po', 'vnaprej']","Beseda ""noter"" je besedi ""ven"" enako, kot je beseda ""spredaj"" besedi "
36,SL,pozabiti,spomniti_se,prej,"['potem', 'pozneje', 'kasneje', 'zatem', 'dalje']","Beseda ""pozabiti"" je besedi ""spomniti_se"" enako, kot je beseda ""prej"" besedi "
37,SL,zaposliti,sprostiti,PRAVILNO,"['NAPAČNO', 'nepravilno', 'narobe', 'zmotno']","Beseda ""zaposliti"" je besedi ""sprostiti"" enako, kot je beseda ""PRAVILNO"" besedi "
38,SL,ispustit,pobrati,potop,['dvig'],"Beseda ""ispustit"" je besedi ""pobrati"" enako, kot je beseda ""potop"" besedi "
39,SL,začetek,zaključek,zaposliti,"['sprostiti', 'odpustiti', 'odvreči', 'premestiti', 'prekiniti']","Beseda ""začetek"" je besedi ""zaključek"" enako, kot je beseda ""zaposliti"" besedi "
40,SL,nadaljuj,vrnitev,notranjost,"['zunanjost', 'na_prostem', 'stran_od_vrat', 'zunaj']","Beseda ""nadaljuj"" je besedi ""vrnitev"" enako, kot je beseda ""notranjost"" besedi "
41,SL,ugasnjen,prižgan,dinamično,"['statično', 'mirno', 'nepremikajoče', 'nespremenljivo']","Beseda ""ugasnjen"" je besedi ""prižgan"" enako, kot je beseda ""dinamično"" besedi "
